receiver_player_id,receiver_player_name,season,games_played,posteam,targets,receptions,receiving_yards,air_yards,yac,tds,red_zone_targets,end_zone_targets,third_down_targets,fourth_down_targets,high_leverage_targets,explosive_plays,first_downs,second_and_long_targets,third_and_medium_targets,lost_yards_due_to_penalty,yards_Q1,yards_Q2,yards_Q3,yards_Q4,receptions_Q1,receptions_Q2,receptions_Q3,receptions_Q4,targets_Q1,targets_Q2,targets_Q3,targets_Q4,yards_wp_<25,yards_wp_25_45,yards_wp_45_55,yards_wp_55_75,yards_wp_>75,yards_wp_NA,receptions_wp_<25,receptions_wp_25_45,receptions_wp_45_55,receptions_wp_55_75,receptions_wp_>75,receptions_wp_NA,targets_wp_<25,targets_wp_25_45,targets_wp_45_55,targets_wp_55_75,targets_wp_>75,targets_wp_NA,epa,wpa,avg_depth,catch_rate,team_pass_attempts,team_air_yards,team_epa,air_yard_share,target_share,yards_per_target,def_targets_dev,def_receptions_dev,def_yards_dev,def_tds_dev,def_epa_dev,qb_completions,qb_attempts,qb_air_yards,qb_cpoe,qb_comp_pct,avg_score_diff,avg_quarter,adot,yac_per_reception,td_rate,trailing_pct,leading_pct,wp_var,target_share_std,temp_f,humidity_pct,wind_mph,success_rate,big_play_rate,reception_std,avg_start_yardline,avg_target_depth_vs_qb,pregame_spread,pregame_total,passer_player_id,surface,is_dome,is_rain,is_snow,is_clear,defteam,home_team,away_team
00-0019596,T.Brady,2015,1,22,1.0,1.0,36.0,7.0,29.0,0.0,0,0,1,0,1,1.0,1.0,0.0,0.0,0.0,0.0,0.0,36.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,36.0,0.0,0.0,0.0,0.0,0,1.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0,3.12903063558042,0.0358957946300507,7.0,1.0,56.0,571.0,0.8724700712482618,0.0122591943957968,0.0178571428571428,36.0,1.106045573454746,1.0957408674897422,1.090241701814418,1.3760550937473035,1.215106732246509,1.0,1.0,7.0,38.4105682373047,1.0,14.0,3.0,7.0,29.0,0.0,0.0,1.0,0.0,0.0168358757425368,52.0,49.0,5.0,1.0,1.0,0.0,75.0,0.0,9.5,49.5,00-0026035,4.0,0.0,0.0,0.0,1.0,26.0,22.0,26.0
00-0019596,T.Brady,2018,1,22,1.0,1.0,6.0,0.0,6.0,0.0,0,0,1,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,6.0,0.0,0.0,0.0,0.0,0,1.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0,-0.220585573464632,-0.0038712657988071,0.0,1.0,40.0,335.0,1.5851371171789654,0.0,0.025,6.0,0.9702585548059726,0.9419960548598404,0.9134476906237716,0.8015960489417805,0.8376219509638608,1.0,1.0,0.0,67.0161783695221,1.0,10.0,4.0,0.0,6.0,0.0,0.0,1.0,0.0,0.0117851130197757,46.0,42.0,4.0,1.0,0.0,0.0,43.0,0.0,-6.0,47.0,00-0027150,2.0,0.0,0.0,0.0,1.0,31.0,31.0,22.0
00-0019596,T.Brady,2022,1,28,1.0,0.0,0.0,16.0,0.0,0.0,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,0,-4.7260164351901,-0.0405853167176247,16.0,0.0,34.0,254.0,11.55352296868316,0.0629921259842519,0.0294117647058823,0.0,0.9675297920481916,0.9346852387158548,0.9995171904268044,1.0346194981362404,1.1601039755597975,0.0,1.0,16.0,-44.6169674396515,0.0,14.0,3.0,16.0,0.0,0.0,0.0,1.0,0.0,0.0035857341845159,48.0,71.0,5.0,0.0,0.0,0.0,22.0,0.0,2.5,45.0,00-0033856,0.0,0.0,0.0,0.0,1.0,28.0,30.0,28.0
00-0020337,S.Smith,2015,7,3,73.0,46.0,670.0,719.0,256.0,3.0,9,0,24,1,29,13.0,29.0,16.0,10.0,0.0,194.0,150.0,244.0,82.0,13.0,10.0,18.0,5.0,17.0,16.0,23.0,17.0,286.0,143.0,113.0,128.0,0.0,0,16.0,14.0,7.0,9.0,0.0,0,23,23,11,13,3,0,3.2025141210709243,0.03169563342418129,9.85828998265973,0.6023842870481525,39.285714285714285,316.85714285714283,5.474715755784865,0.30796967265865355,0.2633598410384125,8.526120448179272,1.0322281653094252,1.0344607426143273,1.010381712521049,0.842451582530558,0.7783835573248421,26.571428571428573,40.857142857142854,7.642681623931623,0.06389263609323337,0.646509834009834,9.090056022408964,2.5186257836467925,9.85828998265973,4.937127158555731,0.031092436974789917,0.0,0.7177521008403361,0.021951243733035784,0.1008982102578603,61.857142857142854,36.285714285714285,8.285714285714286,0.5934557156195811,0.15593570761637987,10.005873609594618,55.401663998932904,2.215608358728107,1.4285714285714286,45.857142857142854,00-0026158,2.2857142857142856,0.0,0.0,0.0,1.0,15.571428571428571,12.857142857142858,5.714285714285714
00-0020337,S.Smith,2016,13,3,97.0,66.0,760.0,803.0,261.0,5.0,15,0,24,2,46,12.0,36.0,15.0,10.0,0.0,226.0,212.0,145.0,182.0,17.0,21.0,13.0,16.0,28.0,30.0,19.0,22.0,245.0,171.0,69.0,168.0,112.0,0,15.0,12.0,8.0,17.0,15.0,0,16,17,15,26,25,0,2.7808295066356203,0.09710597853966244,8.703907203907203,0.6980380730380731,40.76923076923077,293.0769230769231,3.712637846639652,0.21489818431625288,0.18933014794704442,7.800241425241425,0.9957347387695388,1.0021075215518276,1.0009737505924652,1.009619629409214,1.0892187704138871,27.153846153846153,40.38461538461539,7.309992792193518,0.9543478175498834,0.6701514832239691,8.687432012432012,2.2711482961482963,8.533119658119658,3.3682234432234432,0.04655067155067154,0.0,0.7551504051504051,0.022023183719350845,0.0852325709344668,55.61538461538461,51.15384615384615,7.3076923076923075,0.7089355089355089,0.10745365745365744,9.0661894865249,51.32838272838273,1.3372904800897534,3.076923076923077,44.0,00-0026158,2.3846153846153846,0.0,0.0,0.0,1.0,17.076923076923077,8.076923076923077,12.0
00-0020337,S.Smith Sr.,2016,1,3,5.0,3.0,34.0,65.0,20.0,0.0,0,0,2,0,5,0.0,3.0,2.0,2.0,0.0,0.0,13.0,21.0,0.0,0.0,1.0,2.0,0.0,0.0,1.0,2.0,2.0,21.0,13.0,0.0,0.0,0.0,0,2.0,1.0,0.0,0.0,0.0,0,4,1,0,0,0,0,3.455454976181498,0.0325791649520397,13.0,0.6,49.0,299.0,-5.243414333002873,0.217391304347826,0.1020408163265306,6.8,1.0315199744734291,1.0380589039980883,0.9719969066166636,0.8883552608447095,0.913271054260024,32.0,47.0,5.617021276595745,-1.5628469117144306,0.6808510638297872,5.8,3.2,13.0,6.666666666666667,0.0,0.0,1.0,0.001726339279273,0.0692676030550087,40.0,95.0,6.0,0.6,0.0,3.785938897200183,62.6,7.382978723404255,-2.5,40.5,00-0026158,4.0,0.0,0.0,0.0,1.0,7.0,7.0,3.0
00-0020531,D.Brees,2018,1,23,1.0,1.0,1.0,-2.0,3.0,0.0,0,0,0,0,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0.0,0.0,0.0,0.0,1.0,0,0,0,0,0,1,0,-0.848814587574452,-2.85506248474121e-05,-2.0,1.0,29.0,160.0,19.103799759643163,-0.0125,0.0344827586206896,1.0,0.9795167471228234,1.0118770678316389,1.006983158809445,1.0306234914965748,0.9233589755702094,26.0,29.0,5.517241379310345,15.182734974499413,0.896551724137931,40.0,3.0,-2.0,3.0,0.0,0.0,1.0,0.0,0.0057749192655888,84.0,70.0,22.0,1.0,0.0,0.0,36.0,-7.517241379310345,5.5,51.5,00-0020531,3.0,1.0,0.0,0.0,1.0,32.0,23.0,32.0
00-0021547,A.Gates,2015,11,18,85.0,56.0,630.0,696.0,239.0,5.0,13,0,23,2,41,5.0,33.0,16.0,10.0,0.0,168.0,155.0,55.0,252.0,13.0,16.0,6.0,21.0,19.0,23.0,16.0,27.0,257.0,102.0,8.0,177.0,86.0,0,23.0,9.0,1.0,15.0,8.0,0,37,11,2,19,16,0,2.02856756602414,0.0835198382053423,8.595638200183656,0.6735881542699724,35.54545454545455,298.3636363636364,7.363288723118732,0.22838307982937833,0.23582138052334767,7.2491391184572995,1.025078468823451,0.9956845098086017,0.9843389669941337,0.9579713690920223,0.7670748506443045,27.272727272727273,41.72727272727273,7.792926245119691,1.8763376126060947,0.6515491693949863,8.453741965105602,2.5819788797061523,8.595638200183656,3.7601010101010104,0.06501377410468319,0.0,0.7822199265381083,0.01768864959502472,0.127153880946429,66.54545454545455,48.0,10.181818181818182,0.6735881542699724,0.05738062442607897,5.99863784319395,52.53133608815427,0.8027119550639635,4.090909090909091,46.13636363636363,00-0022942,2.090909090909091,0.0,0.09090909090909091,0.0,0.9090909090909091,13.818181818181818,14.818181818181818,17.0
00-0021547,A.Gates,2016,13,16,94.0,53.0,548.0,769.0,188.0,7.0,23,0,34,2,40,5.0,34.0,22.0,5.0,0.0,136.0,168.0,76.0,168.0,17.0,16.0,5.0,15.0,21.0,29.0,15.0,29.0,184.0,94.0,52.0,128.0,90.0,0,15.0,12.0,7.0,10.0,9.0,0,29,17,12,19,17,0,0.9134349034334934,0.023632506535027346,8.299095989480605,0.5898586456278764,34.84615384615385,311.61538461538464,4.074706161568352,0.21365964607033408,0.22043325984181855,5.724802761341223,1.0070628394296828,0.9768802787074738,0.9903172863203279,0.9819048070299197,0.7622762113648296,21.0,34.92307692307692,8.719687036968512,-0.07026131379199838,0.612088086517151,11.758333333333335,2.4732905982905984,8.22302761341223,3.091666666666667,0.07194280078895464,0.0,0.8167324128862591,0.029700599194439483,0.100689953148077,62.0,40.46153846153846,6.923076923076923,0.5898586456278764,0.03875739644970414,4.098016785597136,48.61239316239316,-0.42059104748790743,1.3461538461538463,47.38461538461539,00-0022942,2.1538461538461537,0.07692307692307693,0.0,0.0,1.0,15.153846153846153,14.153846153846153,19.0
00-0021547,A.Gates,2017,16,10,53.0,30.0,316.0,432.0,66.0,3.0,12,0,15,1,25,3.0,16.0,15.0,3.0,0.0,37.0,152.0,69.0,58.0,3.0,13.0,7.0,7.0,7.0,21.0,12.0,13.0,96.0,36.0,10.0,67.0,107.0,0,9.0,4.0,1.0,5.0,11.0,0,16,8,1,8,20,0,0.1899063718460091,0.009423695365332706,7.9125,0.53125,34.75,285.75,4.229624182292413,0.11987280765727157,0.10022427586765817,5.290104166666667,0.9966395080413561,0.9947001431470665,1.0003480045535968,1.077948891242443,1.1181308067284172,22.5,35.375,8.359293354205352,0.9420706465316242,0.6359845258241732,9.019270833333334,2.458854166666667,7.714583333333334,1.6302083333333333,0.04427083333333333,0.0,0.7114583333333333,0.013286286454492592,0.0657093806782851,66.25,46.8125,6.0625,0.53125,0.026041666666666664,2.0373493900216735,43.14895833333333,-0.4467933542053527,2.96875,45.03125,00-0022942,2.5625,0.0,0.0625,0.0,0.9375,16.9375,17.625,17.3125
