QB,Season,Starts,Points,Change (Week),Change (Year),Total,/ DB,Comp,Atts,Comp%,CPOE,Yards,YPA,TDs,INTs,Sacks,Carries,Yards.1,YPC,TDs.1,TD%,INT%,TD%-INT%,Success,Passer Rtg,ANY/A,QB Elo,QBR,Rushing,Sacks.1,Inc,INTs.1,Air Yards,YAC,Penalties,aDOT,vs Sticks,W,L,T,CB,CB Opps,CB%,WPA / DB,Total WPA
Josh Allen,2025,16,3.21997,-0.0171667,-0.472433,145.009,0.235,319,459,0.695,3.5149,3668,7.9913,25,10,40,90,599,6.6556,14,0.0545,0.0218,0.0327,0.5138,102.374,6.8537,251.997,64.7,0.0637,0.0046,0.0402,0.0236,-0.0683,0.0912,0.0117,7.3181,-0.9651,11,5,0,3,7,0.4286,0.0054,3.3129
Matthew Stafford,2025,17,2.6047,0.237283,2.33035,150.46,0.2273,388,594,0.6532,1.5916,4707,7.9242,46,8,23,9,22,2.4444,0,0.0774,0.0135,0.064,0.5347,109.736,8.2934,246.171,71.0,-0.0413,0.0337,-0.0231,0.0118,0.1549,0.0209,0.002,9.138,1.0253,12,5,0,1,5,0.2,0.0071,4.6973
Drake Maye,2025,17,2.20326,0.102089,2.64887,201.011,0.3074,354,492,0.7195,10.7813,4394,8.9309,31,8,47,79,477,6.038,4,0.063,0.0163,0.0467,0.5489,113.482,8.2616,229.233,77.2,0.0143,-0.0051,0.0588,0.0271,0.1703,-0.0221,-0.0043,9.1321,0.2967,14,3,0,1,4,0.25,0.0072,4.6858
Joe Burrow,2025,8,2.11466,0.343366,-0.504215,39.6646,0.1313,173,259,0.668,4.6543,1809,6.9846,17,5,17,13,42,3.2308,0,0.0656,0.0193,0.0463,0.5033,100.684,6.5616,190.031,63.2,-0.0189,0.0203,0.0251,-0.0669,0.1117,-0.008,-0.0004,7.2124,-1.1081,5,3,0,0,2,0.0,0.0019,0.576
Brock Purdy,2025,9,2.10664,-0.616384,1.1649,84.8856,0.2497,197,284,0.6937,7.2285,2167,7.6303,20,10,11,29,151,5.2069,3,0.0704,0.0352,0.0352,0.5529,100.484,6.9966,237.286,73.1,0.0213,0.0404,0.0373,-0.0595,0.1536,-0.0144,0.0024,7.5986,-0.6162,7,2,0,2,3,0.6667,0.008,2.7304
Trevor Lawrence,2025,17,1.41367,0.225724,1.55537,82.8678,0.1167,341,557,0.6122,-1.8818,4007,7.1939,29,12,41,73,368,5.0411,9,0.0521,0.0215,0.0305,0.4887,91.4535,6.3545,187.198,58.3,0.0099,0.015,-0.0167,0.0057,0.0862,-0.0567,0.0049,8.754,-0.377,13,4,0,3,6,0.5,0.0029,2.0453
Dak Prescott,2025,17,1.39768,-0.640968,-0.0805511,134.111,0.1886,404,597,0.6767,2.1646,4552,7.6248,30,10,31,33,189,5.7273,2,0.0503,0.0168,0.0335,0.4937,100.017,7.1561,221.802,70.6,-0.0163,0.0366,-0.0046,0.0198,0.0685,0.0077,0.0084,8.0603,-0.4405,7,9,1,3,7,0.4286,0.0076,5.4107
Bo Nix,2025,17,1.38712,-0.38692,0.124135,69.0792,0.0942,388,611,0.635,-1.1956,3931,6.4337,25,11,22,66,373,5.6515,5,0.0409,0.018,0.0229,0.4461,87.9467,6.03,202.198,58.5,-0.0062,0.0589,-0.0101,0.0281,-0.0639,0.0461,-0.0271,7.3437,-1.5696,14,3,0,5,5,1.0,0.0046,3.3576
Jared Goff,2025,17,1.30252,-0.0926111,-0.0183685,114.137,0.1764,393,576,0.6823,1.7766,4564,7.9236,34,8,38,8,53,6.625,0,0.059,0.0139,0.0451,0.49,105.845,7.5326,209.325,58.0,-0.0253,-0.0107,-0.0122,0.0331,0.0104,0.1296,-0.0169,6.4531,-2.3194,9,8,0,1,5,0.2,0.003,1.9305
Patrick Mahomes,2025,14,1.24726,-0.561614,-1.18939,113.246,0.18,315,500,0.63,0.3364,3587,7.174,22,11,34,56,429,7.6607,5,0.044,0.022,0.022,0.4992,89.975,6.2528,213.872,68.8,0.0202,0.0417,0.0029,0.0029,-0.0185,0.0625,0.0002,8.1,-0.606,6,8,0,1,9,0.1111,0.0039,2.446
Jalen Hurts,2025,16,1.0394,-0.493585,-0.618635,66.2482,0.1093,294,452,0.6504,3.1833,3224,7.1327,25,6,32,92,436,4.7391,8,0.0553,0.0133,0.042,0.4587,98.9122,6.7624,197.283,55.9,0.0139,0.0195,0.0327,0.0226,0.0325,-0.077,-0.0031,9.0088,0.1814,11,5,0,1,3,0.3333,0.0017,1.0336
Jayden Daniels,2025,6,0.807206,-0.277349,-0.5866,12.3702,0.0447,114,186,0.6129,-2.7291,1262,6.7849,8,3,18,52,283,5.4423,2,0.043,0.0161,0.0269,0.4693,89.0457,5.9216,169.989,,0.0029,0.0052,-0.0342,0.0232,0.007,-0.0378,0.01,7.4731,-1.2473,2,5,0,0,0,,0.0024,0.6688
Kyler Murray,2025,5,0.79918,0.0366272,-0.835747,23.545,0.107,110,161,0.6832,-0.5288,962,5.9752,6,3,16,27,175,6.4815,1,0.0373,0.0186,0.0186,0.45,88.574,4.7232,151.272,,0.0082,0.0026,0.0482,0.0371,-0.0953,0.018,0.02,5.8447,-3.0683,2,3,0,0,2,0.0,0.0042,0.9272
Caleb Williams,2025,17,0.736483,-0.114126,1.98755,70.8952,0.103,330,566,0.583,-3.5054,3942,6.9647,27,7,24,61,395,6.4754,3,0.0477,0.0124,0.0353,0.4535,90.4373,6.7831,194.807,58.3,-0.0011,0.0439,-0.0487,0.0359,0.0209,-0.0031,-0.0132,8.6572,-0.3357,11,6,0,5,10,0.5,0.004,2.7285
Jordan Love,2025,15,0.50976,-0.467632,0.450242,150.346,0.2897,291,438,0.6644,5.533,3381,7.7192,23,6,21,32,211,6.5938,0,0.0525,0.0137,0.0388,0.5164,101.408,7.4118,196.858,73.1,0.013,0.0346,0.0023,0.0283,0.091,0.0377,0.0144,8.8379,0.032,9,5,1,2,6,0.3333,0.0108,5.6158
Aaron Rodgers,2025,16,0.492612,0.282946,-1.17875,23.7927,0.042,327,496,0.6593,0.0417,3322,6.6976,24,7,29,12,68,5.6667,1,0.0484,0.0141,0.0343,0.4364,95.1781,6.299,165.321,44.1,-0.0253,0.0133,-0.0178,0.0311,-0.158,0.1408,-0.0105,6.0685,-2.9798,10,6,0,2,5,0.4,0.0013,0.7148
Lamar Jackson,2025,13,0.256656,-0.0514948,-3.55537,41.3792,0.0995,192,300,0.64,1.7587,2549,8.4967,21,7,36,58,359,6.1897,2,0.07,0.0233,0.0467,0.476,104.431,7.1875,151.753,62.8,0.0263,-0.0536,0.0088,-0.0069,0.1054,-0.0529,0.004,8.8267,-0.2167,6,7,0,1,4,0.25,0.004,1.6794
Russell Wilson,2025,3,0.158192,-0.720878,-0.42435,-4.0004,-0.0253,69,119,0.5798,-1.48,831,6.9832,3,3,10,18,106,5.8889,0,0.0252,0.0252,0.0,0.4051,77.3985,5.3488,140.057,,-0.0388,0.0141,-0.0958,0.0229,0.0124,-0.0683,0.0597,8.8908,-0.1092,2,4,0,0,3,0.0,0.0049,0.7727
Mac Jones,2025,8,0.00170654,0.884056,1.54932,47.1029,0.1402,201,286,0.7028,3.6786,2151,7.521,13,6,16,22,74,3.3636,0,0.0455,0.021,0.0245,0.5268,98.3974,6.7318,197.377,62.3,-0.0087,0.0141,0.031,0.0072,0.0534,-0.0068,-0.0185,7.4266,-1.6608,6,3,0,1,2,0.5,0.0042,1.413
Daniel Jones,2025,13,-0.0781219,-0.663871,1.31358,86.9912,0.1875,261,382,0.6832,2.2971,3101,8.1178,19,8,22,36,167,4.6389,5,0.0497,0.0209,0.0288,0.5172,100.698,7.3342,203.07,63.7,0.013,0.0103,0.0302,0.0063,0.0382,0.0283,-0.0071,8.0471,-0.7906,8,5,0,3,5,0.6,0.0038,1.7749
Mitchell Trubisky,2025,1,-0.192822,0.781438,0.781438,25.6117,0.6922,25,35,0.7143,7.8043,313,8.9429,4,0,0,2,13,6.5,0,0.1143,0.0,0.1143,0.6216,136.964,11.2286,372.54,91.5,-0.0311,0.1037,-0.0459,0.0787,0.2738,0.2669,-0.0224,7.2857,-0.3143,3,1,0,0,0,,0.0076,0.2798
Baker Mayfield,2025,17,-0.221885,0.00013916,-1.14642,57.8965,0.0868,343,542,0.6328,-2.1161,3693,6.8137,26,11,36,45,391,8.6889,1,0.048,0.0203,0.0277,0.4633,90.7442,6.0277,169.308,60.9,0.0336,0.0125,-0.0041,0.0097,-0.0599,0.0238,0.0027,8.1292,-0.6771,8,9,0,4,9,0.4444,0.0027,1.7941
Jaxson Dart,2025,12,-0.344335,-0.0144525,1.94123,60.2605,0.1248,216,338,0.6391,-0.1931,2272,6.7219,15,5,35,78,492,6.3077,9,0.0444,0.0148,0.0296,0.472,91.9749,5.8847,188.501,57.8,0.0586,-0.0009,0.0309,0.0439,-0.0913,-0.0144,0.0295,8.2041,-1.0888,4,10,0,0,4,0.0,0.0024,1.1415
C.J. Stroud,2025,14,-0.371519,0.158221,1.12499,76.7115,0.1478,273,420,0.65,0.3577,3041,7.2405,19,8,23,36,214,5.9444,1,0.0452,0.019,0.0262,0.4817,93.5615,6.4831,165.518,62.4,0.0106,0.0295,-0.0008,0.0256,0.0334,-0.0227,0.0037,8.1071,-0.9357,9,5,0,0,3,0.0,0.0035,1.8271
Philip Rivers,2025,3,-0.432025,-0.558907,-0.912782,-5.9001,-0.0578,58,92,0.6304,-3.6927,544,5.913,4,3,5,0,0,,0,0.0435,0.0326,0.0109,0.4412,80.163,4.6598,86.4008,,-0.0307,0.0119,-0.0535,-0.0792,-0.133,0.1286,0.0295,7.7935,-1.2283,0,3,0,0,2,0.0,-0.0001,-0.0054
Justin Herbert,2025,16,-0.492452,-0.0482776,-0.709684,56.5731,0.0848,340,512,0.6641,1.5749,3727,7.2793,26,13,54,71,510,7.1831,2,0.0508,0.0254,0.0254,0.4873,94.0999,5.9382,159.815,60.8,0.0242,-0.0229,0.023,-0.0209,0.0208,-0.0086,0.0009,7.834,-1.0059,11,5,0,3,5,0.6,0.0024,1.6238
Jameis Winston,2025,2,-0.52988,0.247235,0.207612,24.1347,0.3017,37,66,0.5606,-3.0971,567,8.5909,2,2,3,5,25,5.0,1,0.0303,0.0303,0.0,0.4625,82.0707,7.3333,178.09,68.2,0.0229,0.0348,-0.0891,-0.0314,0.2972,-0.0345,0.0333,9.3788,1.3939,0,3,0,0,1,0.0,0.0046,0.3664
Kirk Cousins,2025,8,-0.611553,-0.5893,-1.40007,8.0912,0.0273,166,266,0.6241,-2.7993,1721,6.4699,10,5,13,7,17,2.4286,1,0.0376,0.0188,0.0188,0.4628,85.7456,5.7957,121.463,,-0.0225,0.0265,-0.0591,-0.0085,-0.0421,0.0526,0.012,7.0263,-1.9737,5,5,0,1,2,0.5,0.0022,0.6658
Jacoby Brissett,2025,12,-0.725004,-0.155347,1.18196,8.742,0.0148,315,484,0.6508,1.6353,3366,6.9545,23,8,43,35,169,4.8286,1,0.0475,0.0165,0.031,0.4635,94.2493,6.0304,176.229,41.1,-0.0165,-0.0431,-0.0027,0.0215,-0.0244,0.024,-0.0124,7.6384,-1.5847,2,12,0,0,6,0.0,-0.001,-0.5915
Tyler Shough,2025,9,-0.820522,0.205378,1.60368,5.508,0.0135,221,324,0.6821,1.6082,2384,7.358,10,6,31,37,197,5.3243,3,0.0309,0.0185,0.0123,0.4474,92.1553,5.969,168.511,49.2,0.0008,-0.0438,0.0518,0.011,-0.0028,-0.0489,-0.0231,8.3611,-0.571,5,6,0,2,4,0.5,0.0032,1.3005
Joe Flacco,2025,10,-0.872291,-0.397565,0.0528418,-35.0549,-0.0749,251,412,0.6092,-2.8235,2479,6.017,15,10,18,12,52,4.3333,1,0.0364,0.0243,0.0121,0.4295,79.9454,5.1419,138.003,40.6,-0.0145,0.012,-0.0406,-0.0262,-0.0559,-0.0141,-0.0039,7.3981,-1.5607,4,9,0,2,6,0.3333,-0.0021,-0.9818
