Season_stats,Age,Team,Pos,G,GS,QBrec,Cmp,Att,Cmp%,Yds,TD,TD%_stats,Int,Int%,1D,Succ%,Lng,Y/A,AY/A,Y/C,Y/G,Rate,QBR_stats,Sk,Yds_Lost,Sk%,NY/A,ANY/A_stats,4QC,GWD,AV,Awards,Player,PlayerID,QB_normalized,QB,Season_rankings,Starts,Points,Change (Week),Change (Year),Total,/ DB,Comp,Atts,Comp%,CPOE,Yards,YPA,TDs,INTs,Sacks,Carries,Yards.1,YPC,TDs.1,TD%_rankings,INT%,TD%-INT%,Success,Passer Rtg,ANY/A_rankings,QB Elo,QBR_rankings,Rushing,Sacks.1,Inc,INTs.1,Air Yards,YAC,Penalties,aDOT,vs Sticks,W,L,T,CB,CB Opps,CB%,WPA / DB,Total WPA
2025,42,PIT,QB,16,16,10-6-0,327,498,65.7,3322,24,4.8,7,1.4,143,42.9,80.0,6.7,7.0,10.2,207.6,94.8,44.4,29,180,5.5,5.96,6.28,2,3,12,,Aaron Rodgers,RodgAa00,aaron rodgers,Aaron Rodgers,2025,16,0.492612,0.282946,-1.17875,23.7927,0.042,327,496,0.6593,0.0417,3322,6.6976,24,7,29,12,68,5.6667,1,0.0484,0.0141,0.0343,0.4364,95.1781,6.299,165.321,44.1,-0.0253,0.0133,-0.0178,0.0311,-0.158,0.1408,-0.0105,6.0685,-2.9798,10,6,0,2,5,0.4,0.0013,0.7148
2025,38,CAR,QB,4,1,0-1-0,25,37,67.6,293,1,2.7,1,2.7,17,46.7,33.0,7.9,7.24,11.7,73.3,89.1,13.1,8,54,17.78,5.31,4.76,0,0,1,,Andy Dalton,DaltAn00,andy dalton,Andy Dalton,2025,1,-2.03796,-0.783859,-0.783859,-8.708,-0.1814,25,37,0.6757,6.5959,293,7.9189,1,1,8,1,1,1.0,0,0.027,0.027,0.0,0.4583,89.1329,4.7556,-93.4208,,-0.1201,-0.2723,0.0209,-0.0738,0.2859,-0.0941,0.0036,9.4054,1.5405,1,2,0,0,0,,-0.0082,-0.3953
2025,25,DEN,QB,17,17,14-3-0,388,612,63.4,3931,25,4.1,11,1.8,196,45.6,52.0,6.4,6.43,10.1,231.2,87.8,58.3,22,119,3.47,6.01,6.02,5,7,13,,Bo Nix,NixxBo00,bo nix,Bo Nix,2025,17,1.38712,-0.38692,0.124135,69.0792,0.0942,388,611,0.635,-1.1956,3931,6.4337,25,11,22,66,373,5.6515,5,0.0409,0.018,0.0229,0.4461,87.9467,6.03,202.198,58.5,-0.0062,0.0589,-0.0101,0.0281,-0.0639,0.0461,-0.0271,7.3437,-1.5696,14,3,0,5,5,1.0,0.0046,3.3576
2025,26,SFO,QB,9,9,7-2-0,197,284,69.4,2167,20,7.0,10,3.5,130,55.3,45.0,7.6,7.45,11.0,240.8,100.5,72.8,11,53,3.73,7.17,7.0,2,2,9,,Brock Purdy,PurdBr00,brock purdy,Brock Purdy,2025,9,2.10664,-0.616384,1.1649,84.8856,0.2497,197,284,0.6937,7.2285,2167,7.6303,20,10,11,29,151,5.2069,3,0.0704,0.0352,0.0352,0.5529,100.484,6.9966,237.286,73.1,0.0213,0.0404,0.0373,-0.0595,0.1536,-0.0144,0.0024,7.5986,-0.6162,7,2,0,2,3,0.6667,0.008,2.7304
2025,24,CAR,QB,16,16,8-8-0,304,478,63.6,3011,23,4.8,11,2.3,153,44.2,54.0,6.3,6.23,9.9,188.2,87.8,47.6,27,202,5.35,5.56,5.49,4,6,10,,Bryce Young,YounBr01,bryce young,Bryce Young,2025,16,-1.09074,0.231387,-0.00759583,13.653,0.0238,304,476,0.6387,0.9989,3011,6.3256,23,11,27,37,234,6.3243,2,0.0483,0.0231,0.0252,0.452,88.139,5.5149,132.658,47.7,-0.0031,0.005,-0.0134,-0.0122,-0.0343,0.003,0.0104,6.5147,-2.0126,8,8,0,4,8,0.5,0.0016,0.9404
2025,24,HOU,QB,14,14,9-5-0,273,423,64.5,3041,19,4.5,8,1.9,136,44.4,75.0,7.2,7.24,11.1,217.2,92.9,61.7,23,189,5.16,6.39,6.44,0,2,10,,C.J. Stroud,StroCJ00,c.j. stroud,C.J. Stroud,2025,14,-0.371519,0.158221,1.12499,76.7115,0.1478,273,420,0.65,0.3577,3041,7.2405,19,8,23,36,214,5.9444,1,0.0452,0.019,0.0262,0.4817,93.5615,6.4831,165.518,62.4,0.0106,0.0295,-0.0008,0.0256,0.0334,-0.0227,0.0037,8.1071,-0.9357,9,5,0,0,3,0.0,0.0035,1.8271
2025,24,CHI,QB,17,17,11-6-0,330,568,58.1,3942,27,4.8,7,1.2,187,42.9,65.0,6.9,7.34,11.9,231.9,90.1,58.2,24,165,4.05,6.38,6.76,6,6,15,,Caleb Williams,WillCa03,caleb williams,Caleb Williams,2025,17,0.736483,-0.114126,1.98755,70.8952,0.103,330,566,0.583,-3.5054,3942,6.9647,27,7,24,61,395,6.4754,3,0.0477,0.0124,0.0353,0.4535,90.4373,6.7831,194.807,58.3,-0.0011,0.0439,-0.0487,0.0359,0.0209,-0.0031,-0.0132,8.6572,-0.3357,11,6,0,5,10,0.5,0.004,2.7285
2025,23,TEN,QB,17,17,3-14-0,323,540,59.8,3169,15,2.8,7,1.3,153,38.2,47.0,5.9,5.84,9.8,186.4,80.2,33.2,55,410,9.24,4.64,4.61,1,1,7,,Cam Ward,WardCa00,cam ward,Cam Ward,2025,17,-2.22843,0.00405792,-0.978523,-85.7049,-0.1293,323,537,0.6015,-2.9297,3169,5.9013,15,7,55,32,169,5.2812,2,0.0279,0.013,0.0149,0.3952,80.6758,4.6351,76.7164,33.1,-0.0109,-0.0779,-0.0328,0.0353,-0.0815,-0.0299,-0.0003,7.2756,-1.7728,3,14,0,1,5,0.2,-0.0028,-1.8343
2025,32,DAL,QB,17,17,7-9-1,404,600,67.3,4552,30,5.0,10,1.7,220,48.2,86.0,7.6,7.84,11.3,267.8,99.5,70.2,31,208,4.91,6.88,7.12,4,3,15,"PB,AP CPoY-3",Dak Prescott,PresDa01,dak prescott,Dak Prescott,2025,17,1.39768,-0.640968,-0.0805511,134.111,0.1886,404,597,0.6767,2.1646,4552,7.6248,30,10,31,33,189,5.7273,2,0.0503,0.0168,0.0335,0.4937,100.017,7.1561,221.802,70.6,-0.0163,0.0366,-0.0046,0.0198,0.0685,0.0077,0.0084,8.0603,-0.4405,7,9,1,3,7,0.4286,0.0076,5.4107
2025,28,IND,QB,13,13,8-5-0,261,384,68.0,3101,19,4.9,8,2.1,149,52.0,75.0,8.1,8.13,11.9,238.5,100.2,63.0,22,158,5.42,7.25,7.3,3,3,13,,Daniel Jones,JoneDa05,daniel jones,Daniel Jones,2025,13,-0.0781219,-0.663871,1.31358,86.9912,0.1875,261,382,0.6832,2.2971,3101,8.1178,19,8,22,36,167,4.6389,5,0.0497,0.0209,0.0288,0.5172,100.698,7.3342,203.07,63.7,0.013,0.0103,0.0302,0.0063,0.0382,0.0283,-0.0071,8.0471,-0.7906,8,5,0,3,5,0.6,0.0038,1.7749
