Player,Seasons,Years,Teams,Games,Starts,Total_Passes,Completions,Pass_Yds,Pass_TD,Interceptions,Rush_Att,Rush_Yds,Rush_TD,Avg_PassYds,Avg_PassTD,Avg_Int
Aaron Rodgers,21,2005-2025,"GNB, NYJ, PIT",264,257,5696,5696,66274,527,123,762,3634,36,3155.9,25.1,5.9
Matthew Stafford,17,2009-2025,"DET, LAR",239,239,5562,5562,64516,423,196,470,1357,15,3795.1,24.9,11.5
Joe Flacco,18,2008-2025,"BAL, DEN, NYJ, CLE, IND, 2TM",209,201,4417,4417,48176,272,172,407,925,17,2676.4,15.1,9.6
Kirk Cousins,14,2012-2025,"WAS, MIN, ATL",174,167,3934,3934,44700,298,131,341,965,20,3192.9,21.3,9.4
Andy Dalton,15,2011-2025,"CIN, DAL, CHI, NOR, CAR",179,169,3539,3539,39793,254,151,487,1509,22,2652.9,16.9,10.1
Jared Goff,10,2016-2025,"LAR, DET",151,151,3440,3440,39622,256,102,295,596,12,3962.2,25.6,10.2
Dak Prescott,10,2016-2025,DAL,139,139,3184,3184,35989,243,92,473,2115,31,3598.9,24.3,9.2
Patrick Mahomes,9,2017-2025,KAN,126,126,3093,3093,35939,267,85,496,2665,19,3993.2,29.7,9.4
Josh Allen,8,2018-2025,BUF,128,127,2615,2615,30102,220,94,871,4721,79,3762.8,27.5,11.8
Justin Herbert,6,2020-2025,LAC,95,95,2285,2285,24820,163,58,376,1715,15,4136.7,27.2,9.7
Lamar Jackson,8,2018-2025,BAL,116,107,1870,1870,22608,187,56,1081,6522,35,2826.0,23.4,7.0
Geno Smith,12,2013-2025,"NYJ, NYG, LAC, SEA, LVR",109,98,2023,2023,22168,124,89,357,1603,12,1847.3,10.3,7.4
Joe Burrow,6,2020-2025,CIN,77,77,1921,1921,20810,157,51,239,847,12,3468.3,26.2,8.5
Kyler Murray,7,2019-2025,ARI,87,87,1974,1974,20460,121,60,532,3193,32,2922.9,17.3,8.6
Sam Darnold,8,2018-2025,"NYJ, CAR, SFO, MIN, SEA",100,90,1766,1766,20431,123,82,311,1067,14,2553.9,15.4,10.2
Tua Tagovailoa,6,2020-2025,MIA,78,76,1647,1647,18166,120,59,173,473,6,3027.7,20.0,9.8
Jalen Hurts,6,2020-2025,PHI,93,82,1542,1542,17891,110,45,779,3554,63,2981.8,18.3,7.5
Trevor Lawrence,5,2021-2025,JAX,77,77,1629,1629,17822,98,58,313,1442,23,3564.4,19.6,11.6
Daniel Jones,7,2019-2025,"NYG, IND",83,82,1698,1698,17683,89,55,444,2343,20,2526.1,12.7,7.9
Jacoby Brissett,10,2016-2025,"NWE, IND, MIA, CLE, WAS, ARI",101,65,1391,1391,14766,76,32,283,1145,16,1476.6,7.6,3.2
Brock Purdy,4,2022-2025,SFO,49,45,919,919,11685,84,37,160,627,11,2921.2,21.0,9.2
Jordan Love,5,2021-2025,GNB,57,48,981,981,11535,83,31,135,555,5,2307.0,16.6,6.2
CJ Stroud,3,2023-2025,HOU,46,46,928,928,10876,62,25,139,609,4,3625.3,20.7,8.3
Blaine Gabbert,12,2011-2023,"JAX, SFO, ARI, TEN, TAM, KAN",69,49,882,882,9487,51,50,201,685,3,790.6,4.2,4.2
Justin Fields,5,2021-2025,"CHI, PIT, NYJ",59,53,812,812,9039,52,32,489,2892,23,1807.8,10.4,6.4
Bryce Young,3,2023-2025,CAR,46,44,853,853,8291,49,30,136,718,8,2763.7,16.3,10.0
Bo Nix,2,2024-2025,DEN,34,34,764,764,7706,54,23,175,786,9,3853.0,27.0,11.5
Caleb Williams,2,2024-2025,CHI,34,34,681,681,7483,47,13,158,877,3,3741.5,23.5,6.5
Drake Maye,2,2024-2025,NWE,30,29,579,579,6670,46,18,157,871,6,3335.0,23.0,9.0
Jayden Daniels,2,2024-2025,WAS,24,24,445,445,4830,33,12,206,1169,8,2415.0,16.5,6.0
Will Levis,2,2023-2024,TEN,21,21,339,339,3899,21,16,70,240,1,1949.5,10.5,8.0
Cam Ward,1,2025-2025,TEN,17,17,323,323,3169,15,7,39,159,2,3169.0,15.0,7.0
JJ McCarthy,1,2025-2025,MIN,10,10,140,140,1632,11,12,37,181,4,1632.0,11.0,12.0
