Season,Age,Team,Lg,Pos,G,GS,Att,Yds,1D,YBC,YBC/Att,YAC,YAC/Att,BrkTkl,Att/Br,Tgt,Rec,Yds.1,1D.1,YBC.1,YBC/R,YAC.1,YAC/R,ADOT,BrkTkl.1,Rec/Br,Drop,Drop%,Int,rec_pass_rating,awards,Player,PlayerID
2018,23,NOR,NFL,RB,15,13,194,883,57,464,2.4,419,2.2,21,9.2,105,81,709,31,67,0.8,642,7.9,1.8,7,11.6,3,2.9,1,103.2,,Alvin Kamara,KamaAl00
2019,24,NOR,NFL,RB,14,9,171,797,32,396,2.3,401,2.3,29,5.9,97,81,533,28,-24,-0.3,557,6.9,0.3,10,8.1,5,5.2,1,88.7,,Alvin Kamara,KamaAl00
2020,25,NOR,NFL,RB,15,10,187,932,58,526,2.8,406,2.2,19,9.8,107,83,756,35,25,0.3,731,8.8,0.6,16,5.2,9,8.4,1,107.8,,Alvin Kamara,KamaAl00
2021,26,NOR,NFL,RB,13,10,240,898,42,549,2.3,349,1.5,22,10.9,67,47,439,20,7,0.1,432,9.2,1.2,3,15.7,9,13.4,0,112.7,,Alvin Kamara,KamaAl00
2022,27,NOR,NFL,RB,15,13,223,897,40,450,2.0,447,2.0,7,31.9,77,57,490,17,25,0.4,465,8.2,0.9,4,14.3,5,6.5,0,98.9,,Alvin Kamara,KamaAl00
2023,28,NOR,NFL,RB,13,12,180,694,42,411,2.3,283,1.6,7,25.7,86,75,466,23,-35,-0.5,501,6.7,0.1,9,8.3,2,2.3,0,93.1,,Alvin Kamara,KamaAl00
2024,29,NOR,NFL,RB,14,14,228,950,52,548,2.4,402,1.8,13,17.5,89,68,543,18,1,0.0,542,8.0,0.9,2,34.0,8,9.0,1,94.0,,Alvin Kamara,KamaAl00
2025,30,NOR,NFL,RB,11,11,131,471,21,282,2.2,189,1.4,7,18.7,39,33,186,7,-16,-0.5,202,6.1,0.8,2,16.5,2,5.1,0,86.5,,Alvin Kamara,KamaAl00
2025,22,LVR,NFL,RB,14,14,200,700,34,268,1.3,432,2.2,19,10.5,64,49,266,11,-128,-2.6,394,8.0,-2.0,7,7.0,4,6.3,1,97.5,,Ashton Jeanty,JeanAs00
2023,21,ATL,NFL,RB,17,16,214,976,50,568,2.7,408,1.9,15,14.3,86,58,487,24,-32,-0.6,519,8.9,0.3,10,5.8,6,7.0,3,82.8,,Bijan Robinson,RobiBi01
