Season,Age,Team,Lg,Pos,G,GS,Int,Yds,IntTD,Lng,FF,Fmb,FR,Yds.1,FRTD,Sk,Comb,Solo,Ast,safety_md,awards,Player,PlayerID,PD,tackles_loss,QBHits,av
1983,22,ATL,NFL,RB,16,1,0,0,0,0,0.0,0,1,0,0,0.0,0.0,0.0,0.0,0,,Allama Matthews,MattAl00,,,,
2017,22,NOR,NFL,RB,16,3,0,0,0,0,0.0,1,0,0,0,0.0,0.0,0.0,0.0,0,,Alvin Kamara,KamaAl00,0.0,,,
2018,23,NOR,NFL,RB,15,13,0,0,0,0,0.0,1,0,0,0,0.0,0.0,0.0,0.0,0,,Alvin Kamara,KamaAl00,0.0,0.0,0.0,
2019,24,NOR,NFL,RB,14,9,0,0,0,0,0.0,4,0,0,0,0.0,0.0,0.0,0.0,0,,Alvin Kamara,KamaAl00,0.0,0.0,0.0,
2020,25,NOR,NFL,RB,15,10,0,0,0,0,0.0,1,3,0,0,0.0,0.0,0.0,0.0,0,,Alvin Kamara,KamaAl00,0.0,0.0,0.0,
2021,26,NOR,NFL,RB,13,10,0,0,0,0,0.0,0,1,0,0,0.0,0.0,0.0,0.0,0,,Alvin Kamara,KamaAl00,0.0,0.0,0.0,
2022,27,NOR,NFL,RB,15,13,0,0,0,0,0.0,4,1,6,0,0.0,0.0,0.0,0.0,0,,Alvin Kamara,KamaAl00,0.0,0.0,0.0,
2024,29,NOR,NFL,RB,14,14,0,0,0,0,0.0,1,0,0,0,0.0,0.0,0.0,0.0,0,,Alvin Kamara,KamaAl00,0.0,0.0,0.0,
2025,30,NOR,NFL,RB,11,11,0,0,0,0,0.0,2,0,0,0,0.0,0.0,0.0,0.0,0,,Alvin Kamara,KamaAl00,0.0,0.0,0.0,
2025,22,LVR,NFL,RB,14,14,0,0,0,0,0.0,2,0,0,0,0.0,0.0,0.0,0.0,0,,Ashton Jeanty,JeanAs00,0.0,0.0,0.0,
2023,21,ATL,NFL,RB,17,16,0,0,0,0,0.0,4,0,-7,0,0.0,0.0,0.0,0.0,0,,Bijan Robinson,RobiBi01,0.0,0.0,0.0,
2024,22,ATL,NFL,RB,17,17,0,0,0,0,0.0,1,4,-21,0,0.0,0.0,0.0,0.0,0,,Bijan Robinson,RobiBi01,0.0,0.0,0.0,
2025,23,ATL,NFL,RB,14,14,0,0,0,0,0.0,4,1,0,0,0.0,0.0,0.0,0.0,0,,Bijan Robinson,RobiBi01,0.0,0.0,0.0,
2020,23,NYJ,NFL,LCB,8,7,1,20,0,20,0.0,0,0,0,0,0.0,36.0,33.0,3.0,0,,Bryce Hall,HallBr02,3.0,1.0,0.0,3.0
2021,24,NYJ,NFL,LCB,17,17,0,0,0,0,0.0,0,0,0,0,0.5,79.0,66.0,13.0,0,,Bryce Hall,HallBr02,16.0,4.0,2.0,5.0
2022,25,NYJ,NFL,CB,5,0,0,0,0,0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0,,Bryce Hall,HallBr02,0.0,0.0,0.0,0.0
2023,26,NYJ,NFL,CB,9,2,1,5,0,5,0.0,0,1,39,1,0.0,7.0,5.0,2.0,0,,Bryce Hall,HallBr02,2.0,0.0,0.0,2.0
2024,27,TAM,NFL,CB,1,0,0,0,0,0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0,,Bryce Hall,HallBr02,0.0,0.0,0.0,0.0
2014,23,PIT,NFL,G,1,0,0,0,0,0,0.0,0,0,0,0,0.0,,,,0,,Chris Hubbard,HubbCh00,,,,0.0
2015,24,PIT,NFL,G,7,0,0,0,0,0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0,,Chris Hubbard,HubbCh00,0.0,,,1.0
2016,25,PIT,NFL,T,15,4,0,0,0,0,0.0,1,0,-7,0,0.0,0.0,0.0,0.0,0,,Chris Hubbard,HubbCh00,0.0,,,3.0
2017,26,PIT,NFL,RT,16,10,0,0,0,0,0.0,3,0,-20,0,0.0,0.0,0.0,0.0,0,,Chris Hubbard,HubbCh00,0.0,,,5.0
2018,27,CLE,NFL,RT,16,16,0,0,0,0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0,,Chris Hubbard,HubbCh00,0.0,0.0,0.0,7.0
2019,28,CLE,NFL,RT,14,13,0,0,0,0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0,,Chris Hubbard,HubbCh00,0.0,0.0,0.0,6.0
2020,29,CLE,NFL,RG,11,5,0,0,0,0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0,,Chris Hubbard,HubbCh00,0.0,0.0,0.0,3.0
2021,30,CLE,NFL,T,1,0,0,0,0,0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0,,Chris Hubbard,HubbCh00,0.0,0.0,0.0,0.0
2022,31,CLE,NFL,T,4,1,0,0,0,0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0,,Chris Hubbard,HubbCh00,0.0,0.0,0.0,1.0
2023,32,TEN,NFL,OL,9,9,0,0,0,0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0,,Chris Hubbard,HubbCh00,0.0,0.0,0.0,3.0
2024,33,NYG,NFL,OT,8,3,0,0,0,0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0,,Chris Hubbard,HubbCh00,0.0,0.0,0.0,1.0
2017,21,CAR,NFL,RB,16,10,0,0,0,0,0.0,2,1,0,0,0.0,0.0,0.0,0.0,0,,Christian McCaffrey,McCaCh01,0.0,0.0,0.0,
2018,22,CAR,NFL,RB,16,16,0,0,0,0,0.0,4,1,0,0,0.0,0.0,0.0,0.0,0,,Christian McCaffrey,McCaCh01,0.0,0.0,0.0,
2019,23,CAR,NFL,RB,16,16,0,0,0,0,0.0,1,0,0,0,0.0,0.0,0.0,0.0,0,,Christian McCaffrey,McCaCh01,0.0,0.0,0.0,
2021,25,CAR,NFL,RB,7,7,0,0,0,0,0.0,1,1,3,0,0.0,1.0,1.0,0.0,0,,Christian McCaffrey,McCaCh01,0.0,0.0,0.0,
2022,26,2TM,NFL,RB,17,16,0,0,0,0,0.0,1,1,0,0,0.0,0.0,0.0,0.0,0,,Christian McCaffrey,McCaCh01,0.0,0.0,0.0,
2023,27,SFO,NFL,RB,16,16,0,0,0,0,0.0,3,1,0,0,0.0,0.0,0.0,0.0,0,,Christian McCaffrey,McCaCh01,0.0,0.0,0.0,
2024,28,SFO,NFL,RB,4,4,0,0,0,0,0.0,1,0,0,0,0.0,0.0,0.0,0.0,0,,Christian McCaffrey,McCaCh01,0.0,0.0,0.0,
2025,29,SFO,NFL,RB,14,14,0,0,0,0,0.0,2,1,0,0,0.0,0.0,0.0,0.0,0,,Christian McCaffrey,McCaCh01,0.0,0.0,0.0,
2020,21,DET,NFL,RB,13,4,0,0,0,0,0.0,3,0,0,0,0.0,0.0,0.0,0.0,0,,D'Andre Swift,SwifDA00,0.0,0.0,0.0,
2021,22,DET,NFL,RB,13,4,0,0,0,0,0.0,2,0,0,0,0.0,0.0,0.0,0.0,0,,D'Andre Swift,SwifDA00,0.0,0.0,0.0,
