Season,Age,Team,Pos,No.,G,GS,offense,Off%,defense,Def%,special_teams,ST%,Player,PlayerID
2017*,22,NOR,RB,41.0,16,3,466,,0,,44,,Alvin Kamara,KamaAl00
2018*,23,NOR,RB,41.0,15,13,658,,0,,43,,Alvin Kamara,KamaAl00
2019*,24,NOR,RB,41.0,14,9,626,,0,,11,,Alvin Kamara,KamaAl00
2020*,25,NOR,RB,41.0,15,10,659,,0,,7,,Alvin Kamara,KamaAl00
2021*,26,NOR,RB,41.0,13,10,627,,0,,4,,Alvin Kamara,KamaAl00
2022,27,NOR,RB,41.0,15,13,642,,0,,1,,Alvin Kamara,KamaAl00
2023,28,NOR,RB,41.0,13,12,558,,0,,0,,Alvin Kamara,KamaAl00
2024,29,NOR,RB,41.0,14,14,641,,0,,0,,Alvin Kamara,KamaAl00
2025,30,NOR,RB,41.0,11,11,457,,0,,0,,Alvin Kamara,KamaAl00
2025,22,LVR,RB,2.0,17,17,771,,0,,2,,Ashton Jeanty,JeanAs00
2023,21,ATL,RB,7.0,17,16,771,,0,,1,,Bijan Robinson,RobiBi01
2024*,22,ATL,RB,7.0,17,17,861,,0,,0,,Bijan Robinson,RobiBi01
2025*+,23,ATL,RB,7.0,17,17,860,,0,,0,,Bijan Robinson,RobiBi01
2020,23,NYJ,LCB,37.0,8,7,0,,547,,40,,Bryce Hall,HallBr02
2021,24,NYJ,LCB,37.0,17,17,0,,1169,,47,,Bryce Hall,HallBr02
2022,25,NYJ,CB,37.0,5,0,0,,15,,58,,Bryce Hall,HallBr02
2023,26,NYJ,CB,37.0,9,2,0,,138,,132,,Bryce Hall,HallBr02
2024,27,TAM,CB,34.0,1,0,0,,17,,3,,Bryce Hall,HallBr02
2014,23,PIT,G,74.0,1,0,7,,0,,0,,Chris Hubbard,HubbCh00
2015,24,PIT,G,74.0,7,0,33,,0,,2,,Chris Hubbard,HubbCh00
2016,25,PIT,T,74.0,15,4,325,,0,,67,,Chris Hubbard,HubbCh00
2017,26,PIT,RT,74.0,16,10,780,,0,,84,,Chris Hubbard,HubbCh00
2018,27,CLE,RT,74.0,16,16,1091,,0,,60,,Chris Hubbard,HubbCh00
2019,28,CLE,RT,74.0,14,13,894,,0,,50,,Chris Hubbard,HubbCh00
2020,29,CLE,RG,74.0,11,5,293,,0,,52,,Chris Hubbard,HubbCh00
