Season,Age,Team,Pos,No.,G,GS,offense,Off%,defense,Def%,special_teams,ST%,Player,PlayerID
2024*+,22,LVR,TE,89.0,17,16,956,,0,,0,,Brock Bowers,BoweBr01
2025*,23,LVR,TE,89.0,12,8,605,,0,,0,,Brock Bowers,BoweBr01
2015,22,CIN,TE,87.0,5,0,48,,0,,79,,C.J. Uzomah,UzomC.00
2016,23,CIN,TE,87.0,10,8,411,,0,,67,,C.J. Uzomah,UzomC.00
2017,24,CIN,TE,87.0,14,4,211,,0,,249,,C.J. Uzomah,UzomC.00
2018,25,CIN,TE,87.0,16,15,839,,0,,127,,C.J. Uzomah,UzomC.00
2019,26,CIN,TE,87.0,16,16,644,,0,,158,,C.J. Uzomah,UzomC.00
2020,27,CIN,TE,87.0,2,2,96,,0,,8,,C.J. Uzomah,UzomC.00
2021,28,CIN,TE,87.0,16,16,802,,0,,104,,C.J. Uzomah,UzomC.00
2022,29,NYJ,TE,87.0,15,13,525,,0,,181,,C.J. Uzomah,UzomC.00
2023,30,NYJ,TE,87.0,12,8,239,,0,,148,,C.J. Uzomah,UzomC.00
2024,31,PHI,TE,47.0,7,3,132,,0,,28,,C.J. Uzomah,UzomC.00
2022,23,TAM,TE,88.0,16,11,803,,0,,107,,Cade Otton,OttoCa00
2023,24,TAM,TE,88.0,17,17,1064,,0,,4,,Cade Otton,OttoCa00
2024,25,TAM,TE,88.0,14,14,856,,0,,1,,Cade Otton,OttoCa00
2025,26,TAM,TE,88.0,16,16,993,,0,,2,,Cade Otton,OttoCa00
2022,23,TEN,TE,85.0,17,8,378,,0,,224,,Chigoziem Okonkwo,OkonCh00
2023,24,TEN,TE,85.0,17,11,692,,0,,85,,Chigoziem Okonkwo,OkonCh00
2024,25,TEN,TE,85.0,17,11,665,,0,,168,,Chigoziem Okonkwo,OkonCh00
2025,26,TEN,TE,85.0,17,12,666,,0,,1,,Chigoziem Okonkwo,OkonCh00
2020,21,CHI,TE,85.0,16,9,603,,0,,109,,Cole Kmet,KmetCo00
2021,22,CHI,TE,85.0,17,17,935,,0,,121,,Cole Kmet,KmetCo00
2022,23,CHI,TE,85.0,17,17,971,,0,,57,,Cole Kmet,KmetCo00
2023,24,CHI,TE,85.0,17,17,878,,0,,58,,Cole Kmet,KmetCo00
2024,25,CHI,TE,85.0,17,16,994,,0,,52,,Cole Kmet,KmetCo00
2025,26,CHI,TE,85.0,16,15,768,,0,,74,,Cole Kmet,KmetCo00
2018,23,PHI,TE,88.0,16,8,523,,0,,187,,Dallas Goedert,GoedDa00
2019,24,PHI,TE,88.0,15,9,770,,0,,143,,Dallas Goedert,GoedDa00
2020,25,PHI,TE,88.0,11,9,604,,0,,41,,Dallas Goedert,GoedDa00
2021,26,PHI,TE,88.0,15,14,781,,0,,27,,Dallas Goedert,GoedDa00
2022,27,PHI,TE,88.0,12,12,735,,0,,4,,Dallas Goedert,GoedDa00
2023,28,PHI,TE,88.0,14,14,809,,0,,3,,Dallas Goedert,GoedDa00
2024,29,PHI,TE,88.0,10,10,446,,0,,3,,Dallas Goedert,GoedDa00
2025,30,PHI,TE,88.0,15,15,787,,0,,3,,Dallas Goedert,GoedDa00
2023,24,BUF,TE,86.0,16,11,699,,0,,1,,Dalton Kincaid,KincDa00
2024,25,BUF,TE,86.0,13,9,471,,0,,3,,Dalton Kincaid,KincDa00
2025*,26,BUF,TE,86.0,12,4,302,,0,,1,,Dalton Kincaid,KincDa00
2018,22,DAL,TE,86.0,11,7,300,,0,,66,,Dalton Schultz,SchuDa00
2019,23,DAL,TE,86.0,16,0,117,,0,,95,,Dalton Schultz,SchuDa00
2020,24,DAL,TE,86.0,16,14,973,,0,,9,,Dalton Schultz,SchuDa00
2021,25,DAL,TE,86.0,17,15,993,,0,,86,,Dalton Schultz,SchuDa00
2022,26,DAL,TE,86.0,15,15,817,,0,,1,,Dalton Schultz,SchuDa00
2023,27,HOU,TE,86.0,15,8,739,,0,,1,,Dalton Schultz,SchuDa00
2024,28,HOU,TE,86.0,17,13,865,,0,,12,,Dalton Schultz,SchuDa00
2025,29,HOU,TE,86.0,17,6,827,,0,,2,,Dalton Schultz,SchuDa00
2015,23,BAL,WR,12.0,6,1,45,,0,,95,,Darren Waller,WallDa01
2016,24,BAL,WR,84.0,12,3,234,,0,,213,,Darren Waller,WallDa01
2018,26,OAK,WR,83.0,4,0,42,,0,,36,,Darren Waller,WallDa01
2019,27,OAK,TE,83.0,16,16,922,,0,,4,,Darren Waller,WallDa01
2020*,28,LVR,TE,83.0,16,15,993,,0,,3,,Darren Waller,WallDa01
2021,29,LVR,TE,83.0,11,11,608,,0,,3,,Darren Waller,WallDa01
2022,30,LVR,TE,83.0,9,6,346,,0,,0,,Darren Waller,WallDa01
2023,31,NYG,TE,12.0,12,11,568,,0,,0,,Darren Waller,WallDa01
2025,33,MIA,TE,83.0,9,3,234,,0,,2,,Darren Waller,WallDa01
2017,21,CLE,TE,85.0,16,5,500,,0,,167,,David Njoku,NjokDa00
2018,22,CLE,TE,85.0,16,14,871,,0,,0,,David Njoku,NjokDa00
2019,23,CLE,TE,85.0,4,1,99,,0,,0,,David Njoku,NjokDa00
2020,24,CLE,TE,85.0,13,5,410,,0,,0,,David Njoku,NjokDa00
2021,25,CLE,TE,85.0,16,11,670,,0,,0,,David Njoku,NjokDa00
2022,26,CLE,TE,85.0,14,14,817,,0,,0,,David Njoku,NjokDa00
2023*,27,CLE,TE,85.0,16,16,970,,0,,0,,David Njoku,NjokDa00
2024,28,CLE,TE,85.0,11,11,589,,0,,0,,David Njoku,NjokDa00
2025,29,CLE,TE,85.0,12,11,514,,0,,0,,David Njoku,NjokDa00
2017,23,NYG,TE,88.0,15,11,777,,0,,115,,Evan Engram,EngrEv00
2018,24,NYG,TE,88.0,11,8,475,,0,,7,,Evan Engram,EngrEv00
2019,25,NYG,TE,88.0,8,6,444,,0,,1,,Evan Engram,EngrEv00
2020*,26,NYG,TE,88.0,16,14,837,,0,,35,,Evan Engram,EngrEv00
2021,27,NYG,TE,88.0,15,12,722,,0,,0,,Evan Engram,EngrEv00
2022,28,JAX,TE,17.0,17,14,868,,0,,1,,Evan Engram,EngrEv00
