Season,Age,Team,Lg,Pos,G,GS,Tgt,Rec,Yds,1D,YBC,YBC/R,YAC,YAC/R,ADOT,BrkTkl,Rec/Br,Drop,Drop%,Int,rec_pass_rating,Att,Yds.1,1D.1,YBC.1,YBC/Att,YAC.1,YAC/Att,BrkTkl.1,Att/Br,awards,Player,PlayerID,Rec_Yds,Rec_1D,Rec_AirYds,Rec_AirYds/R,Rec_YAC,Rec_YAC/R,Rec_aDOT,Rec_BrkTkl,Rec_BrkTkl/R,Rec_Drops,Rec_Drop%,Rec_Int,Rec_PassRtg,Rush_Att,Rush_Yds,Rush_1D,Rush_YBC,Rush_YBC/A,Rush_YAC,Rush_YAC/A,Rush_BrkTkl,Awards
2024,22,LVR,NFL,TE,17,16,153,112,1194.0,61.0,598.0,5.3,596.0,5.3,6.1,6.0,18.7,6.0,3.9,5.0,92.9,5.0,13.0,2.0,-1.0,-0.2,14.0,2.8,1.0,5.0,,Brock Bowers,BoweBr01,,,,,,,,,,,,,,,,,,,,,,
2025,23,LVR,NFL,TE,12,8,86,64,680.0,36.0,375.0,5.9,305.0,4.8,6.5,3.0,21.3,4.0,4.7,3.0,109.6,2.0,2.0,0.0,-1.0,-0.5,3.0,1.5,0.0,,,Brock Bowers,BoweBr01,,,,,,,,,,,,,,,,,,,,,,
2018,25,CIN,NFL,TE,16,15,64,43,439.0,21.0,237.0,5.5,202.0,4.7,6.7,4.0,10.8,2.0,3.1,0.0,102.3,0.0,0.0,0.0,0.0,,0.0,,0.0,,,C.J. Uzomah,UzomC.00,,,,,,,,,,,,,,,,,,,,,,
2019,26,CIN,NFL,TE,16,16,40,27,242.0,12.0,107.0,4.0,135.0,5.0,3.9,1.0,27.0,2.0,5.0,1.0,89.8,0.0,0.0,0.0,0.0,,0.0,,0.0,,,C.J. Uzomah,UzomC.00,,,,,,,,,,,,,,,,,,,,,,
2020,27,CIN,NFL,TE,2,2,11,8,87.0,6.0,57.0,7.1,30.0,3.8,8.5,0.0,,1.0,9.1,0.0,125.9,0.0,0.0,0.0,0.0,,0.0,,0.0,,,C.J. Uzomah,UzomC.00,,,,,,,,,,,,,,,,,,,,,,
2021,28,CIN,NFL,TE,16,16,63,49,493.0,24.0,193.0,3.9,300.0,6.1,4.3,5.0,9.8,4.0,6.3,1.0,119.1,0.0,0.0,0.0,0.0,,0.0,,0.0,,,C.J. Uzomah,UzomC.00,,,,,,,,,,,,,,,,,,,,,,
2022,29,NYJ,NFL,TE,15,13,27,21,232.0,10.0,127.0,6.0,105.0,5.0,7.3,2.0,10.5,0.0,0.0,0.0,127.2,0.0,0.0,0.0,0.0,,0.0,,0.0,,,C.J. Uzomah,UzomC.00,,,,,,,,,,,,,,,,,,,,,,
2023,30,NYJ,NFL,TE,12,8,12,8,58.0,5.0,25.0,3.1,33.0,4.1,5.3,2.0,4.0,1.0,8.3,0.0,105.6,0.0,0.0,0.0,0.0,,0.0,,0.0,,,C.J. Uzomah,UzomC.00,,,,,,,,,,,,,,,,,,,,,,
2024,31,PHI,NFL,TE,7,3,0,0,0.0,0.0,0.0,,0.0,,,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.0,,0.0,,0.0,,,C.J. Uzomah,UzomC.00,,,,,,,,,,,,,,,,,,,,,,
2022,23,TAM,NFL,TE,16,11,65,42,391.0,23.0,217.0,5.2,174.0,4.1,4.9,2.0,21.0,5.0,7.7,0.0,91.2,0.0,0.0,0.0,0.0,,0.0,,0.0,,,Cade Otton,OttoCa00,,,,,,,,,,,,,,,,,,,,,,
