Season,Age,Team,Pos,G,GS,Def_Int,Def_Int_Yds,Def_Int_TD,Def_Int_Lng,PD,FF,Fmb,FR,FR_Yds,FR_TD,Sk,Tkl_Comb,Tkl_Solo,Tkl_Ast,TFL,QBHits,Sfty,Awards,Player,PlayerID
2015,22,CIN,TE,5,0,0,0,0,0,0,0,0,0,0,0,0.0,2,1,1,0.0,0.0,0,,C.J. Uzomah,UzomC.00
2017,24,CIN,TE,14,4,0,0,0,0,0,0,0,0,0,0,0.0,12,9,3,0.0,0.0,0,,C.J. Uzomah,UzomC.00
2019,26,CIN,TE,16,16,0,0,0,0,0,0,0,0,0,0,0.0,1,0,1,0.0,0.0,0,,C.J. Uzomah,UzomC.00
2022,29,NYJ,TE,15,13,0,0,0,0,0,0,0,1,0,0,0.0,2,2,0,0.0,0.0,0,,C.J. Uzomah,UzomC.00
2023,30,NYJ,TE,12,8,0,0,0,0,0,0,0,0,0,0,0.0,2,2,0,0.0,0.0,0,,C.J. Uzomah,UzomC.00
2024,31,PHI,TE,7,3,0,0,0,0,0,0,0,0,0,0,0.0,1,0,1,0.0,0.0,0,,C.J. Uzomah,UzomC.00
2022,23,TEN,TE,17,8,0,0,0,0,0,0,0,0,0,0,0.0,7,5,2,0.0,0.0,0,,Chigoziem Okonkwo,OkonCh00
2023,24,TEN,TE,17,11,0,0,0,0,0,0,0,1,0,0,0.0,1,0,1,0.0,0.0,0,,Chigoziem Okonkwo,OkonCh00
2024,25,TEN,TE,17,11,0,0,0,0,0,0,2,0,0,0,0.0,4,3,1,0.0,0.0,0,,Chigoziem Okonkwo,OkonCh00
2023,24,BUF,TE,16,11,0,0,0,0,0,0,1,0,0,0,0.0,0,0,0,0.0,0.0,0,,Dalton Kincaid,KincDa00
2024,25,BUF,TE,13,9,0,0,0,0,0,0,1,0,0,0,0.0,0,0,0,0.0,0.0,0,,Dalton Kincaid,KincDa00
2025,26,BUF,TE,12,4,0,0,0,0,0,0,1,0,0,0,0.0,0,0,0,0.0,0.0,0,PB,Dalton Kincaid,KincDa00
2018,22,DAL,TE,11,7,0,0,0,0,0,0,0,1,0,0,0.0,1,1,0,0.0,0.0,0,,Dalton Schultz,SchuDa00
2020,24,DAL,TE,16,14,0,0,0,0,0,0,1,1,0,0,0.0,0,0,0,0.0,0.0,0,,Dalton Schultz,SchuDa00
2021,25,DAL,TE,17,15,0,0,0,0,0,0,0,0,0,0,0.0,1,1,0,0.0,0.0,0,,Dalton Schultz,SchuDa00
2022,26,DAL,TE,15,15,0,0,0,0,0,0,1,0,0,0,0.0,1,1,0,0.0,0.0,0,,Dalton Schultz,SchuDa00
2023,27,HOU,TE,15,8,0,0,0,0,0,0,1,0,0,0,0.0,0,0,0,0.0,0.0,0,,Dalton Schultz,SchuDa00
2025,29,HOU,TE,17,6,0,0,0,0,0,0,1,0,0,0,0.0,0,0,0,0.0,0.0,0,,Dalton Schultz,SchuDa00
2021,25,CLE,TE,16,11,0,0,0,0,0,0,0,1,0,0,0.0,2,2,0,0.0,0.0,0,,David Njoku,NjokDa00
2022,26,CLE,TE,14,14,0,0,0,0,0,0,1,0,0,0,0.0,0,0,0,0.0,0.0,0,,David Njoku,NjokDa00
2023,27,CLE,TE,16,16,0,0,0,0,0,0,2,0,0,0,0.0,0,0,0,0.0,0.0,0,PB,David Njoku,NjokDa00
2020,26,NYG,TE,16,14,0,0,0,0,0,0,1,0,0,0,0.0,0,0,0,0.0,0.0,0,PB,Evan Engram,EngrEv00
2021,27,NYG,TE,15,12,0,0,0,0,0,0,1,0,0,0,0.0,0,0,0,0.0,0.0,0,,Evan Engram,EngrEv00
2022,28,JAX,TE,17,14,0,0,0,0,0,0,0,0,0,0,0.0,2,2,0,0.0,0.0,0,,Evan Engram,EngrEv00
2023,29,JAX,TE,17,15,0,0,0,0,0,0,3,1,0,0,0.0,0,0,0,0.0,0.0,0,PB,Evan Engram,EngrEv00
2024,30,JAX,TE,9,9,0,0,0,0,0,0,1,0,0,0,0.0,0,0,0,0.0,0.0,0,,Evan Engram,EngrEv00
2019,22,OAK,TE,13,7,0,0,0,0,0,0,0,0,0,0,0.0,3,3,0,0.0,0.0,0,,Foster Moreau,MoreFo00
2020,23,LVR,TE,16,2,0,0,0,0,0,0,0,0,0,0,0.0,1,0,1,0.0,0.0,0,,Foster Moreau,MoreFo00
2021,24,LVR,TE,17,11,0,0,0,0,0,1,1,1,0,0,0.0,4,3,1,0.0,0.0,0,,Foster Moreau,MoreFo00
2022,25,LVR,TE,15,14,0,0,0,0,0,0,1,1,0,0,0.0,0,0,0,0.0,0.0,0,,Foster Moreau,MoreFo00
2025,25,MIA,TE,10,3,0,0,0,0,0,0,1,0,0,0,0.0,0,0,0,0.0,0.0,0,,Greg Dulcich,DulcGr00
2021,28,ATL,TE,13,5,0,0,0,0,0,0,3,0,0,0,0.0,1,1,0,0.0,0.0,0,,Hayden Hurst,HursHa00
2022,29,CIN,TE,13,13,0,0,0,0,0,0,0,0,0,0,0.0,1,1,0,0.0,0.0,0,,Hayden Hurst,HursHa00
2016,22,SDG,TE,15,10,0,0,0,0,0,0,1,0,0,0,0.0,0,0,0,0.0,0.0,0,,Hunter Henry,HenrHu00
2017,23,LAC,TE,14,13,0,0,0,0,0,0,0,1,0,0,0.0,0,0,0,0.0,0.0,0,,Hunter Henry,HenrHu00
2019,25,LAC,TE,12,12,0,0,0,0,0,0,1,1,0,0,0.0,0,0,0,0.0,0.0,0,,Hunter Henry,HenrHu00
2022,28,NWE,TE,17,14,0,0,0,0,0,0,0,0,0,0,0.0,2,2,0,0.0,0.0,0,,Hunter Henry,HenrHu00
2023,29,NWE,TE,14,10,0,0,0,0,0,0,1,0,0,0,0.0,0,0,0,0.0,0.0,0,,Hunter Henry,HenrHu00
2018,23,TEN,TE,13,12,0,0,0,0,0,0,1,0,0,0,0.0,0,0,0,0.0,0.0,0,,Jonnu Smith,SmitJo01
2021,26,NWE,TE,16,11,0,0,0,0,0,0,1,2,0,0,0.0,0,0,0,0.0,0.0,0,,Jonnu Smith,SmitJo01
2022,27,NWE,TE,14,8,0,0,0,0,0,0,1,1,0,0,0.0,0,0,0,0.0,0.0,0,,Jonnu Smith,SmitJo01
2023,28,ATL,TE,17,6,0,0,0,0,0,0,1,0,0,0,0.0,0,0,0,0.0,0.0,0,,Jonnu Smith,SmitJo01
2024,29,MIA,TE,17,6,0,0,0,0,0,0,2,0,0,0,0.0,0,0,0,0.0,0.0,0,PB,Jonnu Smith,SmitJo01
2025,30,PIT,TE,17,7,0,0,0,0,0,0,1,1,0,0,0.0,0,0,0,0.0,0.0,0,,Jonnu Smith,SmitJo01
2019,24,BAL,TE,15,4,0,0,0,0,0,0,2,1,0,0,0.0,0,0,0,0.0,0.0,0,PB,Mark Andrews,AndrMa00
2020,25,BAL,TE,14,2,0,0,0,0,0,0,2,0,0,0,0.0,0,0,0,0.0,0.0,0,,Mark Andrews,AndrMa00
2021,26,BAL,TE,17,9,0,0,0,0,0,0,1,1,0,0,0.0,6,5,1,0.0,0.0,0,"PB,AP-1",Mark Andrews,AndrMa00
2022,27,BAL,TE,15,15,0,0,0,0,0,0,1,0,0,0,0.0,0,0,0,0.0,0.0,0,PB,Mark Andrews,AndrMa00
2023,28,BAL,TE,10,9,0,0,0,0,0,0,1,1,0,0,0.0,0,0,0,0.0,0.0,0,,Mark Andrews,AndrMa00
2025,30,BAL,TE,17,11,0,0,0,0,0,0,1,0,0,0,0.0,0,0,0,0.0,0.0,0,,Mark Andrews,AndrMa00
2021,23,PIT,TE,16,9,0,0,0,0,0,0,1,0,0,0,0.0,1,1,0,0.0,0.0,0,,Pat Freiermuth,FreiPa00
2022,24,PIT,TE,16,8,0,0,0,0,0,0,0,0,0,0,0.0,1,1,0,0.0,0.0,0,,Pat Freiermuth,FreiPa00
2024,26,PIT,TE,17,11,0,0,0,0,0,0,3,1,0,0,0.0,0,0,0,0.0,0.0,0,,Pat Freiermuth,FreiPa00
2014,25,KAN,TE,16,11,0,0,0,0,0,0,4,1,0,1,0.0,0,0,0,0.0,0.0,0,,Travis Kelce,KelcTr00
2015,26,KAN,TE,16,16,0,0,0,0,0,0,2,0,0,0,0.0,0,0,0,,,0,PB,Travis Kelce,KelcTr00
2018,29,KAN,TE,16,16,0,0,0,0,0,0,2,0,0,0,0.0,0,0,0,0.0,0.0,0,"PB,AP-1",Travis Kelce,KelcTr00
2019,30,KAN,TE,16,16,0,0,0,0,0,0,1,0,0,0,0.0,0,0,0,0.0,0.0,0,"PB,AP-2",Travis Kelce,KelcTr00
2020,31,KAN,TE,15,15,0,0,0,0,0,0,1,0,0,0,0.0,0,0,0,0.0,0.0,0,"PB,AP-1,AP OPoY-4",Travis Kelce,KelcTr00
2021,32,KAN,TE,16,16,0,0,0,0,0,0,1,0,0,0,0.0,0,0,0,0.0,0.0,0,"PB,AP-2",Travis Kelce,KelcTr00
2022,33,KAN,TE,17,17,0,0,0,0,0,0,1,0,0,0,0.0,2,2,0,0.0,0.0,0,"PB,AP-1,AP OPoY-6",Travis Kelce,KelcTr00
2023,34,KAN,TE,15,15,0,0,0,0,0,0,1,0,0,0,0.0,0,0,0,0.0,0.0,0,PB,Travis Kelce,KelcTr00
2024,35,KAN,TE,16,16,0,0,0,0,0,0,2,0,0,0,0.0,0,0,0,0.0,0.0,0,PB,Travis Kelce,KelcTr00
2025,36,KAN,TE,17,17,0,0,0,0,0,0,1,0,0,0,0.0,0,0,0,0.0,0.0,0,PB,Travis Kelce,KelcTr00
