Season,Age,Team,Lg,Pos,G,GS,Tgt,Rec,Yds,Y/R,TD,1D,rec_success,rec_long,R/G,Y/G,catch_pct,Y/Tgt,Att,Yds.1,TD.1,1D.1,Succ%,Lng,Y/A,Y/G.1,A/G,Touch,yds_per_touch,yds_from_scrimmage,rush_receive_td,fumbles,av,awards,Player,PlayerID
2024,22,LVR,NFL,TE,17,16,153,112,1194,10.7,5,61,60.8,57.0,6.6,70.2,73.2,7.8,5,13,0,2,60.0,12.0,2.6,0.8,0.3,117,10.3,1207,5,0,9.0,,Brock Bowers,BoweBr01
2025,23,LVR,NFL,TE,11,7,81,59,647,11.0,6,34,60.5,38.0,5.4,58.8,72.8,8.0,2,2,0,0,50.0,6.0,1.0,0.2,0.2,61,10.6,649,6,0,,,Brock Bowers,BoweBr01
2015,22,CIN,NFL,TE,5,0,1,1,4,4.0,0,1,100.0,4.0,0.2,0.8,100.0,4.0,0,0,0,0,,,,0.0,0.0,1,4.0,4,0,0,0.0,,C.J. Uzomah,UzomC.00
2016,23,CIN,NFL,TE,10,8,38,25,234,9.4,1,14,52.6,54.0,2.5,23.4,65.8,6.2,0,0,0,0,,,,0.0,0.0,25,9.4,234,1,0,2.0,,C.J. Uzomah,UzomC.00
2017,24,CIN,NFL,TE,14,4,15,10,92,9.2,1,7,53.3,21.0,0.7,6.6,66.7,6.1,0,0,0,0,,,,0.0,0.0,10,9.2,92,1,0,1.0,,C.J. Uzomah,UzomC.00
2018,25,CIN,NFL,TE,16,15,64,43,439,10.2,3,21,57.8,29.0,2.7,27.4,67.2,6.9,0,0,0,0,,,,0.0,0.0,43,10.2,439,3,0,4.0,,C.J. Uzomah,UzomC.00
2019,26,CIN,NFL,TE,16,16,40,27,242,9.0,2,12,55.0,36.0,1.7,15.1,67.5,6.1,0,0,0,0,,,,0.0,0.0,27,9.0,242,2,0,2.0,,C.J. Uzomah,UzomC.00
2020,27,CIN,NFL,TE,2,2,11,8,87,10.9,1,6,63.6,23.0,4.0,43.5,72.7,7.9,0,0,0,0,,,,0.0,0.0,8,10.9,87,1,0,1.0,,C.J. Uzomah,UzomC.00
2021,28,CIN,NFL,TE,16,16,63,49,493,10.1,5,24,54.0,55.0,3.1,30.8,77.8,7.8,0,0,0,0,,,,0.0,0.0,49,10.1,493,5,0,4.0,,C.J. Uzomah,UzomC.00
2022,29,NYJ,NFL,TE,15,13,27,21,232,11.0,2,10,51.9,40.0,1.4,15.5,77.8,8.6,0,0,0,0,,,,0.0,0.0,21,11.0,232,2,0,2.0,,C.J. Uzomah,UzomC.00
2023,30,NYJ,NFL,TE,12,8,12,8,58,7.3,1,5,58.3,19.0,0.7,4.8,66.7,4.8,0,0,0,0,,,,0.0,0.0,8,7.3,58,1,0,0.0,,C.J. Uzomah,UzomC.00
2024,31,PHI,NFL,TE,7,3,0,0,0,,0,0,,,0.0,0.0,,,0,0,0,0,,,,0.0,0.0,0,,0,0,0,0.0,,C.J. Uzomah,UzomC.00
2022,23,TAM,NFL,TE,16,11,65,42,391,9.3,2,19,52.3,35.0,2.6,24.4,64.6,6.0,0,0,0,0,,,,0.0,0.0,42,9.3,391,2,0,3.0,,Cade Otton,OttoCa00
2023,24,TAM,NFL,TE,17,17,67,47,455,9.7,4,22,49.3,27.0,2.8,26.8,70.1,6.8,0,0,0,0,,,,0.0,0.0,47,9.7,455,4,1,4.0,,Cade Otton,OttoCa00
2024,25,TAM,NFL,TE,14,14,87,59,600,10.2,4,31,51.7,44.0,4.2,42.9,67.8,6.9,1,-4,0,0,0.0,-4.0,-4.0,-0.3,0.1,60,9.9,596,4,2,6.0,,Cade Otton,OttoCa00
2025,26,TAM,NFL,TE,13,13,66,46,430,9.3,0,18,50.0,27.0,3.5,33.1,69.7,6.5,0,0,0,0,,,,0.0,0.0,46,9.3,430,0,0,,,Cade Otton,OttoCa00
2022,23,TEN,NFL,TE,17,8,46,32,450,14.1,3,22,50.0,48.0,1.9,26.5,69.6,9.8,3,2,0,0,0.0,6.0,0.7,0.1,0.2,35,12.9,452,3,0,4.0,,Chigoziem Okonkwo,OkonCh00
2023,24,TEN,NFL,TE,17,11,77,54,528,9.8,1,25,48.1,39.0,3.2,31.1,70.1,6.9,2,6,0,1,50.0,4.0,3.0,0.4,0.1,56,9.5,534,1,0,5.0,,Chigoziem Okonkwo,OkonCh00
2024,25,TEN,NFL,TE,17,11,70,52,479,9.2,2,19,55.7,70.0,3.1,28.2,74.3,6.8,1,17,0,1,100.0,17.0,17.0,1.0,0.1,53,9.4,496,2,2,4.0,,Chigoziem Okonkwo,OkonCh00
2025,26,TEN,NFL,TE,14,10,59,45,459,10.2,0,20,52.5,39.0,3.2,32.8,76.3,7.8,0,0,0,0,,,,0.0,0.0,45,10.2,459,0,0,,,Chigoziem Okonkwo,OkonCh00
2020,21,CHI,NFL,TE,16,9,44,28,243,8.7,2,12,54.5,38.0,1.8,15.2,63.6,5.5,1,-3,0,0,0.0,-3.0,-3.0,-0.2,0.1,29,8.3,240,2,1,2.0,,Cole Kmet,KmetCo00
2021,22,CHI,NFL,TE,17,17,93,60,612,10.2,0,29,48.4,25.0,3.5,36.0,64.5,6.6,1,0,0,0,0.0,,0.0,0.0,0.1,61,10.0,612,0,0,5.0,,Cole Kmet,KmetCo00
2022,23,CHI,NFL,TE,17,17,69,50,544,10.9,7,27,59.4,50.0,2.9,32.0,72.5,7.9,2,9,0,1,100.0,8.0,4.5,0.5,0.1,52,10.6,553,7,1,7.0,,Cole Kmet,KmetCo00
2023,24,CHI,NFL,TE,17,17,90,73,719,9.8,6,36,62.2,53.0,4.3,42.3,81.1,8.0,3,2,0,2,66.7,1.0,0.7,0.1,0.2,76,9.5,721,6,1,7.0,,Cole Kmet,KmetCo00
2024,25,CHI,NFL,TE,17,16,55,47,474,10.1,4,25,70.9,31.0,2.8,27.9,85.5,8.6,0,0,0,0,,,,0.0,0.0,47,10.1,474,4,0,4.0,,Cole Kmet,KmetCo00
2025,26,CHI,NFL,TE,13,12,39,24,301,12.5,2,14,51.3,31.0,1.8,23.2,61.5,7.7,0,0,0,0,,,,0.0,0.0,24,12.5,301,2,0,,,Cole Kmet,KmetCo00
2018,23,PHI,NFL,TE,16,8,44,33,334,10.1,4,15,59.1,32.0,2.1,20.9,75.0,7.6,0,0,0,0,,,,0.0,0.0,33,10.1,334,4,0,2.0,,Dallas Goedert,GoedDa00
2019,24,PHI,NFL,TE,15,9,87,58,607,10.5,5,33,57.5,28.0,3.9,40.5,66.7,7.0,0,0,0,0,,,,0.0,0.0,58,10.5,607,5,2,5.0,,Dallas Goedert,GoedDa00
2020,25,PHI,NFL,TE,11,9,65,46,524,11.4,3,28,60.0,41.0,4.2,47.6,70.8,8.1,0,0,0,0,,,,0.0,0.0,46,11.4,524,3,0,4.0,,Dallas Goedert,GoedDa00
2021,26,PHI,NFL,TE,15,14,76,56,830,14.8,4,42,68.4,45.0,3.7,55.3,73.7,10.9,0,0,0,0,,,,0.0,0.0,56,14.8,830,4,1,9.0,,Dallas Goedert,GoedDa00
2022,27,PHI,NFL,TE,12,12,69,55,702,12.8,3,40,69.6,31.0,4.6,58.5,79.7,10.2,0,0,0,0,,,,0.0,0.0,55,12.8,702,3,1,7.0,,Dallas Goedert,GoedDa00
2023,28,PHI,NFL,TE,14,14,83,59,592,10.0,3,33,60.2,49.0,4.2,42.3,71.1,7.1,1,1,0,0,0.0,1.0,1.0,0.1,0.1,60,9.9,593,3,0,6.0,,Dallas Goedert,GoedDa00
2024,29,PHI,NFL,TE,10,10,52,42,496,11.8,2,20,55.8,61.0,4.2,49.6,80.8,9.5,0,0,0,0,,,,0.0,0.0,42,11.8,496,2,2,6.0,,Dallas Goedert,GoedDa00
2025,30,PHI,NFL,TE,13,13,73,54,551,10.2,9,32,61.6,36.0,4.2,42.4,74.0,7.5,0,0,0,0,,,,0.0,0.0,54,10.2,551,9,0,,,Dallas Goedert,GoedDa00
2023,24,BUF,NFL,TE,16,11,91,73,673,9.2,2,29,61.5,51.0,4.6,42.1,80.2,7.4,0,0,0,0,,,,0.0,0.0,73,9.2,673,2,1,7.0,,Dalton Kincaid,KincDa00
2024,25,BUF,NFL,TE,13,9,75,44,448,10.2,2,23,53.3,29.0,3.4,34.5,58.7,6.0,0,0,0,0,,,,0.0,0.0,44,10.2,448,2,1,5.0,,Dalton Kincaid,KincDa00
2025,26,BUF,NFL,TE,10,3,45,36,523,14.5,5,25,66.7,47.0,3.6,52.3,80.0,11.6,0,0,0,0,,,,0.0,0.0,36,14.5,523,5,1,,,Dalton Kincaid,KincDa00
2018,22,DAL,NFL,TE,11,7,17,12,116,9.7,0,6,64.7,17.0,1.1,10.5,70.6,6.8,0,0,0,0,,,,0.0,0.0,12,9.7,116,0,0,1.0,,Dalton Schultz,SchuDa00
2019,23,DAL,NFL,TE,16,0,2,1,6,6.0,0,0,50.0,6.0,0.1,0.4,50.0,3.0,0,0,0,0,,,,0.0,0.0,1,6.0,6,0,0,0.0,,Dalton Schultz,SchuDa00
2020,24,DAL,NFL,TE,16,14,89,63,615,9.8,4,33,61.8,28.0,3.9,38.4,70.8,6.9,0,0,0,0,,,,0.0,0.0,63,9.8,615,4,1,5.0,,Dalton Schultz,SchuDa00
2021,25,DAL,NFL,TE,17,15,104,78,808,10.4,8,43,62.5,32.0,4.6,47.5,75.0,7.8,0,0,0,0,,,,0.0,0.0,78,10.4,808,8,0,7.0,,Dalton Schultz,SchuDa00
2022,26,DAL,NFL,TE,15,15,89,57,577,10.1,5,27,55.1,30.0,3.8,38.5,64.0,6.5,0,0,0,0,,,,0.0,0.0,57,10.1,577,5,1,6.0,,Dalton Schultz,SchuDa00
2023,27,HOU,NFL,TE,15,8,88,59,635,10.8,5,35,52.3,31.0,3.9,42.3,67.0,7.2,0,0,0,0,,,,0.0,0.0,59,10.8,635,5,1,5.0,,Dalton Schultz,SchuDa00
2024,28,HOU,NFL,TE,17,13,85,53,532,10.0,2,26,49.4,32.0,3.1,31.3,62.4,6.3,0,0,0,0,,,,0.0,0.0,53,10.0,532,2,0,4.0,,Dalton Schultz,SchuDa00
2025,29,HOU,NFL,TE,14,4,93,70,650,9.3,2,34,59.1,47.0,5.0,46.4,75.3,7.0,0,0,0,0,,,,0.0,0.0,70,9.3,650,2,0,,,Dalton Schultz,SchuDa00
2015,23,BAL,NFL,WR,6,1,6,2,18,9.0,0,1,16.7,17.0,0.3,3.0,33.3,3.0,0,0,0,0,,,,0.0,0.0,2,9.0,18,0,0,0.0,,Darren Waller,WallDa01
2016,24,BAL,NFL,WR,12,3,17,10,85,8.5,2,7,41.2,15.0,0.8,7.1,58.8,5.0,0,0,0,0,,,,0.0,0.0,10,8.5,85,2,0,1.0,,Darren Waller,WallDa01
2018,26,OAK,NFL,WR,4,0,6,6,75,12.5,0,4,83.3,44.0,1.5,18.8,100.0,12.5,1,21,0,1,100.0,21.0,21.0,5.3,0.3,7,13.7,96,0,0,1.0,,Darren Waller,WallDa01
2019,27,OAK,NFL,TE,16,16,117,90,1145,12.7,3,53,64.1,75.0,5.6,71.6,76.9,9.8,2,5,0,0,50.0,7.0,2.5,0.3,0.1,92,12.5,1150,3,1,8.0,,Darren Waller,WallDa01
2020,28,LVR,NFL,TE,16,15,145,107,1196,11.2,9,68,62.8,38.0,6.7,74.8,73.8,8.2,0,0,0,0,,,,0.0,0.0,107,11.2,1196,9,2,11.0,,Darren Waller,WallDa01
2021,29,LVR,NFL,TE,11,11,93,55,665,12.1,2,31,49.5,33.0,5.0,60.5,59.1,7.2,0,0,0,0,,,,0.0,0.0,55,12.1,665,2,0,5.0,,Darren Waller,WallDa01
2022,30,LVR,NFL,TE,9,6,43,28,388,13.9,3,18,46.5,34.0,3.1,43.1,65.1,9.0,0,0,0,0,,,,0.0,0.0,28,13.9,388,3,0,4.0,,Darren Waller,WallDa01
2023,31,NYG,NFL,TE,12,11,74,52,552,10.6,1,25,56.8,29.0,4.3,46.0,70.3,7.5,0,0,0,0,,,,0.0,0.0,52,10.6,552,1,0,4.0,,Darren Waller,WallDa01
2025,33,MIA,NFL,TE,7,2,26,20,243,12.2,6,16,73.1,34.0,2.9,34.7,76.9,9.3,1,4,0,1,100.0,4.0,4.0,0.6,0.1,21,11.8,247,6,0,,,Darren Waller,WallDa01
2017,21,CLE,NFL,TE,16,5,60,32,386,12.1,4,17,38.3,34.0,2.0,24.1,53.3,6.4,1,1,0,0,0.0,1.0,1.0,0.1,0.1,33,11.7,387,4,0,2.0,,David Njoku,NjokDa00
2018,22,CLE,NFL,TE,16,14,88,56,639,11.4,4,27,45.5,66.0,3.5,39.9,63.6,7.3,0,0,0,0,,,,0.0,0.0,56,11.4,639,4,0,5.0,,David Njoku,NjokDa00
