Season,Age,Team,Pos,No.,G,GS,offense,Off%,defense,Def%,special_teams,ST%,Player,PlayerID,Off_Snaps,Def_Snaps,ST_Snaps
2024*+,22,LVR,TE,89.0,17,16,956.0,,0.0,,0.0,,Brock Bowers,BoweBr01,,,
2025*,23,LVR,TE,89.0,12,8,605.0,,0.0,,0.0,,Brock Bowers,BoweBr01,,,
2015,22,CIN,TE,87.0,5,0,,15%,,0%,,57%,C.J. Uzomah,UzomC.00,48.0,0.0,79.0
2016,23,CIN,TE,87.0,10,8,,63%,,0%,,24%,C.J. Uzomah,UzomC.00,411.0,0.0,67.0
2017,24,CIN,TE,87.0,14,4,,25%,,0%,,62%,C.J. Uzomah,UzomC.00,211.0,0.0,249.0
2018,25,CIN,TE,87.0,16,15,,84%,,0%,,28%,C.J. Uzomah,UzomC.00,839.0,0.0,127.0
2019,26,CIN,TE,87.0,16,16,,59%,,0%,,36%,C.J. Uzomah,UzomC.00,644.0,0.0,158.0
2020,27,CIN,TE,87.0,2,2,,60%,,0%,,14%,C.J. Uzomah,UzomC.00,96.0,0.0,8.0
2021,28,CIN,TE,87.0,16,16,,77%,,0%,,23%,C.J. Uzomah,UzomC.00,802.0,0.0,104.0
2022,29,NYJ,TE,87.0,15,13,,53%,,0%,,44%,C.J. Uzomah,UzomC.00,525.0,0.0,181.0
2023,30,NYJ,TE,87.0,12,8,,32%,,0%,,44%,C.J. Uzomah,UzomC.00,239.0,0.0,148.0
2024,31,PHI,TE,47.0,7,3,,28%,,0%,,15%,C.J. Uzomah,UzomC.00,132.0,0.0,28.0
2022,23,TAM,TE,88.0,16,11,803.0,,0.0,,107.0,,Cade Otton,OttoCa00,,,
2023,24,TAM,TE,88.0,17,17,1064.0,,0.0,,4.0,,Cade Otton,OttoCa00,,,
2024,25,TAM,TE,88.0,14,14,856.0,,0.0,,1.0,,Cade Otton,OttoCa00,,,
2025,26,TAM,TE,88.0,16,16,993.0,,0.0,,2.0,,Cade Otton,OttoCa00,,,
2022,23,TEN,TE,85.0,17,8,,37%,,0%,,50%,Chigoziem Okonkwo,OkonCh00,378.0,0.0,224.0
2023,24,TEN,TE,85.0,17,11,,66%,,0%,,19%,Chigoziem Okonkwo,OkonCh00,692.0,0.0,85.0
2024,25,TEN,TE,85.0,17,11,,61%,,0%,,37%,Chigoziem Okonkwo,OkonCh00,665.0,0.0,168.0
2025,26,TEN,TE,85.0,17,12,,63%,,0%,,0%,Chigoziem Okonkwo,OkonCh00,666.0,0.0,1.0
