QB,Seasons_in_Career_Ranking,Avg_Points,Max_Points,Avg_QBR,Max_Elo,Career_Wins,Career_Losses,Season,Points_2025,QBR_2025,Elo_2025,Wins_2025,Losses_2025
Aaron Rodgers,17,2.5461911182352943,6.22077,64.16875,295.039,157,83,2025,0.492612,44.1,165.321,10,6
Andy Dalton,15,-0.9143435333333334,1.30023,51.89166666666667,237.415,88,87,2025,-2.03796,,-93.4208,1,2
Baker Mayfield,8,-0.8220281250000001,2.60553,51.4875,248.22,60,63,2025,-0.221885,60.9,169.308,8,9
Bo Nix,2,1.58739,1.78766,56.0,214.929,24,10,2025,1.38712,58.5,202.198,14,3
Brady Cook,1,-4.54513,-4.54513,,-0.4252,0,5,2025,-4.54513,,-0.4252,0,5
Brock Purdy,4,0.5767399999999999,2.10664,69.55,237.286,32,16,2025,2.10664,73.1,237.286,7,2
Bryce Young,3,-2.2680966666666666,-1.09074,43.93333333333334,135.903,14,32,2025,-1.09074,47.7,132.658,8,8
C.J. Stroud,3,-0.5868396666666666,0.95137,55.43333333333334,198.748,28,18,2025,-0.371519,62.4,165.518,9,5
Caleb Williams,2,-0.5418435,0.736483,50.8,194.807,16,18,2025,0.736483,58.3,194.807,11,6
Cam Ward,1,-2.22843,-2.22843,33.1,76.7164,3,14,2025,-2.22843,33.1,76.7164,3,14
Carson Wentz,10,-0.9148248999999999,2.33636,59.6125,251.984,50,50,2025,-2.21514,,107.76,2,3
Chris Oladokun,1,-3.77394,-3.77394,,29.8979,0,3,2025,-3.77394,,29.8979,0,3
Clayton Tune,2,-3.9593550000000004,-3.58391,,-11.3338,1,5,2025,-4.3348,,-11.3338,0,2
Cooper Rush,4,-3.4951575,-2.19027,49.25,170.226,13,13,2025,-2.26517,,12.2344,0,3
Dak Prescott,10,1.6700454999999998,3.48275,65.34,310.467,83,55,2025,1.39768,70.6,221.802,7,9
Daniel Jones,7,-0.8597252285714285,2.18921,54.699999999999996,203.07,32,50,2025,-0.0781219,63.7,203.07,8,5
Davis Mills,4,-1.5227075,-1.07824,47.0,178.798,12,25,2025,-1.29034,,178.798,5,1
Dillon Gabriel,1,-3.65456,-3.65456,,72.5129,1,9,2025,-3.65456,,72.5129,1,9
Drake Maye,2,0.7354345000000001,2.20326,66.2,229.233,17,13,2025,2.20326,77.2,229.233,14,3
Gardner Minshew,7,-1.1778317142857142,0.170463,42.28333333333333,160.032,22,36,2025,-2.00658,,-30.6994,0,2
Geno Smith,9,-1.0131200111111112,1.06644,47.642857142857146,191.32,42,60,2025,-2.78539,34.2,72.7681,2,13
J.J. McCarthy,1,-3.04806,-3.04806,,51.1334,6,4,2025,-3.04806,,51.1334,6,4
Jacoby Brissett,7,-1.6241928571428572,0.308194,49.8,176.229,28,52,2025,-0.725004,41.1,176.229,2,12
Jake Browning,2,-1.1451765,-0.596503,60.1,211.408,5,9,2025,-1.69385,,58.974,1,4
Jalen Hurts,6,1.1453768333333334,3.47679,60.279999999999994,257.527,60,31,2025,1.0394,55.9,197.283,11,5
Jameis Winston,9,-0.38713655555555554,0.396902,60.1125,181.579,37,59,2025,-0.52988,68.2,178.09,0,3
Jared Goff,10,0.51467116,2.83387,57.08888888888888,232.606,90,60,2025,1.30252,58.0,209.325,9,8
Jaxson Dart,1,-0.344335,-0.344335,57.8,188.501,4,10,2025,-0.344335,57.8,188.501,4,10
Jayden Daniels,2,0.887528,0.96785,67.7,224.88,14,10,2025,0.807206,,169.989,2,5
Joe Burrow,6,2.0198336666666665,3.69418,59.4,270.99,43,33,2025,2.11466,63.2,190.031,5,3
Joe Flacco,17,-0.7445191294117647,1.05495,53.9076923076923,200.086,99,93,2025,-0.872291,40.6,138.003,4,9
Jordan Love,4,0.345819,2.46232,67.16666666666667,203.759,28,22,2025,0.50976,73.1,196.858,9,5
Josh Allen,8,2.85654975,4.92369,65.575,294.015,87,39,2025,3.21997,64.7,251.997,11,5
Josh Johnson,5,-4.018018,-3.12995,55.9,234.051,4,20,2025,-3.30463,55.9,163.37,1,2
Justin Fields,5,-0.73694846,0.0676697,34.725,179.443,19,40,2025,-1.10505,,128.06,2,7
Justin Herbert,6,1.2479258333333334,3.30735,63.38333333333333,244.414,52,43,2025,-0.492452,60.8,159.815,11,5
