Season,Age,Team,Pos,G,GS,Y/A+,NY/A+,AY/A+,ANY/A+,Cmp%+,TD%+,Int%+,Sack%+,Rate+,Awards,Player,PlayerID
2005,21,SFO,QB,9,7,73,60,53,49,71,60,40,47,49,,Alex Smith,SmitAl03
2006,22,SFO,QB,16,16,94,94,92,92,93,96,92,94,92,,Alex Smith,SmitAl03
2007,23,SFO,QB,7,7,56,59,69,69,57,66,115,88,66,,Alex Smith,SmitAl03
2009,25,SFO,QB,11,10,88,90,92,93,98,109,96,103,98,,Alex Smith,SmitAl03
2010,26,SFO,QB,11,10,98,98,98,98,97,98,100,95,98,,Alex Smith,SmitAl03
2011,27,SFO,QB,16,16,99,93,108,104,103,95,128,77,108,AP CPoY-3,Alex Smith,SmitAl03
2012,28,SFO,QB,10,9,117,107,117,111,133,118,108,71,123,,Alex Smith,SmitAl03
2013,29,KAN,QB,15,15,85,87,100,99,96,102,122,94,103,"PB,AP CPoY-6",Alex Smith,SmitAl03
2014,30,KAN,QB,15,15,96,92,104,101,112,93,121,81,107,,Alex Smith,SmitAl03
2015,31,KAN,QB,16,16,105,99,109,104,110,98,116,79,109,,Alex Smith,SmitAl03
2016,32,KAN,QB,15,15,100,104,101,104,117,85,113,106,103,PB,Alex Smith,SmitAl03
2017,33,KAN,QB,15,15,117,115,121,120,115,108,123,99,120,PB,Alex Smith,SmitAl03
2018,34,WAS,QB,10,10,89,92,94,96,96,85,114,102,94,,Alex Smith,SmitAl03
2020,36,WAS,QB,8,6,81,80,76,76,109,78,82,86,82,AP CPoY-1,Alex Smith,SmitAl03
