Season,Age,Team,Pos,G,GS,def_int,def_int_yds,def_int_td,def_int_long,pass_defended,FF,Fmb,FR,FR_Yds,FR_TD,sacks,tackles_combined,tackles_solo,tackles_assists,tackles_loss,qb_hits,safety_md,Awards,Player,PlayerID
2005,21,SFO,QB,9,7,0,0,0,0,0,0,11,6,-10,0,0.0,,,,,,0,,Alex Smith,SmitAl03
2006,22,SFO,QB,16,16,0,0,0,0,0,0,10,2,-3,0,0.0,0,0,0,0,0,0,,Alex Smith,SmitAl03
2007,23,SFO,QB,7,7,0,0,0,0,0,0,6,0,0,0,0.0,0,0,0,0,0,0,,Alex Smith,SmitAl03
2009,25,SFO,QB,11,10,0,0,0,0,0,0,3,1,0,0,0.0,0,0,0,0,0,0,,Alex Smith,SmitAl03
2010,26,SFO,QB,11,10,0,0,0,0,0,0,4,0,0,0,0.0,0,0,0,,,0,,Alex Smith,SmitAl03
2011,27,SFO,QB,16,16,0,0,0,0,0,0,7,4,0,0,0.0,0,0,0,0,0,0,AP CPoY-3,Alex Smith,SmitAl03
2012,28,SFO,QB,10,9,0,0,0,0,0,0,4,2,-2,0,0.0,0,0,0,0,0,0,,Alex Smith,SmitAl03
2013,29,KAN,QB,15,15,0,0,0,0,0,0,7,1,-13,0,0.0,0,0,0,0,0,0,"PB,AP CPoY-6",Alex Smith,SmitAl03
2014,30,KAN,QB,15,15,0,0,0,0,0,0,4,2,0,0,0.0,0,0,0,0,0,0,,Alex Smith,SmitAl03
2015,31,KAN,QB,16,16,0,0,0,0,0,0,4,2,-1,0,0.0,0,0,0,0,0,0,,Alex Smith,SmitAl03
2016,32,KAN,QB,15,15,0,0,0,0,0,0,7,2,-22,0,0.0,0,0,0,0,0,0,PB,Alex Smith,SmitAl03
2017,33,KAN,QB,15,15,0,0,0,0,0,0,1,3,-2,0,0.0,0,0,0,0,0,0,PB,Alex Smith,SmitAl03
2018,34,WAS,QB,10,10,0,0,0,0,0,0,6,3,-4,0,0.0,0,0,0,0,0,0,,Alex Smith,SmitAl03
2020,36,WAS,QB,8,6,0,0,0,0,0,0,2,2,-4,0,0.0,0,0,0,0,0,0,AP CPoY-1,Alex Smith,SmitAl03
