Season,Age,Team,Pos,G,GS,QBrec,Cmp,Att,Cmp%,Yds,TD,TD%,Int,Int%,1D,Succ%,Lng,Y/A,AY/A,Y/C,Y/G,Rate,QBR,Sk,Yds_Lost,Sk%,NY/A,ANY/A,4QC,GWD,AV,Awards,Player,PlayerID
2005,21,SFO,QB,9,7,2-5-0,84,165,50.9,875,1,0.6,11,6.7,37,27.8,47,5.3,2.42,10.4,97.2,40.8,,29,185,14.95,3.56,1.11,1,2,-3,,Alex Smith,SmitAl03
2006,22,SFO,QB,16,16,7-9-0,257,442,58.1,2890,16,3.6,16,3.6,132,39.4,75,6.5,5.63,11.2,180.6,74.8,44.4,35,202,7.34,5.64,4.80,1,2,10,,Alex Smith,SmitAl03
2007,23,SFO,QB,7,7,2-5-0,94,193,48.7,914,2,1.0,4,2.1,48,30.0,45,4.7,4.01,9.7,130.6,57.2,18.2,17,121,8.10,3.78,3.11,2,2,0,,Alex Smith,SmitAl03
2009,25,SFO,QB,11,10,5-5-0,225,372,60.5,2350,18,4.8,12,3.2,100,38.3,73,6.3,5.83,10.4,213.6,81.5,41.8,22,134,5.58,5.62,5.17,0,0,7,,Alex Smith,SmitAl03
2010,26,SFO,QB,11,10,3-7-0,204,342,59.6,2370,14,4.1,10,2.9,102,40.1,62,6.9,6.43,11.6,215.5,82.1,43.8,25,140,6.81,6.08,5.61,0,0,6,,Alex Smith,SmitAl03
2011,27,SFO,QB,16,16,13-3-0,273,445,61.3,3144,17,3.8,5,1.1,145,42.3,56,7.1,7.32,11.5,196.5,90.7,54.5,44,263,9.00,5.89,6.13,5,5,13,AP CPoY-3,Alex Smith,SmitAl03
2012,28,SFO,QB,10,9,6-2-1,153,218,70.2,1737,13,6.0,5,2.3,87,50.0,55,8.0,8.13,11.4,173.7,104.1,65.1,24,137,9.92,6.61,6.76,0,0,7,,Alex Smith,SmitAl03
2013,29,KAN,QB,15,15,11-4-0,308,508,60.6,3313,23,4.5,7,1.4,168,42.0,71,6.5,6.81,10.8,220.9,89.1,45.0,39,210,7.13,5.67,5.94,1,1,14,"PB,AP CPoY-6",Alex Smith,SmitAl03
2014,30,KAN,QB,15,15,8-7-0,303,464,65.3,3265,18,3.9,6,1.3,179,46.4,70,7.0,7.23,10.8,217.7,93.4,52.0,45,229,8.84,5.96,6.14,3,3,14,,Alex Smith,SmitAl03
2015,31,KAN,QB,16,16,11-5-0,307,470,65.3,3486,20,4.3,7,1.5,155,43.9,80,7.4,7.60,11.4,217.9,95.4,61.1,45,235,8.74,6.31,6.48,1,1,16,,Alex Smith,SmitAl03
2016,32,KAN,QB,15,15,11-4-0,328,489,67.1,3502,15,3.1,8,1.6,182,48.0,80,7.2,7.04,10.7,233.5,91.2,60.8,28,140,5.42,6.50,6.39,3,3,12,PB,Alex Smith,SmitAl03
2017,33,KAN,QB,15,15,9-6-0,341,505,67.5,4042,26,5.1,5,1.0,182,45.6,79,8.0,8.59,11.9,269.5,104.7,65.6,35,207,6.48,7.10,7.65,1,3,17,PB,Alex Smith,SmitAl03
2018,34,WAS,QB,10,10,6-4-0,205,328,62.5,2180,10,3.0,5,1.5,106,43.7,52,6.6,6.57,10.6,218.0,85.7,46.9,22,121,6.29,5.88,5.81,0,0,6,,Alex Smith,SmitAl03
2020,36,WAS,QB,8,6,5-1-0,168,252,66.7,1582,6,2.4,8,3.2,73,43.4,68,6.3,5.33,9.4,197.8,78.5,28.2,22,139,8.03,5.27,4.39,1,1,1,AP CPoY-1,Alex Smith,SmitAl03
