Season,Age,Team,Pos,G,GS,Rush_Att,Rush_Yds,Rush_TD,Rush_1D,Rush_Succ%,Rush_Lng,Rush_Y/A,Rush_Y/G,Rush_A/G,Tgt,Rec,Rec_Yds,rec_yds_per_rec,Rec_TD,Rec_1D,rec_success,rec_long,Rec/G,Rec_Y/G,catch_pct,rec_yds_per_tgt,touches,yds_per_touch,yds_from_scrimmage,rush_receive_td,Fmb,Awards,Player,PlayerID
2005,21,SFO,QB,9,7,30,103,0,3,30.0,19,3.4,11.4,3.3,0,0,0,,0,0,,,0.0,0.0,,,30,3.4,103,0,11,,Alex Smith,SmitAl03
2006,22,SFO,QB,16,16,44,147,2,13,38.6,22,3.3,9.2,2.8,0,0,0,,0,0,,,0.0,0.0,,,44,3.3,147,2,10,,Alex Smith,SmitAl03
2007,23,SFO,QB,7,7,13,89,0,5,46.2,25,6.8,12.7,1.9,0,0,0,,0,0,,,0.0,0.0,,,13,6.8,89,0,6,,Alex Smith,SmitAl03
2009,25,SFO,QB,11,10,24,51,0,6,25.0,11,2.1,4.6,2.2,1,1,-6,-6.0,0,0,0.0,-6,0.1,-0.5,100.0,-6.0,25,1.8,45,0,3,,Alex Smith,SmitAl03
2010,26,SFO,QB,11,10,18,60,0,3,33.3,12,3.3,5.5,1.6,0,0,0,,0,0,,,0.0,0.0,,,18,3.3,60,0,4,,Alex Smith,SmitAl03
2011,27,SFO,QB,16,16,52,179,2,13,36.5,14,3.4,11.2,3.3,0,0,0,,0,0,,,0.0,0.0,,,52,3.4,179,2,7,AP CPoY-3,Alex Smith,SmitAl03
2012,28,SFO,QB,10,9,31,132,0,6,45.2,24,4.3,13.2,3.1,0,0,0,,0,0,,,0.0,0.0,,,31,4.3,132,0,4,,Alex Smith,SmitAl03
2013,29,KAN,QB,15,15,76,431,1,24,47.4,26,5.7,28.7,5.1,1,1,-4,-4.0,0,0,0.0,-4,0.1,-0.3,100.0,-4.0,77,5.5,427,1,7,"PB,AP CPoY-6",Alex Smith,SmitAl03
2014,30,KAN,QB,15,15,49,254,1,15,46.9,25,5.2,16.9,3.3,0,0,0,,0,0,,,0.0,0.0,,,49,5.2,254,1,4,,Alex Smith,SmitAl03
2015,31,KAN,QB,16,16,84,498,2,34,51.2,49,5.9,31.1,5.3,0,0,0,,0,0,,,0.0,0.0,,,84,5.9,498,2,4,,Alex Smith,SmitAl03
2016,32,KAN,QB,15,15,48,134,5,11,27.1,24,2.8,8.9,3.2,1,1,3,3.0,0,0,0.0,3,0.1,0.2,100.0,3.0,49,2.8,137,5,7,PB,Alex Smith,SmitAl03
2017,33,KAN,QB,15,15,60,355,1,20,53.3,70,5.9,23.7,4.0,0,0,0,,0,0,,,0.0,0.0,,,60,5.9,355,1,1,PB,Alex Smith,SmitAl03
2018,34,WAS,QB,10,10,41,168,1,15,48.8,22,4.1,16.8,4.1,0,0,0,,0,0,,,0.0,0.0,,,41,4.1,168,1,6,,Alex Smith,SmitAl03
2020,36,WAS,QB,8,6,10,3,0,0,10.0,5,0.3,0.4,1.3,0,0,0,,0,0,,,0.0,0.0,,,10,0.3,3,0,2,AP CPoY-1,Alex Smith,SmitAl03
