Season,Age,Team,Pos,G,GS,Y/A+,NY/A+,AY/A+,ANY/A+,Cmp%+,TD%+,Int%+,Sack%+,Rate+,Awards,Player,PlayerID
2011,24,CIN,QB,16,16,90,95,94,97,91,95,105,114,94,"PB,AP ORoY-2",Andy Dalton,DaltAn00
2012,25,CIN,QB,16,16,96,95,98,97,105,109,96,87,103,,Andy Dalton,DaltAn00
2013,26,CIN,QB,16,16,105,109,101,104,101,114,86,113,103,,Andy Dalton,DaltAn00
2014,27,CIN,QB,16,16,97,104,91,95,108,94,83,117,93,PB,Andy Dalton,DaltAn00
2015,28,CIN,QB,13,13,129,131,128,130,113,125,110,109,125,,Andy Dalton,DaltAn00
2016,29,CIN,QB,16,16,107,105,107,106,108,86,117,94,104,PB,Andy Dalton,DaltAn00
2017,30,CIN,QB,16,16,90,89,95,93,87,107,99,93,96,,Andy Dalton,DaltAn00
2018,31,CIN,QB,11,11,97,99,97,99,94,114,89,109,99,,Andy Dalton,DaltAn00
2019,32,CIN,QB,13,13,87,88,85,86,80,84,93,99,81,,Andy Dalton,DaltAn00
2020,33,DAL,QB,11,9,86,85,89,89,101,96,97,96,94,,Andy Dalton,DaltAn00
2021,34,CHI,QB,8,6,85,83,78,78,92,89,69,94,80,,Andy Dalton,DaltAn00
2022,35,NOR,QB,14,14,113,110,109,108,110,105,98,102,108,,Andy Dalton,DaltAn00
2023,36,CAR,QB,3,1,82,88,102,104,72,91,152,114,99,,Andy Dalton,DaltAn00
2024,37,CAR,QB,6,5,82,92,78,85,105,101,71,120,87,,Andy Dalton,DaltAn00
