Season,Age,Team,Pos,G,GS,Rush_Att,Rush_Yds,Rush_TD,Rush_1D,Rush_Succ%,Rush_Lng,Rush_Y/A,Rush_Y/G,Rush_A/G,Tgt,Rec,Rec_Yds,rec_yds_per_rec,Rec_TD,Rec_1D,rec_success,rec_long,Rec/G,Rec_Y/G,catch_pct,rec_yds_per_tgt,touches,yds_per_touch,yds_from_scrimmage,rush_receive_td,Fmb,Awards,Player,PlayerID
2011,24,CIN,QB,16,16,37,152,1,8,29.7,17,4.1,9.5,2.3,1,0,0,,0,0,0.0,,0.0,0.0,0.0,0.0,37,4.1,152,1,4,"PB,AP ORoY-2",Andy Dalton,DaltAn00
2012,25,CIN,QB,16,16,47,120,4,14,38.3,17,2.6,7.5,2.9,0,0,0,,0,0,,,0.0,0.0,,,47,2.6,120,4,4,,Andy Dalton,DaltAn00
2013,26,CIN,QB,16,16,61,183,2,15,39.3,12,3.0,11.4,3.8,0,0,0,,0,0,,,0.0,0.0,,,61,3.0,183,2,4,,Andy Dalton,DaltAn00
2014,27,CIN,QB,16,16,60,169,4,21,46.7,20,2.8,10.6,3.8,1,1,18,18.0,1,1,100.0,18,0.1,1.1,100.0,18.0,61,3.1,187,5,3,PB,Andy Dalton,DaltAn00
2015,28,CIN,QB,13,13,57,142,3,15,36.8,12,2.5,10.9,4.4,0,0,0,,0,0,,,0.0,0.0,,,57,2.5,142,3,5,,Andy Dalton,DaltAn00
2016,29,CIN,QB,16,16,46,184,4,17,52.2,15,4.0,11.5,2.9,0,0,0,,0,0,,,0.0,0.0,,,46,4.0,184,4,9,PB,Andy Dalton,DaltAn00
2017,30,CIN,QB,16,16,38,99,0,10,26.3,25,2.6,6.2,2.4,0,0,0,,0,0,,,0.0,0.0,,,38,2.6,99,0,4,,Andy Dalton,DaltAn00
2018,31,CIN,QB,11,11,16,99,0,4,37.5,21,6.2,9.0,1.5,0,0,0,,0,0,,,0.0,0.0,,,16,6.2,99,0,1,,Andy Dalton,DaltAn00
2019,32,CIN,QB,13,13,32,73,4,12,43.8,17,2.3,5.6,2.5,1,1,-4,-4.0,0,0,0.0,-4,0.1,-0.3,100.0,-4.0,33,2.1,69,4,8,,Andy Dalton,DaltAn00
2020,33,DAL,QB,11,9,28,114,0,11,50.0,13,4.1,10.4,2.5,1,1,-3,-3.0,0,0,0.0,-3,0.1,-0.3,100.0,-3.0,29,3.8,111,0,2,,Andy Dalton,DaltAn00
2021,34,CHI,QB,8,6,16,76,0,2,50.0,14,4.8,9.5,2.0,0,0,0,,0,0,,,0.0,0.0,,,16,4.8,76,0,1,,Andy Dalton,DaltAn00
2022,35,NOR,QB,14,14,30,54,0,6,33.3,14,1.8,3.9,2.1,0,0,0,,0,0,,,0.0,0.0,,,30,1.8,54,0,5,,Andy Dalton,DaltAn00
2023,36,CAR,QB,3,1,3,12,0,2,66.7,10,4.0,4.0,1.0,0,0,0,,0,0,,,0.0,0.0,,,3,4.0,12,0,0,,Andy Dalton,DaltAn00
2024,37,CAR,QB,6,5,11,34,0,2,36.4,18,3.1,5.7,1.8,0,0,0,,0,0,,,0.0,0.0,,,11,3.1,34,0,2,,Andy Dalton,DaltAn00
2025,38,CAR,QB,4,1,5,-2,0,0,0.0,1,-0.4,-0.5,1.3,0,0,0,,0,0,,,0.0,0.0,,,5,-0.4,-2,0,2,,Andy Dalton,DaltAn00
