Season,Age,Team,Pos,G,GS,Y/A+,NY/A+,AY/A+,ANY/A+,Cmp%+,TD%+,Int%+,Sack%+,Rate+,Awards,Player,PlayerID
2004,22,PIT,QB,14,13,136,124,126,119,123,120,90,81,122,AP ORoY-1,Ben Roethlisberger,RoetBe00
2005,23,PIT,QB,12,12,134,128,128,124,110,126,96,92,122,,Ben Roethlisberger,RoetBe00
2006,24,PIT,QB,15,15,113,105,98,94,98,98,72,84,92,,Ben Roethlisberger,RoetBe00
2007,25,PIT,QB,15,15,119,103,125,113,117,145,105,73,130,"PB,AP CPoY-3",Ben Roethlisberger,RoetBe00
2008,26,PIT,QB,16,16,102,95,99,95,96,95,97,79,97,,Ben Roethlisberger,RoetBe00
2009,27,PIT,QB,15,15,129,118,125,117,119,113,108,77,121,,Ben Roethlisberger,RoetBe00
2010,28,PIT,QB,12,12,120,114,122,118,103,101,123,89,115,,Ben Roethlisberger,RoetBe00
2011,29,PIT,QB,15,15,117,112,111,109,109,98,102,92,107,PB,Ben Roethlisberger,RoetBe00
2012,30,PIT,QB,13,13,103,103,111,111,109,116,116,101,114,,Ben Roethlisberger,RoetBe00
2013,31,PIT,QB,16,16,104,102,105,104,110,105,104,98,107,,Ben Roethlisberger,RoetBe00
2014,32,PIT,QB,16,16,122,124,122,124,119,109,118,109,120,PB,Ben Roethlisberger,RoetBe00
2015,33,PIT,QB,12,11,129,132,111,114,120,100,81,116,107,PB,Ben Roethlisberger,RoetBe00
2016,34,PIT,QB,14,14,108,115,108,112,107,116,96,124,109,PB,Ben Roethlisberger,RoetBe00
2017,35,PIT,QB,15,15,108,115,106,111,103,106,97,120,105,PB,Ben Roethlisberger,RoetBe00
2018,36,PIT,QB,16,16,108,115,107,112,113,106,100,124,108,,Ben Roethlisberger,RoetBe00
2019,37,PIT,QB,2,2,69,82,70,79,67,53,112,125,65,,Ben Roethlisberger,RoetBe00
2020,38,PIT,QB,15,15,81,93,93,101,105,109,112,133,103,AP CPoY-2,Ben Roethlisberger,RoetBe00
2021,39,PIT,QB,16,16,80,84,88,90,98,91,112,102,93,,Ben Roethlisberger,RoetBe00
