Season,Age,Team,Pos,G,GS,def_int,def_int_yds,def_int_td,def_int_long,pass_defended,FF,Fmb,FR,FR_Yds,FR_TD,sacks,tackles_combined,tackles_solo,tackles_assists,tackles_loss,qb_hits,safety_md,Awards,Player,PlayerID
2004,22,PIT,QB,14,13,0,0,0,0,0,0,2,0,-6,0,0.0,0,0,0,0,,0,AP ORoY-1,Ben Roethlisberger,RoetBe00
2005,23,PIT,QB,12,12,0,0,0,0,0,0,2,1,-1,0,0.0,0,0,0,0,,0,,Ben Roethlisberger,RoetBe00
2006,24,PIT,QB,15,15,0,0,0,0,0,0,5,0,-1,0,0.0,0,0,0,0,0,0,,Ben Roethlisberger,RoetBe00
2007,25,PIT,QB,15,15,0,0,0,0,0,0,9,4,-16,0,0.0,0,0,0,0,0,0,"PB,AP CPoY-3",Ben Roethlisberger,RoetBe00
2008,26,PIT,QB,16,16,0,0,0,0,0,0,14,3,-5,0,0.0,0,0,0,0,0,0,,Ben Roethlisberger,RoetBe00
2009,27,PIT,QB,15,15,0,0,0,0,0,0,7,2,-6,0,0.0,0,0,0,0,0,0,,Ben Roethlisberger,RoetBe00
2010,28,PIT,QB,12,12,0,0,0,0,0,0,7,1,-12,0,0.0,0,0,0,0,0,0,,Ben Roethlisberger,RoetBe00
2011,29,PIT,QB,15,15,0,0,0,0,0,0,8,2,-10,0,0.0,0,0,0,0,0,0,PB,Ben Roethlisberger,RoetBe00
2012,30,PIT,QB,13,13,0,0,0,0,0,0,6,3,-8,0,0.0,0,0,0,0,0,0,,Ben Roethlisberger,RoetBe00
2013,31,PIT,QB,16,16,0,0,0,0,0,0,9,3,0,0,0.0,0,0,0,0,0,0,,Ben Roethlisberger,RoetBe00
2014,32,PIT,QB,16,16,0,0,0,0,0,0,9,2,-41,0,0.0,0,0,0,0,0,0,PB,Ben Roethlisberger,RoetBe00
2015,33,PIT,QB,12,11,0,0,0,0,0,0,2,1,0,0,0.0,0,0,0,0,0,0,PB,Ben Roethlisberger,RoetBe00
2016,34,PIT,QB,14,14,0,0,0,0,0,0,8,4,-1,0,0.0,0,0,0,0,0,0,PB,Ben Roethlisberger,RoetBe00
2017,35,PIT,QB,15,15,0,0,0,0,0,0,3,2,-10,0,0.0,0,0,0,0,0,0,PB,Ben Roethlisberger,RoetBe00
2018,36,PIT,QB,16,16,0,0,0,0,0,0,7,4,0,0,0.0,0,0,0,0,0,0,,Ben Roethlisberger,RoetBe00
2019,37,PIT,QB,2,2,0,0,0,0,0,0,1,1,0,0,0.0,0,0,0,0,0,0,,Ben Roethlisberger,RoetBe00
2020,38,PIT,QB,15,15,0,0,0,0,0,0,5,2,-13,0,0.0,0,0,0,0,0,0,AP CPoY-2,Ben Roethlisberger,RoetBe00
2021,39,PIT,QB,16,16,0,0,0,0,0,0,11,5,7,0,0.0,0,0,0,0,0,0,,Ben Roethlisberger,RoetBe00
