Season,Age,Team,Pos,G,GS,QBrec,Cmp,Att,Cmp%,Yds,TD,TD%,Int,Int%,1D,Succ%,Lng,Y/A,AY/A,Y/C,Y/G,Rate,QBR,Sk,Yds_Lost,Sk%,NY/A,ANY/A,4QC,GWD,AV,Awards,Player,PlayerID
2004,22,PIT,QB,14,13,13-0-0,196,295,66.4,2621,17,5.8,11,3.7,130,49.8,58,8.9,8.36,13.4,187.2,98.1,,30,213,9.23,7.41,6.93,4,5,12,AP ORoY-1,Ben Roethlisberger,RoetBe00
2005,23,PIT,QB,12,12,9-3-0,168,268,62.7,2385,17,6.3,9,3.4,110,49.5,85,8.9,8.66,14.2,198.8,98.6,,23,129,7.90,7.75,7.53,2,2,11,,Ben Roethlisberger,RoetBe00
2006,24,PIT,QB,15,15,7-8-0,280,469,59.7,3513,18,3.8,23,4.9,178,44.5,67,7.5,6.05,12.5,234.2,75.4,58.0,46,280,8.93,6.28,4.97,2,3,11,,Ben Roethlisberger,RoetBe00
2007,25,PIT,QB,15,15,10-5-0,264,404,65.3,3154,32,7.9,11,2.7,167,47.7,83,7.8,8.17,11.9,210.3,104.1,70.5,47,347,10.42,6.22,6.55,1,2,14,"PB,AP CPoY-3",Ben Roethlisberger,RoetBe00
2008,26,PIT,QB,16,16,12-4-0,281,469,59.9,3301,17,3.6,15,3.2,162,44.3,65,7.0,6.32,11.7,206.3,80.1,47.1,46,284,8.93,5.86,5.21,4,4,11,,Ben Roethlisberger,RoetBe00
2009,27,PIT,QB,15,15,9-6-0,337,506,66.6,4328,26,5.1,12,2.4,201,50.7,60,8.6,8.51,12.8,288.5,100.5,69.0,50,348,8.99,7.16,7.12,2,3,14,,Ben Roethlisberger,RoetBe00
2010,28,PIT,QB,12,12,9-3-0,240,389,61.7,3200,17,4.4,5,1.3,149,46.8,56,8.2,8.52,13.3,266.7,97.0,67.4,32,220,7.60,7.08,7.35,2,3,12,,Ben Roethlisberger,RoetBe00
2011,29,PIT,QB,15,15,11-4-0,324,513,63.2,4077,21,4.1,14,2.7,210,48.5,95,7.9,7.54,12.6,271.8,90.1,68.3,40,269,7.23,6.89,6.51,1,1,12,PB,Ben Roethlisberger,RoetBe00
2012,30,PIT,QB,13,13,7-6-0,284,449,63.3,3265,26,5.8,8,1.8,167,48.6,82,7.3,7.63,11.5,251.2,97.0,71.3,30,182,6.26,6.44,6.77,2,3,10,,Ben Roethlisberger,RoetBe00
2013,31,PIT,QB,16,16,8-8-0,375,584,64.2,4261,28,4.8,14,2.4,211,47.4,67,7.3,7.18,11.4,266.3,92.0,58.0,42,282,6.71,6.36,6.24,1,3,13,,Ben Roethlisberger,RoetBe00
2014,32,PIT,QB,16,16,11-5-0,408,608,67.1,4952,32,5.3,9,1.5,244,51.6,94,8.1,8.53,12.1,309.5,103.3,69.4,33,172,5.15,7.46,7.82,2,3,16,PB,Ben Roethlisberger,RoetBe00
2015,33,PIT,QB,12,11,7-4-0,319,469,68.0,3938,21,4.5,16,3.4,175,52.6,69,8.4,7.76,12.3,328.2,94.5,72.8,20,141,4.09,7.76,7.15,1,1,12,PB,Ben Roethlisberger,RoetBe00
2016,34,PIT,QB,14,14,10-4-0,328,509,64.4,3819,29,5.7,13,2.6,184,48.7,72,7.5,7.49,11.6,272.8,95.4,60.5,17,141,3.23,6.99,6.98,2,2,12,PB,Ben Roethlisberger,RoetBe00
2017,35,PIT,QB,15,15,12-3-0,360,561,64.2,4251,28,5.0,14,2.5,204,47.9,97,7.6,7.45,11.8,283.4,93.4,67.2,21,139,3.61,7.07,6.95,3,4,14,PB,Ben Roethlisberger,RoetBe00
2018,36,PIT,QB,16,16,9-6-1,452,675,67.0,5129,34,5.0,16,2.4,248,50.9,97,7.6,7.54,11.3,320.6,96.5,69.6,24,166,3.43,7.10,7.04,2,3,14,,Ben Roethlisberger,RoetBe00
2019,37,PIT,QB,2,2,0-2-0,35,62,56.5,351,0,0.0,1,1.6,14,37.5,45,5.7,4.94,10.0,175.5,66.0,28.8,2,7,3.13,5.38,4.67,0,0,1,,Ben Roethlisberger,RoetBe00
2020,38,PIT,QB,15,15,12-3-0,399,608,65.6,3803,33,5.4,10,1.6,193,48.6,84,6.3,6.60,9.5,253.5,94.1,52.5,13,118,2.09,5.93,6.27,4,4,10,AP CPoY-2,Ben Roethlisberger,RoetBe00
2021,39,PIT,QB,16,16,9-7-0,390,605,64.5,3740,22,3.6,10,1.7,203,42.6,59,6.2,6.17,9.6,233.8,86.8,41.3,38,239,5.91,5.44,5.43,6,7,9,,Ben Roethlisberger,RoetBe00
