Season,Age,Team,Pos,G,GS,QBrec,Cmp,Att,Cmp%,Yds,TD,TD%,Int,Int%,1D,Succ%,Lng,Y/A,AY/A,Y/C,Y/G,Rate,QBR,Sk,Yds_Lost,Sk%,NY/A,ANY/A,4QC,GWD,AV,Awards,Player,PlayerID
2011,22,JAX,QB,15,14,4-10-0,210,413,50.8,2214,12,2.9,11,2.7,111,32.2,74,5.4,4.74,10.5,147.6,65.4,22.2,40,293,8.83,4.24,3.68,0,0,4,,Blaine Gabbert,GabbBl00
2012,23,JAX,QB,10,10,1-9-0,162,278,58.3,1662,9,3.2,6,2.2,72,37.3,80,6.0,5.65,10.3,166.2,77.4,36.1,22,158,7.33,5.01,4.71,1,1,3,,Blaine Gabbert,GabbBl00
2013,24,JAX,QB,3,3,0-3-0,42,86,48.8,481,1,1.2,7,8.1,23,28.6,67,5.6,2.16,11.5,160.3,36.0,4.0,12,67,12.24,4.22,1.21,0,0,1,,Blaine Gabbert,GabbBl00
2014,25,SFO,QB,1,0,,3,7,42.9,38,1,14.3,0,0.0,2,42.9,20,5.4,8.29,12.7,38.0,100.0,91.5,0,0,0.00,5.43,8.29,0,0,0,,Blaine Gabbert,GabbBl00
2015,26,SFO,QB,8,8,3-5-0,178,282,63.1,2031,10,3.5,7,2.5,85,38.4,71,7.2,6.79,11.4,253.9,86.2,37.6,25,164,8.14,6.08,5.71,2,2,5,,Blaine Gabbert,GabbBl00
2016,27,SFO,QB,6,5,1-4-0,91,160,56.9,925,5,3.1,6,3.8,50,40.4,75,5.8,4.72,10.2,154.2,68.4,54.1,11,48,6.43,5.13,4.13,0,0,0,,Blaine Gabbert,GabbBl00
2017,28,ARI,QB,5,5,2-3-0,95,171,55.6,1086,6,3.5,6,3.5,55,39.2,52,6.4,5.47,11.4,217.2,71.9,33.2,23,149,11.86,4.83,4.06,2,2,2,,Blaine Gabbert,GabbBl00
2018,29,TEN,QB,8,3,2-1-0,61,101,60.4,626,4,4.0,4,4.0,32,39.6,35,6.2,5.21,10.3,78.3,74.9,27.0,5,37,4.72,5.56,4.61,2,2,2,,Blaine Gabbert,GabbBl00
2020,31,TAM,QB,4,0,,9,16,56.3,143,2,12.5,0,0.0,5,41.2,35,8.9,11.44,15.9,35.8,125.8,53.1,1,7,5.88,8.00,10.35,0,0,1,,Blaine Gabbert,GabbBl00
2021,32,TAM,QB,6,0,,7,11,63.6,67,0,0.0,0,0.0,4,41.7,23,6.1,6.09,9.6,11.2,80.5,36.6,1,10,8.33,4.75,4.75,0,0,0,,Blaine Gabbert,GabbBl00
2022,33,TAM,QB,1,0,,6,8,75.0,29,1,12.5,0,0.0,2,37.5,13,3.6,6.13,4.8,29.0,119.3,59.9,0,0,0.00,3.63,6.13,0,0,0,,Blaine Gabbert,GabbBl00
2023,34,KAN,QB,2,1,1-0-0,18,35,51.4,185,0,0.0,3,8.6,8,30.6,37,5.3,1.43,10.3,92.5,31.2,48.0,1,9,2.78,4.89,1.14,1,1,1,,Blaine Gabbert,GabbBl00
