Season,Age,Team,Pos,No.,G,GS,offense,Off%,defense,Def%,special_teams,ST%,Player,PlayerID
2012,23,JAX,QB,11,10,10,516,81%,0,0%,0,0%,Blaine Gabbert,GabbBl00
2013,24,JAX,QB,11,3,3,159,85%,0,0%,0,0%,Blaine Gabbert,GabbBl00
2014,25,SFO,QB,2,1,0,9,12%,0,0%,0,0%,Blaine Gabbert,GabbBl00
2015,26,SFO,QB,2,8,8,509,100%,0,0%,0,0%,Blaine Gabbert,GabbBl00
2016,27,SFO,QB,2,6,5,345,88%,0,0%,0,0%,Blaine Gabbert,GabbBl00
2017,28,ARI,QB,7,5,5,342,100%,0,0%,0,0%,Blaine Gabbert,GabbBl00
2018,29,TEN,QB,7,8,3,211,43%,0,0%,0,0%,Blaine Gabbert,GabbBl00
2020,31,TAM,QB,11,4,0,49,18%,0,0%,0,0%,Blaine Gabbert,GabbBl00
2021,32,TAM,QB,11,6,0,44,11%,0,0%,1,1%,Blaine Gabbert,GabbBl00
2022,33,TAM,QB,11,1,0,14,26%,0,0%,0,0%,Blaine Gabbert,GabbBl00
2023,34,KAN,QB,9,2,1,79,59%,0,0%,0,0%,Blaine Gabbert,GabbBl00
