Season,Age,Team,Pos,G,GS,Y/A+,NY/A+,AY/A+,ANY/A+,Cmp%+,TD%+,Int%+,Sack%+,Rate+,Awards,Player,PlayerID
1996,28,MIN,QB,12,8,114,117,113,115,120,120,99,113,117,,Brad Johnson,JohnBr00
1997,29,MIN,QB,13,13,100,104,104,106,115,104,108,109,109,,Brad Johnson,JohnBr00
1998,30,MIN,QB,4,2,111,118,105,110,131,130,76,120,114,,Brad Johnson,JohnBr00
1999,31,WAS,QB,16,16,115,118,115,117,113,106,111,110,114,"PB,AP CPoY-2",Brad Johnson,JohnBr00
2000,32,WAS,QB,12,11,102,105,94,97,117,89,87,111,97,,Brad Johnson,JohnBr00
2001,33,TAM,QB,16,16,88,88,94,94,106,79,120,97,98,,Brad Johnson,JohnBr00
2002,34,TAM,QB,13,13,101,107,117,120,111,114,132,114,121,PB,Brad Johnson,JohnBr00
2003,35,TAM,QB,16,16,98,106,97,102,109,106,91,120,101,,Brad Johnson,JohnBr00
2004,36,TAM,QB,4,4,95,94,95,94,112,86,104,96,99,,Brad Johnson,JohnBr00
2005,37,MIN,QB,15,9,92,92,104,103,109,100,130,96,110,,Brad Johnson,JohnBr00
2006,38,MIN,QB,15,14,89,91,86,87,104,78,95,101,88,,Brad Johnson,JohnBr00
2008,40,DAL,QB,16,3,73,70,60,60,72,83,51,77,61,,Brad Johnson,JohnBr00
