Season,Age,Team,Pos,G,GS,QBrec,Cmp,Att,Cmp%,Yds,TD,TD%,Int,Int%,1D,Succ%,Lng,Y/A,AY/A,Y/C,Y/G,Rate,QBR,Sk,Yds_Lost,Sk%,NY/A,ANY/A,4QC,GWD,AV,Awards,Player,PlayerID
1994,26,MIN,QB,4,0,,22,37,59.5,150,0,0.0,0,0.0,7,44.7,15,4.1,4.05,6.8,37.5,68.5,,1,5,2.63,3.82,3.82,0,0,0,,Brad Johnson,JohnBr00
1995,27,MIN,QB,5,0,,25,36,69.4,272,0,0.0,2,5.6,10,50.0,39,7.6,5.06,10.9,54.4,68.3,,2,18,5.26,6.68,4.32,0,0,1,,Brad Johnson,JohnBr00
1996,28,MIN,QB,12,8,5-3-0,195,311,62.7,2258,17,5.5,10,3.2,110,47.2,82,7.3,6.91,11.6,188.2,89.4,,15,119,4.60,6.56,6.22,2,3,7,,Brad Johnson,JohnBr00
1997,29,MIN,QB,13,13,8-5-0,275,452,60.8,3036,20,4.4,12,2.7,150,44.6,56,6.7,6.41,11.0,233.5,84.5,,26,164,5.44,6.01,5.72,3,4,11,,Brad Johnson,JohnBr00
1998,30,MIN,QB,4,2,2-0-0,65,101,64.4,747,7,6.9,5,5.0,42,54.3,48,7.4,6.55,11.5,186.8,89.0,,4,30,3.81,6.83,6.02,0,1,3,,Brad Johnson,JohnBr00
1999,31,WAS,QB,16,16,10-6-0,316,519,60.9,4005,24,4.6,13,2.5,178,43.6,65,7.7,7.51,12.7,250.3,90.0,,29,177,5.29,6.99,6.79,3,4,16,"PB,AP CPoY-2",Brad Johnson,JohnBr00
2000,32,WAS,QB,12,11,7-4-0,228,365,62.5,2505,11,3.0,15,4.1,120,42.3,77,6.9,5.62,11.0,208.8,75.7,,20,150,5.19,6.12,4.94,1,4,7,,Brad Johnson,JohnBr00
2001,33,TAM,QB,16,16,9-7-0,340,559,60.8,3406,13,2.3,11,2.0,181,42.5,47,6.1,5.67,10.0,212.9,77.7,,44,269,7.30,5.20,4.81,3,5,13,,Brad Johnson,JohnBr00
2002,34,TAM,QB,13,13,10-3-0,281,451,62.3,3049,22,4.9,6,1.3,144,47.5,76,6.8,7.14,10.9,234.5,92.9,,21,121,4.45,6.20,6.56,0,1,10,PB,Brad Johnson,JohnBr00
2003,35,TAM,QB,16,16,7-9-0,354,570,62.1,3811,26,4.6,21,3.7,188,45.8,76,6.7,5.94,10.8,238.2,81.5,,20,111,3.39,6.27,5.55,0,0,10,,Brad Johnson,JohnBr00
2004,36,TAM,QB,4,4,0-4-0,65,103,63.1,674,3,2.9,3,2.9,28,39.6,54,6.5,5.82,10.4,168.5,79.5,,8,55,7.21,5.58,4.90,0,0,2,,Brad Johnson,JohnBr00
2005,37,MIN,QB,15,9,7-2-0,184,294,62.6,1885,12,4.1,4,1.4,93,40.7,80,6.4,6.62,10.2,125.7,88.9,,23,134,7.26,5.52,5.71,0,2,6,,Brad Johnson,JohnBr00
2006,38,MIN,QB,15,14,6-8-0,270,439,61.5,2750,9,2.1,15,3.4,135,40.6,46,6.3,5.14,10.2,183.3,72.0,39.7,29,200,6.20,5.45,4.39,2,3,6,,Brad Johnson,JohnBr00
2007,39,DAL,QB,16,0,,7,11,63.6,79,0,0.0,0,0.0,2,25.0,35,7.2,7.18,11.3,4.9,85.0,34.1,1,9,8.33,5.83,5.83,0,0,0,,Brad Johnson,JohnBr00
2008,40,DAL,QB,16,3,1-2-0,41,78,52.6,427,2,2.6,5,6.4,17,34.9,36,5.5,3.10,10.4,26.7,50.5,26.2,8,54,9.30,4.34,2.19,0,0,1,,Brad Johnson,JohnBr00
