Season,Age,Team,Pos,G,GS,def_int,def_int_yds,def_int_td,def_int_long,pass_defended,FF,Fmb,FR,FR_Yds,FR_TD,sacks,tackles_combined,tackles_solo,tackles_assists,tackles_loss,qb_hits,safety_md,Awards,Player,PlayerID
1992,23,GNB,QB,15,13,0,0,0,0,,1,12,3,-12,0,0.0,0,0,0,,,0,PB,Brett Favre,FavrBr00
1993,24,GNB,QB,16,16,0,0,0,0,,0,14,2,-1,0,0.0,0,0,0,,,0,PB,Brett Favre,FavrBr00
1994,25,GNB,QB,16,16,0,0,0,0,,0,7,1,-2,0,0.0,0,0,0,,,0,,Brett Favre,FavrBr00
1995,26,GNB,QB,16,16,0,0,0,0,,0,8,0,0,0,0.0,0,0,0,,,0,"PB,AP-1,AP MVP-1,AP OPoY-1",Brett Favre,FavrBr00
1996,27,GNB,QB,16,16,0,0,0,0,,0,11,5,-10,0,0.0,0,0,0,,,0,"PB,AP-1,AP MVP-1,AP OPoY-2",Brett Favre,FavrBr00
1997,28,GNB,QB,16,16,0,0,0,0,,0,7,1,-10,0,0.0,0,0,0,,,0,"PB,AP-1,AP MVP-1,AP OPoY-3",Brett Favre,FavrBr00
1998,29,GNB,QB,16,16,0,0,0,0,,0,8,3,-1,0,0.0,0,0,0,,,0,,Brett Favre,FavrBr00
1999,30,GNB,QB,16,16,0,0,0,0,0,0,9,1,-2,0,0.0,0,0,0,0,,0,,Brett Favre,FavrBr00
2000,31,GNB,QB,16,16,0,0,0,0,0,0,9,2,-12,0,0.0,0,0,0,0,,0,,Brett Favre,FavrBr00
2001,32,GNB,QB,16,16,0,0,0,0,0,0,16,6,-38,0,0.0,,,,,,0,"PB,AP-2,AP MVP-3,AP OPoY-3",Brett Favre,FavrBr00
2002,33,GNB,QB,16,16,0,0,0,0,0,0,10,5,-14,0,0.0,0,0,0,0,,0,"PB,AP-2,AP MVP-2",Brett Favre,FavrBr00
2003,34,GNB,QB,16,16,0,0,0,0,0,0,5,0,0,0,0.0,0,0,0,0,,0,PB,Brett Favre,FavrBr00
2004,35,GNB,QB,16,16,0,0,0,0,0,0,4,1,-8,0,0.0,0,0,0,0,,0,,Brett Favre,FavrBr00
2005,36,GNB,QB,16,16,0,0,0,0,0,0,10,2,-1,0,0.0,0,0,0,0,,0,,Brett Favre,FavrBr00
2006,37,GNB,QB,16,16,0,0,0,0,0,0,8,2,-9,0,0.0,,,,,,0,,Brett Favre,FavrBr00
2007,38,GNB,QB,16,16,0,0,0,0,0,0,9,4,-18,0,0.0,,,,,,0,"PB,AP-2,AP MVP-2,AP OPoY-3,AP CPoY-4",Brett Favre,FavrBr00
2008,39,NYJ,QB,16,16,0,0,0,0,0,0,10,2,-16,0,0.0,0,0,0,0,0,0,PB,Brett Favre,FavrBr00
2009,40,MIN,QB,16,16,0,0,0,0,0,0,2,0,0,0,0.0,0,0,0,0,0,0,"PB,AP MVP-4,AP CPoY-4",Brett Favre,FavrBr00
2010,41,MIN,QB,13,13,0,0,0,0,0,0,7,2,-29,0,0.0,0,0,0,0,0,0,,Brett Favre,FavrBr00
