Season,Age,Team,Pos,G,GS,QBrec,Cmp,Att,Cmp%,Yds,TD,TD%,Int,Int%,1D,Succ%,Lng,Y/A,AY/A,Y/C,Y/G,Rate,QBR,Sk,Yds_Lost,Sk%,NY/A,ANY/A,4QC,GWD,AV,Awards,Player,PlayerID
2011,22,CAR,QB,16,16,6-10-0,310,517,60.0,4051,21,4.1,17,3.3,176,44.2,91,7.8,7.17,13.1,253.2,84.5,56.6,35,260,6.34,6.87,6.24,1,1,19,"PB,AP ORoY-1",Cam Newton,NewtCa00
2012,23,CAR,QB,16,16,7-9-0,280,485,57.7,3869,19,3.9,12,2.5,171,43.0,82,8.0,7.65,13.8,241.8,86.2,58.3,36,244,6.91,6.96,6.65,1,1,16,,Cam Newton,NewtCa00
2013,24,CAR,QB,16,16,12-4-0,292,473,61.7,3379,24,5.1,13,2.7,172,43.2,79,7.1,6.92,11.6,211.2,88.8,64.3,43,336,8.33,5.90,5.69,4,4,16,PB,Cam Newton,NewtCa00
2014,25,CAR,QB,14,14,5-8-1,262,448,58.5,3127,18,4.0,12,2.7,156,44.9,51,7.0,6.58,11.9,223.4,82.1,56.2,38,300,7.82,5.82,5.45,3,2,12,,Cam Newton,NewtCa00
2015,26,CAR,QB,16,16,15-1-0,296,495,59.8,3837,35,7.1,10,2.0,195,48.1,74,7.8,8.26,13.0,239.8,99.4,61.4,33,284,6.25,6.73,7.20,3,4,21,"PB,AP-1,AP MVP-1,AP OPoY-1",Cam Newton,NewtCa00
2016,27,CAR,QB,15,14,6-8-0,270,510,52.9,3509,19,3.7,14,2.7,173,40.7,88,6.9,6.39,13.0,233.9,75.8,47.1,36,277,6.59,5.92,5.46,0,0,11,,Cam Newton,NewtCa00
2017,28,CAR,QB,16,16,11-5-0,291,492,59.1,3302,22,4.5,16,3.3,167,43.8,64,6.7,6.14,11.3,206.4,80.7,52.7,35,242,6.64,5.81,5.28,1,3,15,,Cam Newton,NewtCa00
2018,29,CAR,QB,14,14,6-8-0,320,471,67.9,3395,24,5.1,13,2.8,180,49.8,82,7.2,6.99,10.6,242.5,94.2,53.2,29,213,5.80,6.36,6.15,2,2,14,,Cam Newton,NewtCa00
2019,30,CAR,QB,2,2,0-2-0,50,89,56.2,572,0,0.0,1,1.1,29,43.2,44,6.4,5.92,11.4,286.0,71.0,22.5,6,43,6.32,5.57,5.09,0,0,1,,Cam Newton,NewtCa00
2020,31,NWE,QB,15,15,7-8-0,242,368,65.8,2657,8,2.2,10,2.7,133,45.9,50,7.2,6.43,11.0,177.1,82.9,39.4,31,195,7.77,6.17,5.44,1,3,12,,Cam Newton,NewtCa00
2021,32,CAR,QB,8,5,0-5-0,69,126,54.8,684,4,3.2,5,4.0,32,39.0,64,5.4,4.28,9.9,85.5,64.4,30.4,10,83,7.35,4.42,3.35,0,0,3,,Cam Newton,NewtCa00
