Season,Age,Team,Pos,G,GS,Y/A+,NY/A+,AY/A+,ANY/A+,Cmp%+,TD%+,Int%+,Sack%+,Rate+,Awards,Player,PlayerID
2004,25,CIN,QB,13,13,98,100,93,95,105,101,83,108,96,,Carson Palmer,PalmCa00
2005,26,CIN,QB,16,16,111,117,117,121,127,126,113,120,125,"PB,AP MVP-5,AP OPoY-4",Carson Palmer,PalmCa00
2006,27,CIN,QB,16,16,118,115,119,117,107,116,110,100,117,"PB,AP CPoY-3",Carson Palmer,PalmCa00
2007,28,CIN,QB,16,16,106,113,103,108,115,106,93,121,106,,Carson Palmer,PalmCa00
2008,29,CIN,QB,4,4,76,76,80,80,90,81,98,87,83,,Carson Palmer,PalmCa00
2009,30,CIN,QB,16,16,94,94,98,98,99,105,102,106,100,,Carson Palmer,PalmCa00
2010,31,CIN,QB,16,16,95,99,95,97,104,102,94,115,98,,Carson Palmer,PalmCa00
2011,32,OAK,QB,10,9,126,127,104,106,100,96,66,110,95,,Carson Palmer,PalmCa00
2012,33,OAK,QB,15,15,100,104,100,103,101,95,105,117,100,,Carson Palmer,PalmCa00
2013,34,ARI,QB,16,16,108,105,97,96,106,98,79,98,96,,Carson Palmer,PalmCa00
2014,35,ARI,QB,6,6,102,109,110,114,103,105,121,119,110,,Carson Palmer,PalmCa00
2015,36,ARI,QB,16,16,136,138,131,133,103,125,106,113,122,"PB,AP-2,AP MVP-2,AP OPoY-4,AP CPoY-2",Carson Palmer,PalmCa00
2016,37,ARI,QB,15,15,99,98,99,98,93,100,100,98,98,,Carson Palmer,PalmCa00
2017,38,ARI,QB,7,7,105,100,99,96,93,88,95,90,93,,Carson Palmer,PalmCa00
