Season,Age,Team,Pos,G,GS,QBrec,Cmp,Att,Cmp%,Yds,TD,TD%,Int,Int%,1D,Succ%,Lng,Y/A,AY/A,Y/C,Y/G,Rate,QBR,Sk,Yds_Lost,Sk%,NY/A,ANY/A,4QC,GWD,AV,Awards,Player,PlayerID
2004,25,CIN,QB,13,13,6-7-0,263,432,60.9,2897,18,4.2,18,4.2,140,43.1,76,6.7,5.66,11.0,222.8,77.3,,25,178,5.47,5.95,4.96,2,3,8,,Carson Palmer,PalmCa00
2005,26,CIN,QB,16,16,11-5-0,345,509,67.8,3836,32,6.3,12,2.4,198,50.9,70,7.5,7.73,11.1,239.8,101.1,,19,105,3.60,7.07,7.26,1,3,16,"PB,AP MVP-5,AP OPoY-4",Carson Palmer,PalmCa00
2006,27,CIN,QB,16,16,8-8-0,324,520,62.3,4035,28,5.4,13,2.5,200,48.2,74,7.8,7.71,12.5,252.2,93.9,67.1,36,233,6.47,6.84,6.79,2,3,14,"PB,AP CPoY-3",Carson Palmer,PalmCa00
2007,28,CIN,QB,16,16,7-9-0,373,575,64.9,4131,26,4.5,20,3.5,213,51.0,70,7.2,6.52,11.1,258.2,86.7,62.5,17,119,2.87,6.78,6.14,2,2,14,,Carson Palmer,PalmCa00
2008,29,CIN,QB,4,4,0-4-0,75,129,58.1,731,3,2.3,4,3.1,41,40.0,36,5.7,4.74,9.7,182.8,69.0,65.0,11,67,7.86,4.74,3.89,0,0,2,,Carson Palmer,PalmCa00
2009,30,CIN,QB,16,16,10-6-0,282,466,60.5,3094,21,4.5,13,2.8,159,46.3,73,6.6,6.29,11.0,193.4,83.6,58.6,26,213,5.28,5.86,5.52,3,5,10,,Carson Palmer,PalmCa00
2010,31,CIN,QB,16,16,4-12-0,362,586,61.8,3970,26,4.4,20,3.4,206,48.4,78,6.8,6.13,11.0,248.1,82.4,55.1,26,201,4.25,6.16,5.54,1,1,11,,Carson Palmer,PalmCa00
2011,32,OAK,QB,10,9,4-5-0,199,328,60.7,2753,13,4.0,16,4.9,123,47.2,78,8.4,6.99,13.8,275.3,80.5,53.5,17,119,4.93,7.63,6.30,0,1,8,,Carson Palmer,PalmCa00
2012,33,OAK,QB,15,15,4-11-0,345,565,61.1,4018,22,3.9,14,2.5,188,44.0,64,7.1,6.78,11.6,267.9,85.3,46.6,26,199,4.40,6.46,6.14,2,2,10,,Carson Palmer,PalmCa00
2013,34,ARI,QB,16,16,10-6-0,362,572,63.3,4274,24,4.2,22,3.8,205,46.5,91,7.5,6.58,11.8,267.1,83.9,54.0,41,289,6.69,6.50,5.67,3,4,11,,Carson Palmer,PalmCa00
2014,35,ARI,QB,6,6,6-0-0,141,224,62.9,1626,11,4.9,3,1.3,82,43.8,80,7.3,7.64,11.5,271.0,95.6,56.8,9,59,3.86,6.73,7.09,2,2,4,,Carson Palmer,PalmCa00
2015,36,ARI,QB,16,16,13-3-0,342,537,63.7,4671,35,6.5,11,2.0,231,52.7,68,8.7,9.08,13.7,291.9,104.6,76.4,25,151,4.45,8.04,8.41,1,4,16,"PB,AP-2,AP MVP-2,AP OPoY-4,AP CPoY-2",Carson Palmer,PalmCa00
2016,37,ARI,QB,15,15,6-8-1,364,597,61.0,4233,26,4.4,14,2.3,220,46.9,80,7.1,6.91,11.6,282.2,87.2,52.9,40,281,6.28,6.20,6.03,1,3,12,,Carson Palmer,PalmCa00
2017,38,ARI,QB,7,7,3-4-0,164,267,61.4,1978,9,3.4,7,2.6,95,43.9,46,7.4,6.90,12.1,282.6,84.4,50.1,22,150,7.61,6.33,5.86,2,2,5,,Carson Palmer,PalmCa00
