Season,Age,Team,Pos,G,GS,Y/A+,NY/A+,AY/A+,ANY/A+,Cmp%+,TD%+,Int%+,Sack%+,Rate+,Awards,Player,PlayerID
2016,23,DAL,QB,16,16,119,121,123,125,120,108,127,108,123,"PB,AP MVP-6,AP ORoY-1",Dak Prescott,PresDa01
2017,24,DAL,QB,16,16,92,94,93,94,98,101,95,101,96,,Dak Prescott,PresDa01
2018,25,DAL,QB,16,16,104,96,107,101,116,97,114,77,109,PB,Dak Prescott,PresDa01
2019,26,DAL,QB,16,16,119,124,116,120,102,104,108,120,110,,Dak Prescott,PresDa01
2020,27,DAL,QB,5,5,124,127,117,120,115,95,109,116,111,,Dak Prescott,PresDa01
2021,28,DAL,QB,16,16,107,111,112,115,116,117,111,110,117,AP CPoY-2,Dak Prescott,PresDa01
2022,29,DAL,QB,12,12,105,109,97,101,108,118,67,111,102,,Dak Prescott,PresDa01
2023,30,DAL,QB,17,17,114,113,122,121,125,126,118,105,129,"PB,AP-2,AP MVP-2,AP OPoY-5",Dak Prescott,PresDa01
2024,31,DAL,QB,8,8,97,99,93,95,99,95,90,101,93,,Dak Prescott,PresDa01
2025,32,DAL,QB,17,17,111,115,112,115,110,105,109,114,112,"PB,AP CPoY-3",Dak Prescott,PresDa01
