Season,Age,Team,Pos,G,GS,def_int,def_int_yds,def_int_td,def_int_long,pass_defended,FF,Fmb,FR,FR_Yds,FR_TD,sacks,tackles_combined,tackles_solo,tackles_assists,tackles_loss,qb_hits,safety_md,Awards,Player,PlayerID
2016,23,DAL,QB,16,16,0,0,0,0,0,0,9,3,-3,0,0.0,0,0,0,0,0,0,"PB,AP MVP-6,AP ORoY-1",Dak Prescott,PresDa01
2017,24,DAL,QB,16,16,0,0,0,0,0,0,4,1,0,0,0.0,0,0,0,0,0,0,,Dak Prescott,PresDa01
2018,25,DAL,QB,16,16,0,0,0,0,0,0,12,7,0,0,0.0,0,0,0,0,0,0,PB,Dak Prescott,PresDa01
2019,26,DAL,QB,16,16,0,0,0,0,0,0,6,2,-5,0,0.0,0,0,0,0,0,0,,Dak Prescott,PresDa01
2020,27,DAL,QB,5,5,0,0,0,0,0,0,3,0,0,0,0.0,0,0,0,0,0,0,,Dak Prescott,PresDa01
2021,28,DAL,QB,16,16,0,0,0,0,0,0,14,7,17,0,0.0,0,0,0,0,0,0,AP CPoY-2,Dak Prescott,PresDa01
2022,29,DAL,QB,12,12,0,0,0,0,0,0,4,1,3,0,0.0,0,0,0,0,0,0,,Dak Prescott,PresDa01
2023,30,DAL,QB,17,17,0,0,0,0,0,0,4,1,0,0,0.0,0,0,0,0,0,0,"PB,AP-2,AP MVP-2,AP OPoY-5",Dak Prescott,PresDa01
2024,31,DAL,QB,8,8,0,0,0,0,0,0,4,2,0,0,0.0,0,0,0,0,0,0,,Dak Prescott,PresDa01
2025,32,DAL,QB,14,14,0,0,0,0,0,0,5,3,-4,0,0.0,0,0,0,0,0,0,,Dak Prescott,PresDa01
