Season,Age,Team,Pos,G,GS,QBrec,Cmp,Att,Cmp%,Yds,TD,TD%,Int,Int%,1D,Succ%,Lng,Y/A,AY/A,Y/C,Y/G,Rate,QBR,Sk,Yds_Lost,Sk%,NY/A,ANY/A,4QC,GWD,AV,Awards,Player,PlayerID
2016,23,DAL,QB,16,16,13-3-0,311,459,67.8,3667,23,5.0,4,0.9,185,52.3,83,8.0,8.60,11.8,229.2,104.9,77.6,25,143,5.17,7.28,7.86,5,5,15,"PB,AP MVP-6,AP ORoY-1",Dak Prescott,PresDa01
2017,24,DAL,QB,16,16,9-7-0,308,490,62.9,3324,22,4.5,13,2.7,162,43.3,81,6.8,6.49,10.8,207.8,86.6,70.0,32,185,6.13,6.01,5.74,0,4,13,,Dak Prescott,PresDa01
2018,25,DAL,QB,16,16,10-6-0,356,526,67.7,3885,22,4.2,8,1.5,184,45.2,90,7.4,7.54,10.9,242.8,96.9,55.2,56,347,9.62,6.08,6.22,3,5,14,PB,Dak Prescott,PresDa01
2019,26,DAL,QB,16,16,8-8-0,388,596,65.1,4902,30,5.0,11,1.8,229,52.3,62,8.2,8.40,12.6,306.4,99.7,71.9,23,151,3.72,7.68,7.84,0,0,15,,Dak Prescott,PresDa01
2020,27,DAL,QB,5,5,2-3-0,151,222,68.0,1856,9,4.1,4,1.8,93,56.0,58,8.4,8.36,12.3,371.2,99.6,73.1,10,66,4.31,7.72,7.72,1,1,6,,Dak Prescott,PresDa01
2021,28,DAL,QB,16,16,11-5-0,410,596,68.8,4449,37,6.2,10,1.7,238,51.4,51,7.5,7.95,10.9,278.1,104.2,60.5,30,144,4.79,6.88,7.34,1,2,14,AP CPoY-2,Dak Prescott,PresDa01
2022,29,DAL,QB,12,12,8-4-0,261,394,66.2,2860,23,5.8,15,3.8,158,51.7,68,7.3,6.71,11.0,238.3,91.1,59.9,20,126,4.83,6.60,6.08,2,2,11,,Dak Prescott,PresDa01
2023,30,DAL,QB,17,17,12-5-0,410,590,69.5,4516,36,6.1,9,1.5,247,51.5,92,7.7,8.19,11.0,265.6,105.9,73.4,39,255,6.20,6.77,7.28,2,3,19,"PB,AP-2,AP MVP-2,AP OPoY-5",Dak Prescott,PresDa01
2024,31,DAL,QB,8,8,3-5-0,185,286,64.7,1978,11,3.8,8,2.8,87,45.3,65,6.9,6.43,10.7,247.3,86.0,41.9,21,112,6.84,6.08,5.62,1,1,5,,Dak Prescott,PresDa01
2025,32,DAL,QB,17,17,7-9-1,404,600,67.3,4552,30,5.0,10,1.7,220,48.2,86,7.6,7.84,11.3,267.8,99.5,70.2,31,208,4.91,6.88,7.12,4,3,15,"PB,AP CPoY-3",Dak Prescott,PresDa01
