Season,Age,Team,Pos,G,GS,Rush_Att,Rush_Yds,Rush_TD,Rush_1D,Rush_Succ%,Rush_Lng,Rush_Y/A,Rush_Y/G,Rush_A/G,Tgt,Rec,Rec_Yds,rec_yds_per_rec,Rec_TD,Rec_1D,rec_success,rec_long,Rec/G,Rec_Y/G,catch_pct,rec_yds_per_tgt,touches,yds_per_touch,yds_from_scrimmage,rush_receive_td,Fmb,Awards,Player,PlayerID
2016,23,DAL,QB,16,16,57,282,6,21,54.4,18,4.9,17.6,3.6,0,0,0,,0,0,,,0.0,0.0,,,57,4.9,282,6,9,"PB,AP MVP-6,AP ORoY-1",Dak Prescott,PresDa01
2017,24,DAL,QB,16,16,57,357,6,29,63.2,21,6.3,22.3,3.6,0,0,0,,0,0,,,0.0,0.0,,,57,6.3,357,6,4,,Dak Prescott,PresDa01
2018,25,DAL,QB,16,16,75,305,6,25,46.7,28,4.1,19.1,4.7,1,0,0,,0,0,0.0,,0.0,0.0,0.0,0.0,75,4.1,305,6,12,PB,Dak Prescott,PresDa01
2019,26,DAL,QB,16,16,52,277,3,19,46.2,42,5.3,17.3,3.3,0,0,0,,0,0,,,0.0,0.0,,,52,5.3,277,3,6,,Dak Prescott,PresDa01
2020,27,DAL,QB,5,5,18,93,3,8,55.6,12,5.2,18.6,3.6,1,1,11,11.0,1,1,100.0,11,0.2,2.2,100.0,11.0,19,5.5,104,4,3,,Dak Prescott,PresDa01
2021,28,DAL,QB,16,16,48,146,1,9,27.1,21,3.0,9.1,3.0,0,0,0,,0,0,,,0.0,0.0,,,48,3.0,146,1,14,AP CPoY-2,Dak Prescott,PresDa01
2022,29,DAL,QB,12,12,45,182,1,21,51.1,25,4.0,15.2,3.8,0,0,0,,0,0,,,0.0,0.0,,,45,4.0,182,1,4,,Dak Prescott,PresDa01
2023,30,DAL,QB,17,17,55,242,2,25,52.7,22,4.4,14.2,3.2,0,0,0,,0,0,,,0.0,0.0,,,55,4.4,242,2,4,"PB,AP-2,AP MVP-2,AP OPoY-5",Dak Prescott,PresDa01
2024,31,DAL,QB,8,8,13,54,1,5,61.5,22,4.2,6.8,1.6,0,0,0,,0,0,,,0.0,0.0,,,13,4.2,54,1,4,,Dak Prescott,PresDa01
2025,32,DAL,QB,17,17,53,177,2,15,43.4,14,3.3,10.4,3.1,0,0,0,,0,0,,,0.0,0.0,,,53,3.3,177,2,6,"PB,AP CPoY-3",Dak Prescott,PresDa01
