Season,Age,Team,Pos,G,GS,def_int,def_int_yds,def_int_td,def_int_long,pass_defended,FF,Fmb,FR,FR_Yds,FR_TD,sacks,tackles_combined,tackles_solo,tackles_assists,safety_md,Awards,Player,PlayerID
1983,22,MIA,QB,11,9,0,0,0,0,,0,5,2,0,0,0.0,0,0,0,0,"PB,AP-2,AP MVP-3,AP OPoY-3,AP ORoY-2",Dan Marino,MariDa00
1984,23,MIA,QB,16,16,0,0,0,0,,0,6,2,-3,0,0.0,0,0,0,0,"PB,AP-1,AP MVP-1,AP OPoY-1",Dan Marino,MariDa00
1985,24,MIA,QB,16,16,0,0,0,0,,0,9,2,-4,0,0.0,0,0,0,0,"PB,AP-1",Dan Marino,MariDa00
1986,25,MIA,QB,16,16,0,0,0,0,,0,8,4,-12,0,0.0,0,0,0,0,"PB,AP-1,AP MVP-3,AP OPoY-2",Dan Marino,MariDa00
1987,26,MIA,QB,12,12,0,0,0,0,,0,5,4,-25,0,0.0,0,0,0,0,PB,Dan Marino,MariDa00
1988,27,MIA,QB,16,16,0,0,0,0,,0,10,8,-31,0,0.0,0,0,0,0,AP OPoY-4,Dan Marino,MariDa00
1989,28,MIA,QB,16,16,0,0,0,0,,0,7,0,-4,0,0.0,0,0,0,0,,Dan Marino,MariDa00
1990,29,MIA,QB,16,16,0,0,0,0,,0,3,2,0,0,0.0,0,0,0,0,,Dan Marino,MariDa00
1991,30,MIA,QB,16,16,0,0,0,0,,0,6,3,-8,0,0.0,0,0,0,0,PB,Dan Marino,MariDa00
1992,31,MIA,QB,16,16,0,0,0,0,,0,5,2,-12,0,0.0,0,0,0,0,PB,Dan Marino,MariDa00
1993,32,MIA,QB,5,5,0,0,0,0,,0,4,2,-13,0,0.0,0,0,0,0,,Dan Marino,MariDa00
1994,33,MIA,QB,16,16,0,0,0,0,,0,9,3,-4,0,0.0,0,0,0,0,"PB,AP-2",Dan Marino,MariDa00
1995,34,MIA,QB,14,14,0,0,0,0,,0,7,3,-14,0,0.0,0,0,0,0,"PB,AP-2",Dan Marino,MariDa00
1996,35,MIA,QB,13,13,0,0,0,0,,0,4,1,-3,0,0.0,0,0,0,0,,Dan Marino,MariDa00
1997,36,MIA,QB,16,16,0,0,0,0,,0,8,3,-17,0,0.0,0,0,0,0,,Dan Marino,MariDa00
1998,37,MIA,QB,16,16,0,0,0,0,,0,9,2,-9,0,0.0,0,0,0,0,,Dan Marino,MariDa00
1999,38,MIA,QB,11,11,0,0,0,0,0,0,5,0,0,0,0.0,,,,0,,Dan Marino,MariDa00
