Season,Age,Team,Pos,G,GS,QBrec,Cmp,Att,Cmp%,Yds,TD,TD%,Int,Int%,1D,Succ%,Lng,Y/A,AY/A,Y/C,Y/G,Rate,Sk,Yds_Lost,Sk%,NY/A,ANY/A,4QC,GWD,AV,Awards,Player,PlayerID
1983,22,MIA,QB,11,9,7-2-0,173,296,58.4,2210,20,6.8,6,2.0,105,47.1,85,7.5,7.91,12.8,200.9,96.0,10,80,3.27,6.96,7.39,1,2,10,"PB,AP-2,AP MVP-3,AP OPoY-3,AP ORoY-2",Dan Marino,MariDa00
1984,23,MIA,QB,16,16,14-2-0,362,564,64.2,5084,48,8.5,17,3.0,239,54.9,80,9.0,9.36,14.0,317.8,108.9,13,120,2.25,8.60,8.94,2,3,21,"PB,AP-1,AP MVP-1,AP OPoY-1",Dan Marino,MariDa00
1985,24,MIA,QB,16,16,12-4-0,336,567,59.3,4137,30,5.3,21,3.7,214,50.9,73,7.3,6.69,12.3,258.6,84.1,18,157,3.08,6.80,6.21,3,5,15,"PB,AP-1",Dan Marino,MariDa00
1986,25,MIA,QB,16,16,8-8-0,378,623,60.7,4746,44,7.1,23,3.7,245,50.6,85,7.6,7.37,12.6,296.6,92.5,17,119,2.66,7.23,6.99,1,2,19,"PB,AP-1,AP MVP-3,AP OPoY-2",Dan Marino,MariDa00
1987,26,MIA,QB,12,12,7-5-0,263,444,59.2,3245,26,5.9,13,2.9,158,50.1,59,7.3,7.16,12.3,270.4,89.2,9,77,1.99,6.99,6.85,2,2,12,PB,Dan Marino,MariDa00
1988,27,MIA,QB,16,16,6-10-0,354,606,58.4,4434,28,4.6,23,3.8,212,50.0,80,7.3,6.53,12.5,277.1,80.8,6,31,0.98,7.19,6.42,1,2,14,AP OPoY-4,Dan Marino,MariDa00
1989,28,MIA,QB,16,16,8-8-0,308,550,56.0,3997,24,4.4,22,4.0,186,47.5,78,7.3,6.34,13.0,249.8,76.9,10,86,1.79,6.98,6.07,2,4,12,,Dan Marino,MariDa00
1990,29,MIA,QB,16,16,12-4-0,306,531,57.6,3563,21,4.0,11,2.1,187,46.2,69,6.7,6.57,11.6,222.7,82.6,15,90,2.75,6.36,6.22,3,3,12,,Dan Marino,MariDa00
1991,30,MIA,QB,16,16,8-8-0,318,549,57.9,3970,25,4.6,13,2.4,199,49.1,54,7.2,7.08,12.5,248.1,85.8,27,182,4.69,6.58,6.43,1,3,15,PB,Dan Marino,MariDa00
1992,31,MIA,QB,16,16,11-5-0,330,554,59.6,4116,24,4.3,16,2.9,192,48.1,62,7.4,7.00,12.5,257.3,85.1,28,173,4.81,6.77,6.36,6,6,15,PB,Dan Marino,MariDa00
1993,32,MIA,QB,5,5,4-1-0,91,150,60.7,1218,8,5.3,3,2.0,51,47.8,80,8.1,8.29,13.4,243.6,95.9,7,42,4.46,7.49,7.65,1,1,5,,Dan Marino,MariDa00
1994,33,MIA,QB,16,16,10-6-0,385,615,62.6,4453,30,4.9,17,2.8,214,49.0,64,7.2,6.97,11.6,278.3,89.2,18,113,2.84,6.86,6.60,4,4,15,"PB,AP-2",Dan Marino,MariDa00
1995,34,MIA,QB,14,14,9-5-0,309,482,64.1,3668,24,5.0,15,3.1,189,49.8,67,7.6,7.21,11.9,262.0,90.8,22,153,4.37,6.97,6.59,2,3,12,"PB,AP-2",Dan Marino,MariDa00
1996,35,MIA,QB,13,13,7-6-0,221,373,59.2,2795,17,4.6,9,2.4,127,44.0,74,7.5,7.32,12.6,215.0,87.8,18,131,4.60,6.81,6.65,0,1,9,,Dan Marino,MariDa00
1997,36,MIA,QB,16,16,9-7-0,319,548,58.2,3780,16,2.9,11,2.0,190,46.8,55,6.9,6.58,11.8,236.3,80.7,20,132,3.52,6.42,6.11,1,3,13,,Dan Marino,MariDa00
1998,37,MIA,QB,16,16,10-6-0,310,537,57.7,3497,23,4.3,15,2.8,173,43.4,61,6.5,6.11,11.3,218.6,80.0,23,178,4.11,5.93,5.54,1,1,10,,Dan Marino,MariDa00
1999,38,MIA,QB,11,11,5-6-0,204,369,55.3,2448,12,3.3,17,4.6,122,44.4,62,6.6,5.21,12.0,222.5,67.4,9,66,2.38,6.30,4.91,2,2,7,,Dan Marino,MariDa00
