Season,Age,Team,Pos,G,GS,QBrec,Cmp,Att,Cmp%,Yds,TD,TD%,Int,Int%,1D,Succ%,Lng,Y/A,AY/A,Y/C,Y/G,Rate,QBR,Sk,Yds_Lost,Sk%,NY/A,ANY/A,4QC,GWD,AV,Awards,Player,PlayerID
1999,22,MIN,QB,1,0,,0,0,,0,0,,0,,0,,,,,,0.0,,,0,0,,,,0,0,0,,Daunte Culpepper,CulpDa00
2000,23,MIN,QB,16,16,11-5-0,297,474,62.7,3937,33,7.0,16,3.4,188,48.2,78,8.3,8.18,13.3,246.1,98.0,,34,181,6.69,7.39,7.28,3,4,20,PB,Daunte Culpepper,CulpDa00
2001,24,MIN,QB,11,11,4-7-0,235,366,64.2,2612,14,3.8,13,3.6,127,46.6,57,7.1,6.30,11.1,237.5,83.3,,33,186,8.27,6.08,5.32,2,2,11,,Daunte Culpepper,CulpDa00
2002,25,MIN,QB,16,16,6-10-0,333,549,60.7,3853,18,3.3,23,4.2,189,46.5,61,7.0,5.79,11.6,240.8,75.3,,47,244,7.89,6.06,4.92,3,4,16,,Daunte Culpepper,CulpDa00
2003,26,MIN,QB,14,14,7-7-0,295,454,65.0,3479,25,5.5,11,2.4,171,49.3,59,7.7,7.67,11.8,248.5,96.4,,37,196,7.54,6.69,6.70,0,1,17,"PB,AP CPoY-8",Daunte Culpepper,CulpDa00
2004,27,MIN,QB,16,16,8-8-0,379,548,69.2,4717,39,7.1,11,2.0,224,53.5,82,8.6,9.13,12.4,294.8,110.9,,46,238,7.74,7.54,8.02,1,3,20,"PB,AP OPoY-2",Daunte Culpepper,CulpDa00
2005,28,MIN,QB,7,7,2-5-0,139,216,64.4,1564,6,2.8,12,5.6,80,42.9,68,7.2,5.30,11.3,223.4,72.0,,31,169,12.55,5.65,3.95,1,1,5,,Daunte Culpepper,CulpDa00
2006,29,MIA,QB,4,4,1-3-0,81,134,60.4,929,2,1.5,3,2.2,44,38.1,52,6.9,6.22,11.5,232.3,77.0,18.3,21,150,13.55,5.03,4.41,0,1,2,,Daunte Culpepper,CulpDa00
2007,30,OAK,QB,7,6,2-4-0,108,186,58.1,1331,5,2.7,5,2.7,60,40.1,59,7.2,6.48,12.3,190.1,78.0,49.4,21,130,10.14,5.80,5.20,1,1,4,,Daunte Culpepper,CulpDa00
2008,31,DET,QB,5,5,0-5-0,60,115,52.2,786,4,3.5,6,5.2,30,34.9,70,6.8,5.18,13.1,157.2,63.9,26.7,14,95,10.85,5.36,3.88,0,0,2,,Daunte Culpepper,CulpDa00
2009,32,DET,QB,8,5,0-5-0,89,157,56.7,945,3,1.9,6,3.8,44,42.1,38,6.0,4.68,10.6,118.1,64.8,35.9,14,107,8.19,4.90,3.67,0,0,1,,Daunte Culpepper,CulpDa00
