Season,Age,Team,Pos,G,GS,Y/A+,NY/A+,AY/A+,ANY/A+,Cmp%+,TD%+,Int%+,Sack%+,Rate+,Awards,Player,PlayerID
2014,23,OAK,QB,16,16,59,72,77,83,83,89,109,119,84,,Derek Carr,CarrDe02
2015,24,OAK,QB,16,16,94,96,100,102,93,114,102,107,103,PB,Derek Carr,CarrDe02
2016,25,OAK,QB,15,15,97,108,108,115,104,108,123,127,111,"PB,AP MVP-3,AP OPoY-6",Derek Carr,CarrDe02
2017,26,OAK,QB,15,15,92,101,93,99,98,98,97,119,95,PB,Derek Carr,CarrDe02
2018,27,OAK,QB,16,16,102,99,102,99,120,89,109,86,105,,Derek Carr,CarrDe02
2019,28,OAK,QB,16,16,112,114,111,112,123,94,113,108,111,,Derek Carr,CarrDe02
2020,29,LVR,QB,16,16,115,119,115,117,112,106,110,112,113,,Derek Carr,CarrDe02
2021,30,LVR,QB,17,17,111,111,105,105,114,91,100,101,103,,Derek Carr,CarrDe02
2022,31,LVR,QB,15,15,99,103,97,100,83,106,90,110,94,PB,Derek Carr,CarrDe02
2023,32,NOR,QB,17,17,101,105,108,110,120,106,119,111,115,,Derek Carr,CarrDe02
2024,33,NOR,QB,10,10,113,122,115,122,111,113,109,130,115,,Derek Carr,CarrDe02
