Season,Age,Team,Pos,G,GS,QBrec,Cmp,Att,Cmp%,Yds,TD,TD%,Int,Int%,1D,Succ%,Lng,Y/A,AY/A,Y/C,Y/G,Rate,QBR,Sk,Yds_Lost,Sk%,NY/A,ANY/A,4QC,GWD,AV,Awards,Player,PlayerID
2014,23,OAK,QB,16,16,3-13-0,348,599,58.1,3270,21,3.5,12,2.0,163,39.5,77,5.5,5.26,9.4,204.4,76.6,42.1,24,149,3.85,5.01,4.82,1,1,5,,Derek Carr,CarrDe02
2015,24,OAK,QB,16,16,7-9-0,350,573,61.1,3987,32,5.6,13,2.3,188,43.9,68,7.0,7.05,11.4,249.2,91.1,43.1,31,230,5.13,6.22,6.31,4,4,13,PB,Derek Carr,CarrDe02
2016,25,OAK,QB,15,15,12-3-0,357,560,63.8,3937,28,5.0,6,1.1,191,45.1,75,7.0,7.55,11.0,262.5,96.7,56.1,16,79,2.78,6.70,7.20,7,7,12,"PB,AP MVP-3,AP OPoY-6",Derek Carr,CarrDe02
2017,26,OAK,QB,15,15,6-9-0,323,515,62.7,3496,22,4.3,13,2.5,168,46.2,87,6.8,6.51,10.8,233.1,86.4,50.4,20,101,3.74,6.35,6.07,1,1,10,PB,Derek Carr,CarrDe02
2018,27,OAK,QB,16,16,4-12-0,381,553,68.9,4049,19,3.4,10,1.8,197,48.5,66,7.3,7.20,10.6,253.1,93.9,46.5,51,299,8.44,6.21,6.09,3,3,11,,Derek Carr,CarrDe02
2019,28,OAK,QB,16,16,7-9-0,361,513,70.4,4054,21,4.1,8,1.6,191,50.7,75,7.9,8.02,11.2,253.4,100.8,64.1,29,184,5.35,7.14,7.25,2,3,11,,Derek Carr,CarrDe02
2020,29,LVR,QB,16,16,8-8-0,348,517,67.3,4103,27,5.2,9,1.7,192,50.6,85,7.9,8.20,11.8,256.4,101.4,64.3,26,150,4.79,7.28,7.53,3,5,14,,Derek Carr,CarrDe02
2021,30,LVR,QB,17,17,10-7-0,428,626,68.4,4804,23,3.7,14,2.2,232,49.7,61,7.7,7.40,11.2,282.6,94.0,58.4,40,241,6.01,6.85,6.60,3,6,12,,Derek Carr,CarrDe02
2022,31,LVR,QB,15,15,6-9-0,305,502,60.8,3522,24,4.8,14,2.8,161,42.3,60,7.0,6.72,11.5,234.8,86.3,57.6,27,191,5.10,6.30,6.01,4,3,12,PB,Derek Carr,CarrDe02
2023,32,NOR,QB,17,17,9-8-0,375,548,68.4,3878,25,4.6,8,1.5,185,46.8,58,7.1,7.33,10.3,228.1,97.7,57.3,31,218,5.35,6.32,6.56,0,1,12,,Derek Carr,CarrDe02
2024,33,NOR,QB,10,10,5-5-0,189,279,67.7,2145,15,5.4,5,1.8,93,45.3,71,7.7,7.96,11.3,214.5,101.0,60.2,8,48,2.79,7.31,7.57,0,1,7,,Derek Carr,CarrDe02
