Season,Age,Team,Pos,G,GS,Rush_Att,Rush_Yds,Rush_TD,Rush_1D,Rush_Succ%,Rush_Lng,Rush_Y/A,Rush_Y/G,Rush_A/G,Tgt,Rec,Rec_Yds,rec_yds_per_rec,Rec_TD,Rec_1D,rec_success,rec_long,Rec/G,Rec_Y/G,catch_pct,rec_yds_per_tgt,touches,yds_per_touch,yds_from_scrimmage,rush_receive_td,Fmb,Awards,Player,PlayerID
2014,23,OAK,QB,16,16,29,92,0,12,37.9,41,3.2,5.8,1.8,1,0,0,,0,0,0.0,,0.0,0.0,0.0,0.0,29,3.2,92,0,10,,Derek Carr,CarrDe02
2015,24,OAK,QB,16,16,33,138,0,8,39.4,24,4.2,8.6,2.1,0,0,0,,0,0,,,0.0,0.0,,,33,4.2,138,0,10,PB,Derek Carr,CarrDe02
2016,25,OAK,QB,15,15,39,70,0,5,30.8,13,1.8,4.7,2.6,0,0,0,,0,0,,,0.0,0.0,,,39,1.8,70,0,5,"PB,AP MVP-3,AP OPoY-6",Derek Carr,CarrDe02
2017,26,OAK,QB,15,15,23,66,0,5,26.1,32,2.9,4.4,1.5,0,0,0,,0,0,,,0.0,0.0,,,23,2.9,66,0,8,PB,Derek Carr,CarrDe02
2018,27,OAK,QB,16,16,24,47,1,5,29.2,15,2.0,2.9,1.5,1,1,-9,-9.0,0,0,0.0,-9,0.1,-0.6,100.0,-9.0,25,1.5,38,1,12,,Derek Carr,CarrDe02
2019,28,OAK,QB,16,16,27,82,2,7,33.3,15,3.0,5.1,1.7,0,0,0,,0,0,,,0.0,0.0,,,27,3.0,82,2,7,,Derek Carr,CarrDe02
2020,29,LVR,QB,16,16,39,140,3,16,53.8,18,3.6,8.8,2.4,0,0,0,,0,0,,,0.0,0.0,,,39,3.6,140,3,11,,Derek Carr,CarrDe02
2021,30,LVR,QB,17,17,40,108,0,10,40.0,22,2.7,6.4,2.4,0,0,0,,0,0,,,0.0,0.0,,,40,2.7,108,0,13,,Derek Carr,CarrDe02
2022,31,LVR,QB,15,15,24,102,0,10,50.0,20,4.3,6.8,1.6,0,0,0,,0,0,,,0.0,0.0,,,24,4.3,102,0,4,PB,Derek Carr,CarrDe02
2023,32,NOR,QB,17,17,32,40,0,4,25.0,10,1.3,2.4,1.9,0,0,0,,0,0,,,0.0,0.0,,,32,1.3,40,0,7,,Derek Carr,CarrDe02
2024,33,NOR,QB,10,10,17,71,1,4,52.9,13,4.2,7.1,1.7,0,0,0,,0,0,,,0.0,0.0,,,17,4.2,71,1,3,,Derek Carr,CarrDe02
