Season,Age,Team,Pos,G,GS,Y/A+,NY/A+,AY/A+,ANY/A+,Cmp%+,TD%+,Int%+,Sack%+,Rate+,Awards,Player,PlayerID
1999,23,PHI,QB,12,6,61,55,74,69,69,97,101,74,80,,Donovan McNabb,McNaDo00
2000,24,PHI,QB,16,16,84,85,94,95,100,97,116,97,100,"PB,AP MVP-2,AP OPoY-4",Donovan McNabb,McNaDo00
2001,25,PHI,QB,16,16,97,94,106,103,96,116,113,96,108,PB,Donovan McNabb,McNaDo00
2002,26,PHI,QB,10,10,92,91,108,106,97,111,126,95,110,PB,Donovan McNabb,McNaDo00
2003,27,PHI,QB,16,16,99,95,102,99,94,90,115,88,99,PB,Donovan McNabb,McNaDo00
2004,28,PHI,QB,15,15,125,123,132,130,115,130,125,101,131,PB,Donovan McNabb,McNaDo00
2005,29,PHI,QB,9,9,102,106,106,108,98,105,111,110,105,,Donovan McNabb,McNaDo00
2006,30,PHI,QB,10,10,131,126,132,128,89,119,119,101,119,,Donovan McNabb,McNaDo00
2007,31,PHI,QB,14,14,103,99,111,107,103,100,124,85,111,,Donovan McNabb,McNaDo00
2008,32,PHI,QB,16,16,99,104,105,108,98,99,115,115,104,,Donovan McNabb,McNaDo00
2009,33,PHI,QB,14,14,119,113,118,114,98,110,110,90,112,PB,Donovan McNabb,McNaDo00
2010,34,WAS,QB,13,13,102,98,97,95,92,85,97,92,92,,Donovan McNabb,McNaDo00
2011,35,MIN,QB,6,6,90,82,98,92,99,81,125,75,98,,Donovan McNabb,McNaDo00
