Season,Age,Team,Pos,G,GS,QBrec,Cmp,Att,Cmp%,Yds,TD,TD%,Int,Int%,1D,Succ%,Lng,Y/A,AY/A,Y/C,Y/G,Rate,QBR,Sk,Yds_Lost,Sk%,NY/A,ANY/A,4QC,GWD,AV,Awards,Player,PlayerID
1999,23,PHI,QB,12,6,2-4-0,106,216,49.1,948,8,3.7,7,3.2,55,29.5,63,4.4,3.67,8.9,79.0,60.1,,28,204,11.48,3.05,2.41,1,2,1,,Donovan McNabb,McNaDo00
2000,24,PHI,QB,16,16,11-5-0,330,569,58.0,3365,21,3.7,13,2.3,181,42.8,70,5.9,5.62,10.2,210.3,77.8,,45,262,7.33,5.05,4.79,2,3,15,"PB,AP MVP-2,AP OPoY-4",Donovan McNabb,McNaDo00
2001,25,PHI,QB,16,16,11-5-0,285,493,57.8,3233,25,5.1,12,2.4,134,40.0,64,6.6,6.48,11.3,202.1,84.3,,39,273,7.33,5.56,5.49,2,2,14,PB,Donovan McNabb,McNaDo00
2002,26,PHI,QB,10,10,7-3-0,211,361,58.4,2289,17,4.7,6,1.7,108,44.7,59,6.3,6.53,10.8,228.9,86.0,,28,166,7.20,5.46,5.64,0,1,10,PB,Donovan McNabb,McNaDo00
2003,27,PHI,QB,16,16,12-4-0,275,478,57.5,3216,16,3.3,11,2.3,153,40.7,59,6.7,6.36,11.7,201.0,79.6,,43,253,8.25,5.69,5.35,2,4,15,PB,Donovan McNabb,McNaDo00
2004,28,PHI,QB,15,15,13-2-0,300,469,64.0,3875,31,6.6,8,1.7,174,49.5,80,8.3,8.82,12.9,258.3,104.7,,32,192,6.39,7.35,7.87,2,2,16,PB,Donovan McNabb,McNaDo00
2005,29,PHI,QB,9,9,4-5-0,211,357,59.1,2507,16,4.5,9,2.5,116,46.8,91,7.0,6.78,11.9,278.6,85.0,,19,112,5.05,6.37,6.14,0,2,7,,Donovan McNabb,McNaDo00
2006,30,PHI,QB,10,10,5-5-0,180,316,57.0,2647,18,5.7,6,1.9,112,44.8,87,8.4,8.66,14.7,264.7,95.5,62.1,21,140,6.23,7.44,7.71,0,1,11,,Donovan McNabb,McNaDo00
2007,31,PHI,QB,14,14,8-6-0,291,473,61.5,3324,19,4.0,7,1.5,154,45.3,75,7.0,7.16,11.4,237.4,89.9,54.0,44,227,8.51,5.99,6.12,1,1,12,,Donovan McNabb,McNaDo00
2008,32,PHI,QB,16,16,9-6-1,345,571,60.4,3916,23,4.0,11,1.9,195,46.8,90,6.9,6.80,11.4,244.8,86.4,54.9,23,149,3.87,6.34,6.28,2,1,12,,Donovan McNabb,McNaDo00
2009,33,PHI,QB,14,14,10-4-0,267,443,60.3,3553,22,5.0,10,2.3,141,41.4,60,8.0,8.00,13.3,253.8,92.9,58.2,35,264,7.32,6.88,6.86,2,3,13,PB,Donovan McNabb,McNaDo00
2010,34,WAS,QB,13,13,5-8-0,275,472,58.3,3377,14,3.0,15,3.2,152,42.0,76,7.2,6.32,12.3,259.8,77.1,47.8,37,271,7.27,6.10,5.33,2,2,8,,Donovan McNabb,McNaDo00
2011,35,MIN,QB,6,6,1-5-0,94,156,60.3,1026,4,2.6,2,1.3,52,40.1,60,6.6,6.51,10.9,171.0,82.9,54.6,16,113,9.30,5.31,5.25,0,0,4,,Donovan McNabb,McNaDo00
