Season,Age,Team,Pos,G,GS,Rush_Att,Rush_Yds,Rush_TD,Rush_1D,Rush_Succ%,Rush_Lng,Rush_Y/A,Rush_Y/G,Rush_A/G,Tgt,Rec,Rec_Yds,rec_yds_per_rec,Rec_TD,Rec_1D,rec_success,rec_long,Rec/G,Rec_Y/G,catch_pct,rec_yds_per_tgt,touches,yds_per_touch,yds_from_scrimmage,rush_receive_td,Fmb,Awards,Player,PlayerID
1999,23,PHI,QB,12,6,47,313,0,18,42.6,27,6.7,26.1,3.9,1,1,-6,-6.0,0,0,0.0,-6,0.1,-0.5,100.0,-6.0,48,6.4,307,0,8,,Donovan McNabb,McNaDo00
2000,24,PHI,QB,16,16,86,629,6,32,58.1,54,7.3,39.3,5.4,4,2,5,2.5,0,0,0.0,3,0.1,0.3,50.0,1.3,88,7.2,634,6,7,"PB,AP MVP-2,AP OPoY-4",Donovan McNabb,McNaDo00
2001,25,PHI,QB,16,16,82,482,2,28,50.0,33,5.9,30.1,5.1,0,0,0,,0,0,,,0.0,0.0,,,82,5.9,482,2,8,PB,Donovan McNabb,McNaDo00
2002,26,PHI,QB,10,10,63,460,6,35,65.1,40,7.3,46.0,6.3,1,0,0,,0,0,0.0,,0.0,0.0,0.0,0.0,63,7.3,460,6,6,PB,Donovan McNabb,McNaDo00
2003,27,PHI,QB,16,16,71,355,3,27,50.7,34,5.0,22.2,4.4,1,1,-7,-7.0,0,0,0.0,-7,0.1,-0.4,100.0,-7.0,72,4.8,348,3,9,PB,Donovan McNabb,McNaDo00
2004,28,PHI,QB,15,15,41,220,3,12,46.3,28,5.4,14.7,2.7,0,0,0,,0,0,,,0.0,0.0,,,41,5.4,220,3,8,PB,Donovan McNabb,McNaDo00
2005,29,PHI,QB,9,9,25,55,1,7,28.0,11,2.2,6.1,2.8,0,0,0,,0,0,,,0.0,0.0,,,25,2.2,55,1,8,,Donovan McNabb,McNaDo00
2006,30,PHI,QB,10,10,32,212,3,15,59.4,37,6.6,21.2,3.2,0,0,0,,0,0,,,0.0,0.0,,,32,6.6,212,3,3,,Donovan McNabb,McNaDo00
2007,31,PHI,QB,14,14,50,236,0,17,46.0,40,4.7,16.9,3.6,0,0,0,,0,0,,,0.0,0.0,,,50,4.7,236,0,9,,Donovan McNabb,McNaDo00
2008,32,PHI,QB,16,16,39,147,2,11,43.6,17,3.8,9.2,2.4,0,0,0,,0,0,,,0.0,0.0,,,39,3.8,147,2,7,,Donovan McNabb,McNaDo00
2009,33,PHI,QB,14,14,37,140,2,11,32.4,27,3.8,10.0,2.6,1,1,1,1.0,0,0,0.0,1,0.1,0.1,100.0,1.0,38,3.7,141,2,10,PB,Donovan McNabb,McNaDo00
2010,34,WAS,QB,13,13,29,151,0,8,44.8,36,5.2,11.6,2.2,0,0,0,,0,0,,,0.0,0.0,,,29,5.2,151,0,10,,Donovan McNabb,McNaDo00
2011,35,MIN,QB,6,6,14,59,1,5,35.7,23,4.2,9.8,2.3,0,0,0,,0,0,,,0.0,0.0,,,14,4.2,59,1,2,,Donovan McNabb,McNaDo00
