Season,Age,Team,Pos,G,GS,Y/A+,NY/A+,AY/A+,ANY/A+,Cmp%+,TD%+,Int%+,Sack%+,Rate+,Awards,Player,PlayerID
1993,21,NWE,QB,13,12,81,91,85,92,76,97,98,121,84,,Drew Bledsoe,BledDr00
1994,22,NWE,QB,16,16,97,105,92,98,99,98,88,121,94,PB,Drew Bledsoe,BledDr00
1995,23,NWE,QB,15,15,70,80,80,86,76,76,111,118,79,,Drew Bledsoe,BledDr00
1996,24,NWE,QB,16,16,96,103,104,108,110,105,112,113,109,PB,Drew Bledsoe,BledDr00
1997,25,NWE,QB,16,16,107,108,110,111,113,114,105,109,113,PB,Drew Bledsoe,BledDr00
1998,26,NWE,QB,14,14,114,112,111,109,92,101,104,101,104,,Drew Bledsoe,BledDr00
1999,27,NWE,QB,16,16,110,104,103,99,97,95,92,87,97,,Drew Bledsoe,BledDr00
2000,28,NWE,QB,16,16,90,89,96,95,103,92,114,94,99,,Drew Bledsoe,BledDr00
2001,29,NWE,QB,2,2,87,90,89,91,106,88,103,98,95,,Drew Bledsoe,BledDr00
2002,30,BUF,QB,16,16,110,103,112,107,108,100,113,89,110,"PB,AP CPoY-3",Drew Bledsoe,BledDr00
2003,31,BUF,QB,16,16,87,79,90,84,96,78,110,80,90,,Drew Bledsoe,BledDr00
2004,32,BUF,QB,16,16,95,94,95,94,92,104,93,93,95,,Drew Bledsoe,BledDr00
2005,33,DAL,QB,16,16,107,101,105,101,101,106,95,86,103,,Drew Bledsoe,BledDr00
2006,34,DAL,QB,6,6,101,95,92,89,76,101,74,86,84,,Drew Bledsoe,BledDr00
