Season,Age,Team,Pos,G,GS,def_int,def_int_yds,def_int_td,def_int_long,pass_defended,FF,Fmb,FR,FR_Yds,FR_TD,sacks,tackles_combined,tackles_solo,tackles_assists,tackles_loss,safety_md,Awards,Player,PlayerID
1993,21,NWE,QB,13,12,0,0,0,0,,0,8,5,-23,0,0.0,0,0,0,,0,,Drew Bledsoe,BledDr00
1994,22,NWE,QB,16,16,0,0,0,0,,0,9,3,-5,0,0.0,0,0,0,,0,PB,Drew Bledsoe,BledDr00
1995,23,NWE,QB,15,15,0,0,0,0,,0,11,1,-8,0,0.0,0,0,0,,0,,Drew Bledsoe,BledDr00
1996,24,NWE,QB,16,16,0,0,0,0,,0,9,1,-2,0,0.0,0,0,0,,0,PB,Drew Bledsoe,BledDr00
1997,25,NWE,QB,16,16,0,0,0,0,,0,4,3,-4,0,0.0,0,0,0,,0,PB,Drew Bledsoe,BledDr00
1998,26,NWE,QB,14,14,0,0,0,0,,0,9,4,-10,0,0.0,0,0,0,,0,,Drew Bledsoe,BledDr00
1999,27,NWE,QB,16,16,0,0,0,0,0,0,8,6,-13,0,0.0,0,0,0,0,0,,Drew Bledsoe,BledDr00
2000,28,NWE,QB,16,16,0,0,0,0,0,0,9,3,-20,0,0.0,0,0,0,0,0,,Drew Bledsoe,BledDr00
2001,29,NWE,QB,2,2,0,0,0,0,0,0,1,1,0,0,0.0,0,0,0,0,0,,Drew Bledsoe,BledDr00
2002,30,BUF,QB,16,16,0,0,0,0,0,0,11,2,-8,0,0.0,,,,,0,"PB,AP CPoY-3",Drew Bledsoe,BledDr00
2003,31,BUF,QB,16,16,0,0,0,0,0,0,15,4,-18,0,0.0,0,0,0,0,0,,Drew Bledsoe,BledDr00
2004,32,BUF,QB,16,16,0,0,0,0,0,0,9,2,-56,0,0.0,,,,,0,,Drew Bledsoe,BledDr00
2005,33,DAL,QB,16,16,0,0,0,0,0,0,17,3,-12,0,0.0,0,0,0,0,0,,Drew Bledsoe,BledDr00
2006,34,DAL,QB,6,6,0,0,0,0,0,0,3,1,0,0,0.0,,,,,0,,Drew Bledsoe,BledDr00
