Season,Age,Team,Pos,G,GS,QBrec,Cmp,Att,Cmp%,Yds,TD,TD%,Int,Int%,1D,Succ%,Lng,Y/A,AY/A,Y/C,Y/G,Rate,QBR,Sk,Yds_Lost,Sk%,NY/A,ANY/A,4QC,GWD,AV,Awards,Player,PlayerID
1993,21,NWE,QB,13,12,5-7-0,214,429,49.9,2494,15,3.5,15,3.5,130,39.3,54,5.8,4.94,11.7,191.8,65.0,,16,99,3.60,5.38,4.54,2,2,6,,Drew Bledsoe,BledDr00
1994,22,NWE,QB,16,16,10-6-0,400,691,57.9,4555,25,3.6,27,3.9,242,48.2,62,6.6,5.56,11.4,284.7,73.6,,22,139,3.09,6.19,5.19,3,3,13,PB,Drew Bledsoe,BledDr00
1995,23,NWE,QB,15,15,6-9-0,323,636,50.8,3507,13,2.0,16,2.5,192,38.1,47,5.5,4.79,10.9,233.8,63.7,,23,170,3.49,5.06,4.37,2,2,8,,Drew Bledsoe,BledDr00
1996,24,NWE,QB,16,16,11-5-0,373,623,59.9,4086,27,4.3,15,2.4,206,45.6,84,6.6,6.34,11.0,255.4,83.7,,30,190,4.59,5.97,5.76,3,4,16,PB,Drew Bledsoe,BledDr00
1997,25,NWE,QB,16,16,10-6-0,314,522,60.2,3706,28,5.4,15,2.9,168,44.2,76,7.1,6.88,11.8,231.6,87.7,,30,258,5.43,6.25,6.04,0,1,14,PB,Drew Bledsoe,BledDr00
1998,26,NWE,QB,14,14,8-6-0,263,481,54.7,3633,20,4.2,14,2.9,166,41.6,86,7.6,7.07,13.8,259.5,80.9,,36,295,6.96,6.46,6.01,3,4,12,,Drew Bledsoe,BledDr00
1999,27,NWE,QB,16,16,8-8-0,305,539,56.6,3985,19,3.5,21,3.9,184,42.1,68,7.4,6.35,13.1,249.1,75.6,,55,342,9.26,6.13,5.18,2,2,11,,Drew Bledsoe,BledDr00
2000,28,NWE,QB,16,16,5-11-0,312,531,58.8,3291,17,3.2,13,2.4,165,43.4,59,6.2,5.74,10.5,205.7,77.3,,45,264,7.81,5.26,4.83,2,3,11,,Drew Bledsoe,BledDr00
2001,29,NWE,QB,2,2,0-2-0,40,66,60.6,400,2,3.0,2,3.0,18,40.8,58,6.1,5.30,10.0,200.0,75.3,,5,21,7.04,5.34,4.63,0,0,2,,Drew Bledsoe,BledDr00
2002,30,BUF,QB,16,16,8-8-0,375,610,61.5,4359,24,3.9,15,2.5,222,47.3,73,7.1,6.83,11.6,272.4,86.0,,54,369,8.13,6.01,5.72,2,4,14,"PB,AP CPoY-3",Drew Bledsoe,BledDr00
2003,31,BUF,QB,16,16,6-10-0,274,471,58.2,2860,11,2.3,12,2.5,141,40.0,54,6.1,5.39,10.4,178.8,73.0,,49,371,9.42,4.79,4.17,1,1,7,,Drew Bledsoe,BledDr00
2004,32,BUF,QB,16,16,9-7-0,256,450,56.9,2932,20,4.4,16,3.6,143,41.9,69,6.5,5.80,11.5,183.3,76.6,,37,215,7.60,5.58,4.92,0,0,10,,Drew Bledsoe,BledDr00
2005,33,DAL,QB,16,16,9-7-0,300,499,60.1,3639,23,4.6,17,3.4,178,43.4,71,7.3,6.68,12.1,227.4,83.7,,49,295,8.94,6.10,5.55,4,5,11,,Drew Bledsoe,BledDr00
2006,34,DAL,QB,6,6,3-3-0,90,169,53.3,1164,7,4.1,8,4.7,54,39.5,51,6.9,5.59,12.9,194.0,69.2,46.1,16,107,8.65,5.71,4.52,0,0,4,,Drew Bledsoe,BledDr00
