Season,Age,Team,Pos,G,GS,Y/A+,NY/A+,AY/A+,ANY/A+,Cmp%+,TD%+,Int%+,Sack%+,Rate+,Awards,Player,PlayerID
2002,23,SDG,QB,16,16,90,95,92,95,106,90,103,114,97,,Drew Brees,BreeDr00
2003,24,SDG,QB,11,11,84,85,80,81,94,87,82,106,83,,Drew Brees,BreeDr00
2004,25,SDG,QB,15,15,119,122,127,129,120,132,125,116,131,"PB,AP OPoY-5,AP CPoY-1",Drew Brees,BreeDr00
2005,26,SDG,QB,16,16,104,106,105,106,116,108,102,110,110,,Drew Brees,BreeDr00
2006,27,NOR,QB,16,16,123,127,123,127,114,108,118,121,120,"PB,AP-1,AP MVP-2,AP OPoY-2,AP CPoY-2",Drew Brees,BreeDr00
2007,28,NOR,QB,16,16,98,107,101,107,124,103,104,124,110,,Drew Brees,BreeDr00
2008,29,NOR,QB,16,16,120,126,117,122,113,114,104,128,116,"PB,AP-2,AP OPoY-1",Drew Brees,BreeDr00
2009,30,NOR,QB,15,15,129,132,129,131,133,131,111,117,132,"PB,AP-2,AP MVP-2,AP OPoY-2",Drew Brees,BreeDr00
2010,31,NOR,QB,16,16,99,104,99,103,124,109,95,119,108,PB,Drew Brees,BreeDr00
2011,32,NOR,QB,16,16,125,130,128,132,137,131,111,122,133,"PB,AP-2,AP MVP-2,AP OPoY-1",Drew Brees,BreeDr00
2012,33,NOR,QB,16,16,112,117,112,116,108,123,99,122,113,PB,Drew Brees,BreeDr00
2013,34,NOR,QB,16,16,119,119,121,121,127,118,114,108,123,"PB,AP OPoY-4",Drew Brees,BreeDr00
2014,35,NOR,QB,16,16,108,113,106,109,128,106,100,116,112,PB,Drew Brees,BreeDr00
2015,36,NOR,QB,15,15,114,115,115,116,121,108,111,111,117,,Drew Brees,BreeDr00
2016,37,NOR,QB,16,16,114,119,112,116,129,113,102,118,118,"PB,AP OPoY-6",Drew Brees,BreeDr00
2017,38,NOR,QB,16,16,119,124,117,121,131,99,114,120,119,PB,Drew Brees,BreeDr00
2018,39,NOR,QB,15,15,119,125,126,131,141,122,122,125,134,"PB,AP-2,AP MVP-2,AP OPoY-2",Drew Brees,BreeDr00
2019,40,NOR,QB,11,11,112,119,122,126,139,125,121,125,132,PB,Drew Brees,BreeDr00
2020,41,NOR,QB,12,12,107,115,114,118,126,116,114,124,120,,Drew Brees,BreeDr00
