Season,Age,Team,Pos,G,GS,def_int,def_int_yds,def_int_td,def_int_long,pass_defended,FF,Fmb,FR,FR_Yds,FR_TD,sacks,tackles_combined,tackles_solo,tackles_assists,tackles_loss,qb_hits,safety_md,Awards,Player,PlayerID
2001,22,SDG,QB,1,0,0,0,0,0,0,0,2,1,0,0,0.0,0,0,0,0,,0,,Drew Brees,BreeDr00
2002,23,SDG,QB,16,16,0,0,0,0,0,0,2,2,0,0,0.0,0,0,0,0,,0,,Drew Brees,BreeDr00
2003,24,SDG,QB,11,11,0,0,0,0,0,0,5,0,-1,0,0.0,0,0,0,0,,0,,Drew Brees,BreeDr00
2004,25,SDG,QB,15,15,0,0,0,0,0,0,7,3,-9,0,0.0,0,0,0,0,,0,"PB,AP OPoY-5,AP CPoY-1",Drew Brees,BreeDr00
2005,26,SDG,QB,16,16,0,0,0,0,0,0,8,0,0,0,0.0,0,0,0,0,,0,,Drew Brees,BreeDr00
2006,27,NOR,QB,16,16,0,0,0,0,0,0,8,1,-3,0,0.0,0,0,0,0,0,0,"PB,AP-1,AP MVP-2,AP OPoY-2,AP CPoY-2",Drew Brees,BreeDr00
2007,28,NOR,QB,16,16,0,0,0,0,0,0,9,0,-6,0,0.0,0,0,0,0,0,0,,Drew Brees,BreeDr00
2008,29,NOR,QB,16,16,0,0,0,0,0,0,6,2,-34,0,0.0,0,0,0,0,0,0,"PB,AP-2,AP OPoY-1",Drew Brees,BreeDr00
2009,30,NOR,QB,15,15,0,0,0,0,0,0,10,2,0,0,0.0,0,0,0,0,0,0,"PB,AP-2,AP MVP-2,AP OPoY-2",Drew Brees,BreeDr00
2010,31,NOR,QB,16,16,0,0,0,0,0,0,9,5,0,0,0.0,0,0,0,0,0,0,PB,Drew Brees,BreeDr00
2011,32,NOR,QB,16,16,0,0,0,0,0,0,1,0,-15,0,0.0,0,0,0,0,0,0,"PB,AP-2,AP MVP-2,AP OPoY-1",Drew Brees,BreeDr00
2012,33,NOR,QB,16,16,0,0,0,0,0,0,5,2,0,0,0.0,0,0,0,0,0,0,PB,Drew Brees,BreeDr00
2013,34,NOR,QB,16,16,0,0,0,0,0,0,6,0,0,0,0.0,0,0,0,,,0,"PB,AP OPoY-4",Drew Brees,BreeDr00
2014,35,NOR,QB,16,16,0,0,0,0,0,0,7,4,-22,0,0.0,0,0,0,0,0,0,PB,Drew Brees,BreeDr00
2015,36,NOR,QB,15,15,0,0,0,0,0,0,5,2,0,0,0.0,0,0,0,0,0,0,,Drew Brees,BreeDr00
2016,37,NOR,QB,16,16,0,0,0,0,0,0,5,1,0,0,0.0,0,0,0,0,0,0,"PB,AP OPoY-6",Drew Brees,BreeDr00
2017,38,NOR,QB,16,16,0,0,0,0,0,0,5,3,-12,0,0.0,0,0,0,0,0,0,PB,Drew Brees,BreeDr00
2018,39,NOR,QB,15,15,0,0,0,0,0,0,5,4,0,0,0.0,0,0,0,0,0,0,"PB,AP-2,AP MVP-2,AP OPoY-2",Drew Brees,BreeDr00
2020,41,NOR,QB,12,12,0,0,0,0,0,0,6,2,0,0,0.0,0,0,0,0,0,0,,Drew Brees,BreeDr00
