Season,Age,Team,Pos,G,GS,Y/A+,NY/A+,AY/A+,ANY/A+,Cmp%+,TD%+,Int%+,Sack%+,Rate+,Awards,Player,PlayerID
2004,23,NYG,QB,9,7,73,77,71,74,63,88,76,103,68,,Eli Manning,MannEl00
2005,24,NYG,QB,16,16,97,102,99,102,77,103,101,112,93,,Eli Manning,MannEl00
2006,25,NYG,QB,16,16,88,93,92,95,91,107,95,112,95,,Eli Manning,MannEl00
2007,26,NYG,QB,16,16,88,92,88,91,84,104,88,108,89,,Eli Manning,MannEl00
2008,27,NYG,QB,16,16,97,99,104,104,98,103,113,105,104,PB,Eli Manning,MannEl00
2009,28,NYG,QB,16,16,117,116,115,114,105,115,103,103,112,,Eli Manning,MannEl00
2010,29,NYG,QB,16,16,106,113,99,104,107,117,77,125,102,,Eli Manning,MannEl00
2011,30,NYG,QB,16,16,126,128,119,121,101,107,102,114,111,"PB,AP CPoY-6",Eli Manning,MannEl00
2012,31,NYG,QB,16,16,105,112,104,109,97,106,99,125,102,PB,Eli Manning,MannEl00
2013,32,NYG,QB,16,16,95,94,80,81,84,87,60,98,77,,Eli Manning,MannEl00
2014,33,NYG,QB,16,16,103,108,105,108,103,106,104,115,105,,Eli Manning,MannEl00
2015,34,NYG,QB,16,16,99,106,104,108,99,115,102,115,106,PB,Eli Manning,MannEl00
2016,35,NYG,QB,16,16,91,99,92,97,101,100,94,122,96,,Eli Manning,MannEl00
2017,36,NYG,QB,15,15,77,83,83,86,94,88,101,109,88,,Eli Manning,MannEl00
2018,37,NYG,QB,16,16,105,101,104,101,109,91,107,93,103,,Eli Manning,MannEl00
2019,38,NYG,QB,4,4,96,103,89,95,89,94,80,123,87,,Eli Manning,MannEl00
