Season,Age,Team,Pos,G,GS,Rush_Att,Rush_Yds,Rush_TD,Rush_1D,Rush_Succ%,Rush_Lng,Rush_Y/A,Rush_Y/G,Rush_A/G,Tgt,Rec,Rec_Yds,Rec_TD,Rec_1D,Rec/G,Rec_Y/G,touches,yds_per_touch,yds_from_scrimmage,rush_receive_td,Fmb,Awards,Player,PlayerID
2004,23,NYG,QB,9,7,6,35,0,2,50.0,15,5.8,3.9,0.7,0,0,0,0,0,0.0,0.0,6,5.8,35,0,3,,Eli Manning,MannEl00
2005,24,NYG,QB,16,16,29,80,1,6,34.5,14,2.8,5.0,1.8,0,0,0,0,0,0.0,0.0,29,2.8,80,1,9,,Eli Manning,MannEl00
2006,25,NYG,QB,16,16,25,21,0,5,24.0,9,0.8,1.3,1.6,0,0,0,0,0,0.0,0.0,25,0.8,21,0,9,,Eli Manning,MannEl00
2007,26,NYG,QB,16,16,29,69,1,9,37.9,18,2.4,4.3,1.8,0,0,0,0,0,0.0,0.0,29,2.4,69,1,13,,Eli Manning,MannEl00
2008,27,NYG,QB,16,16,20,10,1,3,25.0,13,0.5,0.6,1.3,0,0,0,0,0,0.0,0.0,20,0.5,10,1,5,PB,Eli Manning,MannEl00
2009,28,NYG,QB,16,16,17,65,0,5,41.2,14,3.8,4.1,1.1,0,0,0,0,0,0.0,0.0,17,3.8,65,0,13,,Eli Manning,MannEl00
2010,29,NYG,QB,16,16,32,70,0,4,31.3,16,2.2,4.4,2.0,0,0,0,0,0,0.0,0.0,32,2.2,70,0,7,,Eli Manning,MannEl00
2011,30,NYG,QB,16,16,35,15,1,2,8.6,12,0.4,0.9,2.2,0,0,0,0,0,0.0,0.0,35,0.4,15,1,8,"PB,AP CPoY-6",Eli Manning,MannEl00
2012,31,NYG,QB,16,16,20,30,0,2,20.0,13,1.5,1.9,1.3,0,0,0,0,0,0.0,0.0,20,1.5,30,0,5,PB,Eli Manning,MannEl00
2013,32,NYG,QB,16,16,18,36,0,3,16.7,14,2.0,2.3,1.1,0,0,0,0,0,0.0,0.0,18,2.0,36,0,7,,Eli Manning,MannEl00
2014,33,NYG,QB,16,16,12,31,1,4,33.3,18,2.6,1.9,0.8,0,0,0,0,0,0.0,0.0,12,2.6,31,1,7,,Eli Manning,MannEl00
2015,34,NYG,QB,16,16,20,61,0,5,20.0,18,3.1,3.8,1.3,0,0,0,0,0,0.0,0.0,20,3.1,61,0,11,PB,Eli Manning,MannEl00
2016,35,NYG,QB,16,16,21,-9,0,2,9.5,6,-0.4,-0.6,1.3,0,0,0,0,0,0.0,0.0,21,-0.4,-9,0,7,,Eli Manning,MannEl00
2017,36,NYG,QB,15,15,12,26,1,2,16.7,14,2.2,1.7,0.8,0,0,0,0,0,0.0,0.0,12,2.2,26,1,11,,Eli Manning,MannEl00
2018,37,NYG,QB,16,16,15,20,1,5,46.7,7,1.3,1.3,0.9,0,0,0,0,0,0.0,0.0,15,1.3,20,1,7,,Eli Manning,MannEl00
2019,38,NYG,QB,4,4,4,7,0,1,50.0,6,1.8,1.8,1.0,0,0,0,0,0,0.0,0.0,4,1.8,7,0,3,,Eli Manning,MannEl00
