Season,Age,Team,Pos,G,GS,QBrec,Cmp,Att,Cmp%,Yds,TD,TD%,Int,Int%,1D,Succ%,Lng,Y/A,AY/A,Y/C,Y/G,Rate,QBR,Sk,Yds_Lost,Sk%,NY/A,ANY/A,4QC,GWD,AV,Awards,Player,PlayerID
2013,23,NYJ,QB,16,16,8-8-0,247,443,55.8,3046,12,2.7,21,4.7,148,39.5,69,6.9,5.28,12.3,190.4,66.5,41.0,43,315,8.85,5.62,4.17,2,5,7,,Geno Smith,SmitGe00
2014,24,NYJ,QB,14,13,3-10-0,219,367,59.7,2525,13,3.5,13,3.5,119,41.8,74,6.9,5.99,11.5,180.4,77.5,45.8,28,175,7.09,5.95,5.13,1,2,7,,Geno Smith,SmitGe00
2015,25,NYJ,QB,1,0,,27,42,64.3,265,2,4.8,1,2.4,14,53.3,28,6.3,6.19,9.8,265.0,87.9,56.9,3,19,6.67,5.47,5.36,0,0,1,,Geno Smith,SmitGe00
2016,26,NYJ,QB,2,1,1-0-0,8,14,57.1,126,1,7.1,1,7.1,3,41.2,69,9.0,7.21,15.8,63.0,81.2,26.2,3,19,17.65,6.29,4.82,0,0,0,,Geno Smith,SmitGe00
2017,27,NYG,QB,2,1,0-1-0,21,36,58.3,212,1,2.8,0,0.0,8,38.5,47,5.9,6.44,10.1,106.0,84.5,39.8,3,12,7.69,5.13,5.64,0,0,1,,Geno Smith,SmitGe00
2018,28,LAC,QB,5,0,,1,4,25.0,8,0,0.0,0,0.0,0,,8,2.0,2.00,8.0,1.6,39.6,0.7,1,16,20.00,-1.60,-1.60,0,0,0,,Geno Smith,SmitGe00
2020,30,SEA,QB,1,0,,4,5,80.0,33,0,0.0,0,0.0,3,50.0,14,6.6,6.60,8.3,33.0,94.2,3.9,1,3,16.67,5.00,5.00,0,0,0,,Geno Smith,SmitGe00
2021,31,SEA,QB,4,3,1-2-0,65,95,68.4,702,5,5.3,1,1.1,31,44.4,84,7.4,7.97,10.8,175.5,103.0,51.8,13,117,12.04,5.42,5.93,0,0,2,,Geno Smith,SmitGe00
2022,32,SEA,QB,17,17,9-8-0,399,572,69.8,4282,30,5.2,11,1.9,206,48.2,54,7.5,7.67,10.7,251.9,100.9,62.8,46,348,7.44,6.37,6.54,2,3,15,"PB,AP MVP-9,AP CPoY-1",Geno Smith,SmitGe00
2023,33,SEA,QB,15,15,8-7-0,323,499,64.7,3624,20,4.0,9,1.8,169,47.2,73,7.3,7.25,11.2,241.6,92.1,60.3,31,231,5.85,6.40,6.39,4,5,12,PB,Geno Smith,SmitGe00
2024,34,SEA,QB,17,17,10-7-0,407,578,70.4,4320,21,3.6,15,2.6,209,48.4,71,7.5,7.03,10.6,254.1,93.2,50.4,50,338,7.96,6.34,5.93,4,4,12,,Geno Smith,SmitGe00
2025,35,LVR,QB,15,15,2-13-0,302,448,67.4,3025,19,4.2,17,3.8,148,45.3,61,6.8,5.89,10.0,201.7,84.7,34.1,55,405,10.93,5.21,4.44,0,0,7,,Geno Smith,SmitGe00
