Season,Age,Team,Pos,G,GS,Rush_Att,Rush_Yds,Rush_TD,Rush_1D,Rush_Succ%,Rush_Lng,Rush_Y/A,Rush_Y/G,Rush_A/G,Tgt,Rec,Rec_Yds,rec_yds_per_rec,Rec_TD,Rec_1D,rec_success,rec_long,Rec/G,Rec_Y/G,catch_pct,rec_yds_per_tgt,touches,yds_per_touch,yds_from_scrimmage,rush_receive_td,Fmb,Awards,Player,PlayerID
2016,24,NWE,QB,3,2,16,83,1,5,43.8,27,5.2,27.7,5.3,0,0,0,,0,0,,,0.0,0.0,,,16,5.2,83,1,3,,Jacoby Brissett,BrisJa00
2017,25,IND,QB,16,15,63,260,4,15,33.3,25,4.1,16.3,3.9,0,0,0,,0,0,,,0.0,0.0,,,63,4.1,260,4,8,,Jacoby Brissett,BrisJa00
2018,26,IND,QB,4,0,7,-7,0,0,0.0,-1,-1.0,-1.8,1.8,0,0,0,,0,0,,,0.0,0.0,,,7,-1.0,-7,0,0,,Jacoby Brissett,BrisJa00
2019,27,IND,QB,15,15,56,228,4,20,55.4,24,4.1,15.2,3.7,1,1,2,2.0,0,0,0.0,2,0.1,0.1,100.0,2.0,57,4.0,230,4,7,,Jacoby Brissett,BrisJa00
2020,28,IND,QB,11,0,17,19,3,9,58.8,5,1.1,1.7,1.5,0,0,0,,0,0,,,0.0,0.0,,,17,1.1,19,3,0,,Jacoby Brissett,BrisJa00
2021,29,MIA,QB,11,5,19,70,1,9,63.2,19,3.7,6.4,1.7,0,0,0,,0,0,,,0.0,0.0,,,19,3.7,70,1,6,,Jacoby Brissett,BrisJa00
2022,30,CLE,QB,16,11,49,243,2,28,65.3,22,5.0,15.2,3.1,0,0,0,,0,0,,,0.0,0.0,,,49,5.0,243,2,6,,Jacoby Brissett,BrisJa00
2023,31,WAS,QB,3,0,3,19,0,0,66.7,10,6.3,6.3,1.0,0,0,0,,0,0,,,0.0,0.0,,,3,6.3,19,0,0,,Jacoby Brissett,BrisJa00
2024,32,NWE,QB,8,5,15,62,0,5,53.3,16,4.1,7.8,1.9,0,0,0,,0,0,,,0.0,0.0,,,15,4.1,62,0,4,,Jacoby Brissett,BrisJa00
2025,33,ARI,QB,11,9,34,144,1,14,52.9,15,4.2,13.1,3.1,0,0,0,,0,0,,,0.0,0.0,,,34,4.2,144,1,4,,Jacoby Brissett,BrisJa00
