Season,Age,Team,Pos,No.,G,GS,offense,Off%,defense,Def%,special_teams,ST%,Player,PlayerID
2016,24,NWE,QB,7,3,2,156,79%,0,0%,0,0%,Jacoby Brissett,BrisJa00
2017,25,IND,QB,7,16,15,989,96%,0,0%,0,0%,Jacoby Brissett,BrisJa00
2018,26,IND,QB,7,4,0,18,7%,0,0%,0,0%,Jacoby Brissett,BrisJa00
2019,27,IND,QB,7,15,15,947,94%,0,0%,0,0%,Jacoby Brissett,BrisJa00
2020,28,IND,QB,7,11,0,47,6%,0,0%,0,0%,Jacoby Brissett,BrisJa00
2021,29,MIA,QB,14,11,5,376,52%,0,0%,0,0%,Jacoby Brissett,BrisJa00
2022,30,CLE,QB,7,16,11,787,71%,0,0%,0,0%,Jacoby Brissett,BrisJa00
2023,31,WAS,QB,12,3,0,46,26%,0,0%,0,0%,Jacoby Brissett,BrisJa00
2024,32,NWE,QB,7,8,5,351,70%,0,0%,0,0%,Jacoby Brissett,BrisJa00
2025,33,ARI,QB,7,11,9,643,84%,0,0%,0,0%,Jacoby Brissett,BrisJa00
