Season,Age,Team,Pos,G,GS,Y/A+,NY/A+,AY/A+,ANY/A+,Cmp%+,TD%+,Int%+,Sack%+,Rate+,Awards,Player,PlayerID
1997,23,ARI,QB,10,9,113,94,101,90,85,111,74,53,95,AP ORoY-3,Jake Plummer,PlumJa00
1998,24,ARI,QB,16,16,101,100,96,96,110,91,94,94,97,,Jake Plummer,PlumJa00
1999,25,ARI,QB,12,11,80,83,68,71,83,83,59,103,69,,Jake Plummer,PlumJa00
2000,26,ARI,QB,14,14,90,96,83,87,95,86,83,116,84,,Jake Plummer,PlumJa00
2001,27,ARI,QB,16,16,104,107,105,107,96,94,109,109,101,,Jake Plummer,PlumJa00
2002,28,ARI,QB,16,16,75,77,77,79,80,92,90,101,80,,Jake Plummer,PlumJa00
2003,29,DEN,QB,11,11,108,113,112,116,110,111,114,113,114,AP CPoY-8,Jake Plummer,PlumJa00
2004,30,DEN,QB,16,16,118,125,111,117,96,113,88,126,105,,Jake Plummer,PlumJa00
2005,31,DEN,QB,16,16,108,112,114,116,103,98,127,113,112,PB,Jake Plummer,PlumJa00
2006,32,DEN,QB,16,11,89,94,86,89,83,94,84,107,84,,Jake Plummer,PlumJa00
