Season,Age,Team,Pos,G,GS,QBrec,Cmp,Att,Cmp%,Yds,TD,TD%,Int,Int%,1D,Succ%,Lng,Y/A,AY/A,Y/C,Y/G,Rate,QBR,Sk,Yds_Lost,Sk%,NY/A,ANY/A,4QC,GWD,AV,Awards,Player,PlayerID
1997,23,ARI,QB,10,9,3-6-0,157,296,53.0,2203,15,5.1,15,5.1,101,38.2,70,7.4,6.18,14.0,220.3,73.1,,52,291,14.94,5.49,4.42,2,2,7,AP ORoY-3,Jake Plummer,PlumJa00
1998,24,ARI,QB,16,16,9-7-0,324,547,59.2,3737,17,3.1,20,3.7,177,43.6,57,6.8,5.81,11.5,233.6,75.0,,49,280,8.22,5.80,4.86,5,7,12,,Jake Plummer,PlumJa00
1999,25,ARI,QB,12,11,3-8-0,201,381,52.8,2111,9,2.4,24,6.3,110,38.0,63,5.5,3.18,10.5,175.9,50.8,,27,152,6.62,4.80,2.60,2,2,2,,Jake Plummer,PlumJa00
2000,26,ARI,QB,14,14,3-11-0,270,475,56.8,2946,13,2.7,21,4.4,134,41.4,70,6.2,4.76,10.9,210.4,66.0,,22,151,4.43,5.62,4.25,1,1,7,,Jake Plummer,PlumJa00
2001,27,ARI,QB,16,16,7-9-0,304,525,57.9,3653,18,3.4,14,2.7,177,39.9,68,7.0,6.44,12.0,228.3,79.6,,29,204,5.23,6.23,5.74,3,4,12,,Jake Plummer,PlumJa00
2002,28,ARI,QB,16,16,5-11-0,284,530,53.6,2972,18,3.4,20,3.8,147,40.1,80,5.6,4.59,10.5,185.8,65.7,,36,248,6.36,4.81,3.86,2,4,7,,Jake Plummer,PlumJa00
2003,29,DEN,QB,11,11,9-2-0,189,302,62.6,2182,15,5.0,7,2.3,115,49.4,60,7.2,7.18,11.5,198.4,91.2,,14,73,4.43,6.67,6.63,1,1,10,AP CPoY-8,Jake Plummer,PlumJa00
2004,30,DEN,QB,16,16,10-6-0,303,521,58.2,4089,27,5.2,20,3.8,185,47.6,85,7.8,7.16,13.5,255.6,84.5,,15,90,2.80,7.46,6.79,1,4,14,,Jake Plummer,PlumJa00
2005,31,DEN,QB,16,16,13-3-0,277,456,60.7,3366,18,3.9,7,1.5,161,47.5,72,7.4,7.48,12.2,210.4,90.2,,22,135,4.60,6.76,6.85,1,2,15,PB,Jake Plummer,PlumJa00
2006,32,DEN,QB,16,11,7-4-0,175,317,55.2,1994,11,3.5,13,4.1,102,40.6,83,6.3,5.14,11.4,124.6,68.8,49.2,18,111,5.37,5.62,4.53,2,3,6,,Jake Plummer,PlumJa00
