Season,Age,Team,Pos,No.,G,GS,offense,Off%,defense,Def%,special_teams,ST%,Player,PlayerID
2016,22,TAM,QB,3,16,16,1119,99%,0,0%,0,0%,Jameis Winston,WinsJa00
2017,23,TAM,QB,3,13,13,790,90%,0,0%,0,0%,Jameis Winston,WinsJa00
2018,24,TAM,QB,3,11,9,688,88%,0,0%,0,0%,Jameis Winston,WinsJa00
2019,25,TAM,QB,3,16,16,1128,99%,0,0%,0,0%,Jameis Winston,WinsJa00
2020,26,NOR,QB,2,4,0,54,21%,0,0%,0,0%,Jameis Winston,WinsJa00
2021,27,NOR,QB,2,7,7,371,84%,0,0%,0,0%,Jameis Winston,WinsJa00
2022,28,NOR,QB,2,3,3,196,99%,0,0%,0,0%,Jameis Winston,WinsJa00
2023,29,NOR,QB,2,7,0,76,17%,0,0%,0,0%,Jameis Winston,WinsJa00
2024,30,CLE,QB,5,12,7,504,60%,0,0%,0,0%,Jameis Winston,WinsJa00
2025,31,NYG,QB,19,3,2,156,70%,0,0%,0,0%,Jameis Winston,WinsJa00
