Season,Age,Team,Pos,G,GS,Y/A+,NY/A+,AY/A+,ANY/A+,Cmp%+,TD%+,Int%+,Sack%+,Rate+,Awards,Player,PlayerID
2016,22,LAR,QB,7,7,58,45,62,52,68,77,81,57,64,,Jared Goff,GoffJa00
2017,23,LAR,QB,15,15,116,118,120,121,95,116,115,110,114,PB,Jared Goff,GoffJa00
2018,24,LAR,QB,16,16,123,123,120,120,105,113,104,108,115,PB,Jared Goff,GoffJa00
2019,25,LAR,QB,16,16,103,110,97,102,93,89,95,123,92,,Jared Goff,GoffJa00
2020,26,LAR,QB,15,15,99,105,97,101,111,90,98,118,98,,Jared Goff,GoffJa00
2021,27,DET,QB,14,14,88,87,94,93,110,93,112,97,100,,Jared Goff,GoffJa00
2022,28,DET,QB,17,17,112,118,118,122,102,107,124,119,115,"PB,AP CPoY-6",Jared Goff,GoffJa00
2023,29,DET,QB,17,17,112,116,114,116,114,111,107,116,115,,Jared Goff,GoffJa00
2024,30,DET,QB,17,17,131,130,129,129,129,130,101,111,131,"PB,AP MVP-5,AP OPoY-9",Jared Goff,GoffJa00
2025,31,DET,QB,14,14,122,121,127,126,116,122,118,107,127,,Jared Goff,GoffJa00
