Season,Age,Team,Pos,G,GS,QBrec,Cmp,Att,Cmp%,Yds,TD,TD%,Int,Int%,1D,Succ%,Lng,Y/A,AY/A,Y/C,Y/G,Rate,QBR,Sk,Yds_Lost,Sk%,NY/A,ANY/A,4QC,GWD,AV,Awards,Player,PlayerID
2016,22,LAR,QB,7,7,0-7-0,112,205,54.6,1089,5,2.4,7,3.4,48,29.4,66,5.3,4.26,9.7,155.6,63.6,18.3,26,222,11.26,3.75,2.82,0,0,-2,,Jared Goff,GoffJa00
2017,23,LAR,QB,15,15,11-4-0,296,477,62.1,3804,28,5.9,7,1.5,177,46.6,94,8.0,8.49,12.9,253.6,100.5,56.3,25,172,4.98,7.24,7.72,1,1,15,PB,Jared Goff,GoffJa00
2018,24,LAR,QB,16,16,13-3-0,364,561,64.9,4688,32,5.7,12,2.1,233,50.7,70,8.4,8.53,12.9,293.0,101.1,63.6,33,223,5.56,7.52,7.69,4,4,18,PB,Jared Goff,GoffJa00
2019,25,LAR,QB,16,16,9-7-0,394,626,62.9,4638,22,3.5,16,2.6,220,47.7,66,7.4,6.96,11.8,289.9,86.5,50.6,22,170,3.40,6.90,6.46,1,2,12,,Jared Goff,GoffJa00
2020,26,LAR,QB,15,15,9-6-0,370,552,67.0,3952,20,3.6,13,2.4,194,51.8,56,7.2,6.82,10.7,263.5,90.0,50.8,23,161,4.00,6.59,6.27,0,1,10,,Jared Goff,GoffJa00
2021,27,DET,QB,14,14,3-10-1,332,494,67.2,3245,19,3.8,8,1.6,162,46.9,63,6.6,6.61,9.8,231.8,91.5,45.5,35,280,6.62,5.60,5.64,2,2,10,,Jared Goff,GoffJa00
2022,28,DET,QB,17,17,9-8-0,382,587,65.1,4438,29,4.9,7,1.2,227,50.3,81,7.6,8.01,11.6,261.1,99.3,63.3,23,156,3.77,7.02,7.45,3,3,16,"PB,AP CPoY-6",Jared Goff,GoffJa00
2023,29,DET,QB,17,17,12-5-0,407,605,67.3,4575,30,5.0,12,2.0,261,50.9,70,7.6,7.66,11.2,269.1,97.9,61.1,30,197,4.72,6.89,6.99,2,3,16,,Jared Goff,GoffJa00
2024,30,DET,QB,17,17,15-2-0,390,539,72.4,4629,37,6.9,12,2.2,253,54.7,82,8.6,8.96,11.9,272.3,111.8,65.4,31,234,5.44,7.71,8.06,4,4,18,"PB,AP MVP-5,AP OPoY-9",Jared Goff,GoffJa00
2025,31,DET,QB,17,17,9-8-0,393,578,68.0,4564,34,5.9,8,1.4,223,48.7,64,7.9,8.45,11.6,268.5,105.5,57.3,38,259,6.17,6.99,7.51,1,3,15,PB,Jared Goff,GoffJa00
