Season,Age,Team,Pos,G,GS,Y/A+,NY/A+,AY/A+,ANY/A+,Cmp%+,TD%+,Int%+,Sack%+,Rate+,Awards,Player,PlayerID
2006,23,DEN,QB,5,5,109,102,110,105,96,129,92,86,110,,Jay Cutler,CutlJa00
2007,24,DEN,QB,16,16,112,113,109,110,110,103,101,104,108,,Jay Cutler,CutlJa00
2008,25,DEN,QB,16,16,108,117,105,111,104,100,101,130,104,PB,Jay Cutler,CutlJa00
2009,26,CHI,QB,16,16,93,95,88,89,99,109,75,101,92,,Jay Cutler,CutlJa00
2010,27,CHI,QB,15,15,109,97,104,97,99,112,90,65,103,,Jay Cutler,CutlJa00
2011,28,CHI,QB,10,10,106,103,107,105,91,98,110,95,101,,Jay Cutler,CutlJa00
2012,29,CHI,QB,15,15,97,93,96,93,93,101,92,87,95,,Jay Cutler,CutlJa00
2013,30,CHI,QB,11,11,106,108,101,103,106,111,87,110,103,,Jay Cutler,CutlJa00
2014,31,CHI,QB,15,15,91,93,92,93,115,106,89,100,100,,Jay Cutler,CutlJa00
2015,32,CHI,QB,15,15,109,111,106,108,106,99,102,103,104,,Jay Cutler,CutlJa00
2016,33,CHI,QB,5,5,113,98,96,87,86,83,77,59,85,,Jay Cutler,CutlJa00
2017,34,MIA,QB,14,14,80,86,81,85,95,100,85,114,88,,Jay Cutler,CutlJa00
