Season,Age,Team,Pos,G,GS,QBrec,Cmp,Att,Cmp%,Yds,TD,TD%,Int,Int%,1D,Succ%,Lng,Y/A,AY/A,Y/C,Y/G,Rate,QBR,Sk,Yds_Lost,Sk%,NY/A,ANY/A,4QC,GWD,AV,Awards,Player,PlayerID
2006,23,DEN,QB,5,5,2-3-0,81,137,59.1,1001,9,6.6,5,3.6,49,41.3,71,7.3,6.98,12.4,200.2,88.5,41.9,13,85,8.67,6.11,5.81,0,0,3,,Jay Cutler,CutlJa00
2007,24,DEN,QB,16,16,7-9-0,297,467,63.6,3497,20,4.3,14,3.0,174,47.2,68,7.5,7.00,11.8,218.6,88.1,64.3,27,153,5.47,6.77,6.30,2,3,12,,Jay Cutler,CutlJa00
2008,25,DEN,QB,16,16,8-8-0,384,616,62.3,4526,25,4.1,18,2.9,223,51.7,93,7.3,6.84,11.8,282.9,86.0,61.9,11,69,1.75,7.11,6.61,3,4,15,PB,Jay Cutler,CutlJa00
2009,26,CHI,QB,16,16,7-9-0,336,555,60.5,3666,27,4.9,26,4.7,169,41.7,71,6.6,5.47,10.9,229.1,76.8,49.9,35,204,5.93,5.87,4.80,2,4,10,,Jay Cutler,CutlJa00
2010,27,CHI,QB,15,15,10-5-0,261,432,60.4,3274,23,5.3,16,3.7,159,43.6,89,7.6,6.98,12.5,218.3,86.3,51.4,52,352,10.74,6.04,5.50,4,4,12,,Jay Cutler,CutlJa00
2011,28,CHI,QB,10,10,7-3-0,182,314,58.0,2319,13,4.1,7,2.2,107,41.8,56,7.4,7.21,12.7,231.9,85.7,60.5,23,159,6.82,6.41,6.25,1,1,7,,Jay Cutler,CutlJa00
2012,29,CHI,QB,15,15,10-5-0,255,434,58.8,3033,19,4.4,14,3.2,152,40.3,60,7.0,6.41,11.9,202.2,81.3,48.1,38,250,8.05,5.90,5.37,1,1,11,,Jay Cutler,CutlJa00
2013,30,CHI,QB,11,11,5-6-0,224,355,63.1,2621,19,5.4,12,3.4,125,45.2,67,7.4,6.93,11.7,238.3,89.2,70.1,19,132,5.08,6.66,6.23,3,3,9,,Jay Cutler,CutlJa00
2014,31,CHI,QB,15,15,5-10-0,370,561,66.0,3812,28,5.0,18,3.2,181,46.6,74,6.8,6.35,10.3,254.1,88.6,50.9,38,223,6.34,5.99,5.57,1,1,11,,Jay Cutler,CutlJa00
2015,32,CHI,QB,15,15,6-9-0,311,483,64.4,3659,21,4.3,11,2.3,173,47.1,87,7.6,7.42,11.8,243.9,92.3,61.0,29,150,5.66,6.85,6.71,4,4,11,,Jay Cutler,CutlJa00
2016,33,CHI,QB,5,5,1-4-0,81,137,59.1,1059,4,2.9,5,3.6,45,40.9,54,7.7,6.67,13.1,211.8,78.1,28.1,17,104,11.04,6.20,5.26,0,0,2,,Jay Cutler,CutlJa00
2017,34,MIA,QB,14,14,6-8-0,266,429,62.0,2666,19,4.4,14,3.3,138,44.3,65,6.2,5.63,10.0,190.4,80.8,43.5,20,154,4.45,5.59,5.04,2,3,6,,Jay Cutler,CutlJa00
