Season,Age,Team,Pos,G,GS,Y/A+,NY/A+,AY/A+,ANY/A+,Cmp%+,TD%+,Int%+,Sack%+,Rate+,Awards,Player,PlayerID
1988,25,CHI,QB,10,2,63,70,77,80,79,55,125,108,76,,Jim Harbaugh,HarbJi00
1989,26,CHI,QB,12,5,95,92,86,85,124,85,83,86,94,,Jim Harbaugh,HarbJi00
1990,27,CHI,QB,14,14,99,94,108,104,105,91,124,87,108,,Jim Harbaugh,HarbJi00
1991,28,CHI,QB,16,16,92,100,94,99,102,91,104,115,96,,Jim Harbaugh,HarbJi00
1992,29,CHI,QB,16,13,102,102,103,102,96,99,102,94,100,,Jim Harbaugh,HarbJi00
1993,30,CHI,QB,15,15,88,82,87,84,111,79,100,69,94,,Jim Harbaugh,HarbJi00
1994,31,IND,QB,12,9,108,106,108,107,112,108,102,90,110,,Jim Harbaugh,HarbJi00
1995,32,IND,QB,15,12,136,119,139,127,119,119,126,72,132,"PB,AP MVP-4",Jim Harbaugh,HarbJi00
1996,33,IND,QB,14,14,95,93,98,96,100,91,107,90,98,,Jim Harbaugh,HarbJi00
1997,34,IND,QB,12,11,99,87,108,100,117,92,127,72,111,,Jim Harbaugh,HarbJi00
1998,35,BAL,QB,14,12,91,92,92,92,97,101,93,99,94,,Jim Harbaugh,HarbJi00
1999,36,SDG,QB,14,12,93,93,92,92,100,83,101,95,92,,Jim Harbaugh,HarbJi00
2000,37,SDG,QB,7,5,105,105,94,94,111,101,74,103,95,,Jim Harbaugh,HarbJi00
