Season,Age,Team,Pos,G,GS,QBrec,Cmp,Att,Cmp%,Yds,TD,TD%,Int,Int%,1D,Succ%,Lng,Y/A,AY/A,Y/C,Y/G,Rate,Sk,Yds_Lost,Sk%,NY/A,ANY/A,4QC,GWD,AV,Awards,Player,PlayerID
1987,24,CHI,QB,6,0,,8,11,72.7,62,0,0.0,0,0.0,3,33.3,21,5.6,5.64,7.8,10.3,86.2,4,45,26.67,1.13,1.13,0,0,0,,Jim Harbaugh,HarbJi00
1988,25,CHI,QB,10,2,1-1-0,47,97,48.5,514,0,0.0,2,2.1,20,33.0,56,5.3,4.37,10.9,51.4,55.9,6,49,5.83,4.51,3.64,1,1,2,,Jim Harbaugh,HarbJi00
1989,26,CHI,QB,12,5,1-4-0,111,178,62.4,1204,5,2.8,9,5.1,58,45.4,49,6.8,5.05,10.8,100.3,70.5,18,106,9.18,5.60,4.05,0,0,5,,Jim Harbaugh,HarbJi00
1990,27,CHI,QB,14,14,10-4-0,180,312,57.7,2178,10,3.2,6,1.9,100,42.9,80,7.0,6.76,12.1,155.6,81.9,31,206,9.04,5.75,5.55,1,3,10,,Jim Harbaugh,HarbJi00
1991,28,CHI,QB,16,16,11-5-0,275,478,57.5,3121,15,3.1,16,3.3,160,45.6,84,6.5,5.65,11.3,195.1,73.7,24,163,4.78,5.89,5.06,3,3,13,,Jim Harbaugh,HarbJi00
1992,29,CHI,QB,16,13,5-8-0,202,358,56.4,2486,13,3.6,12,3.4,121,43.4,83,6.9,6.16,12.3,155.4,76.2,31,167,7.97,5.96,5.24,1,1,10,,Jim Harbaugh,HarbJi00
1993,30,CHI,QB,15,15,7-8-0,200,325,61.5,2002,7,2.2,11,3.4,98,38.3,48,6.2,5.07,10.0,133.5,72.1,43,210,11.68,4.87,3.90,1,1,8,,Jim Harbaugh,HarbJi00
1994,31,IND,QB,12,9,4-5-0,125,202,61.9,1440,9,4.5,6,3.0,72,42.5,85,7.1,6.68,11.5,120.0,85.8,17,72,7.76,6.25,5.84,0,0,7,,Jim Harbaugh,HarbJi00
1995,32,IND,QB,15,12,7-5-0,200,314,63.7,2575,17,5.4,5,1.6,115,47.4,52,8.2,8.57,12.9,171.7,100.7,36,219,10.29,6.73,7.06,3,4,12,"PB,AP MVP-4",Jim Harbaugh,HarbJi00
1996,33,IND,QB,14,14,7-7-0,232,405,57.3,2630,13,3.2,11,2.7,129,43.8,51,6.5,5.91,11.3,187.9,76.3,36,190,8.16,5.53,5.00,2,2,10,,Jim Harbaugh,HarbJi00
1997,34,IND,QB,12,11,2-9-0,189,309,61.2,2060,10,3.2,4,1.3,100,41.7,58,6.7,6.73,10.9,171.7,86.2,41,256,11.71,5.15,5.21,0,0,8,,Jim Harbaugh,HarbJi00
1998,35,BAL,QB,14,12,5-7-0,164,293,56.0,1839,12,4.1,11,3.8,86,38.6,66,6.3,5.41,11.2,131.4,72.9,23,145,7.28,5.36,4.55,1,2,5,,Jim Harbaugh,HarbJi00
1999,36,SDG,QB,14,12,6-6-0,249,434,57.4,2761,10,2.3,14,3.2,130,39.3,80,6.4,5.37,11.1,197.2,70.6,37,208,7.86,5.42,4.51,2,2,8,,Jim Harbaugh,HarbJi00
2000,37,SDG,QB,7,5,0-5-0,123,202,60.9,1416,8,4.0,10,5.0,67,43.5,62,7.0,5.57,11.5,202.3,74.6,14,96,6.48,6.11,4.77,0,0,4,,Jim Harbaugh,HarbJi00
