Season,Age,Team,Pos,G,GS,Rush_Att,Rush_Yds,Rush_TD,Rush_1D,Rush_Succ%,Rush_Lng,Rush_Y/A,Rush_Y/G,Rush_A/G,Tgt,Rec,Rec_Yds,rec_yds_per_rec,Rec_TD,Rec_1D,rec_success,rec_long,Rec/G,Rec_Y/G,catch_pct,rec_yds_per_tgt,touches,yds_per_touch,yds_from_scrimmage,rush_receive_td,Fmb,Awards,Player,PlayerID
1987,24,CHI,QB,6,0,4,15,0,1,25.0,9,3.8,2.5,0.7,0,0,0,,0,0,,,0.0,0.0,,,4,3.8,15,0,0,,Jim Harbaugh,HarbJi00
1988,25,CHI,QB,10,2,19,110,1,6,52.6,19,5.8,11.0,1.9,0,0,0,,0,0,,,0.0,0.0,,,19,5.8,110,1,1,,Jim Harbaugh,HarbJi00
1989,26,CHI,QB,12,5,45,276,3,17,62.2,26,6.1,23.0,3.8,0,0,0,,0,0,,,0.0,0.0,,,45,6.1,276,3,2,,Jim Harbaugh,HarbJi00
1990,27,CHI,QB,14,14,51,321,4,22,64.7,21,6.3,22.9,3.6,0,0,0,,0,0,,,0.0,0.0,,,51,6.3,321,4,8,,Jim Harbaugh,HarbJi00
1991,28,CHI,QB,16,16,70,338,2,28,54.3,20,4.8,21.1,4.4,0,0,0,,0,0,,,0.0,0.0,,,70,4.8,338,2,6,,Jim Harbaugh,HarbJi00
1992,29,CHI,QB,16,13,47,272,1,14,51.1,17,5.8,17.0,2.9,0,0,0,,0,0,,,0.0,0.0,,,47,5.8,272,1,6,,Jim Harbaugh,HarbJi00
1993,30,CHI,QB,15,15,60,277,4,20,45.0,25,4.6,18.5,4.0,1,1,1,1.0,0,0,0.0,1,0.1,0.1,100.0,1.0,61,4.6,278,4,15,,Jim Harbaugh,HarbJi00
1994,31,IND,QB,12,9,39,223,0,11,46.2,41,5.7,18.6,3.3,0,0,0,,0,0,,,0.0,0.0,,,39,5.7,223,0,1,,Jim Harbaugh,HarbJi00
1995,32,IND,QB,15,12,52,235,2,16,42.3,21,4.5,15.7,3.5,1,1,-9,-9.0,0,0,0.0,-9,0.1,-0.6,100.0,-9.0,53,4.3,226,2,4,"PB,AP MVP-4",Jim Harbaugh,HarbJi00
1996,33,IND,QB,14,14,48,192,1,15,43.8,21,4.0,13.7,3.4,0,0,0,,0,0,,,0.0,0.0,,,48,4.0,192,1,8,,Jim Harbaugh,HarbJi00
1997,34,IND,QB,12,11,36,206,0,12,52.8,18,5.7,17.2,3.0,0,0,0,,0,0,,,0.0,0.0,,,36,5.7,206,0,4,,Jim Harbaugh,HarbJi00
1998,35,BAL,QB,14,12,40,172,0,11,37.5,15,4.3,12.3,2.9,0,0,0,,0,0,,,0.0,0.0,,,40,4.3,172,0,7,,Jim Harbaugh,HarbJi00
1999,36,SDG,QB,14,12,34,126,0,11,29.4,16,3.7,9.0,2.4,0,0,0,,0,0,,,0.0,0.0,,,34,3.7,126,0,12,,Jim Harbaugh,HarbJi00
2000,37,SDG,QB,7,5,16,24,0,1,12.5,7,1.5,3.4,2.3,0,0,0,,0,0,,,0.0,0.0,,,16,1.5,24,0,5,,Jim Harbaugh,HarbJi00
