Season,Age,Team,Pos,G,GS,QBrec,Cmp,Att,Cmp%,Yds,TD,TD%,Int,Int%,1D,Succ%,Lng,Y/A,AY/A,Y/C,Y/G,Rate,QBR,Sk,Yds_Lost,Sk%,NY/A,ANY/A,4QC,GWD,AV,Awards,Player,PlayerID
2014,23,NWE,QB,6,0,,19,27,70.4,182,1,3.7,0,0.0,8,34.4,37,6.7,7.48,9.6,30.3,101.2,19.5,5,36,15.63,4.56,5.19,0,0,1,,Jimmy Garoppolo,GaroJi00
2015,24,NWE,QB,5,0,,1,4,25.0,6,0,0.0,0,0.0,0,,6,1.5,1.50,6.0,1.2,39.6,8.1,0,0,0.00,1.50,1.50,0,0,0,,Jimmy Garoppolo,GaroJi00
2016,25,NWE,QB,6,2,2-0-0,43,63,68.3,502,4,6.3,0,0.0,22,53.0,37,8.0,9.24,11.7,83.7,113.3,87.5,3,15,4.55,7.38,8.59,1,1,2,,Jimmy Garoppolo,GaroJi00
2017,26,SFO,QB,6,5,5-0-0,120,178,67.4,1560,7,3.9,5,2.8,81,54.3,61,8.8,8.29,13.0,260.0,96.2,83.0,8,57,4.30,8.08,7.62,2,2,5,,Jimmy Garoppolo,GaroJi00
2018,27,SFO,QB,3,3,1-2-0,53,89,59.6,718,5,5.6,3,3.4,35,45.1,56,8.1,7.67,13.5,239.3,90.0,27.5,13,97,12.75,6.09,5.75,0,0,2,,Jimmy Garoppolo,GaroJi00
2019,28,SFO,QB,16,16,13-3-0,329,476,69.1,3978,27,5.7,13,2.7,193,48.6,75,8.4,8.26,12.1,248.6,102.0,60.8,36,237,7.03,7.31,7.22,4,4,15,AP CPoY-2,Jimmy Garoppolo,GaroJi00
2020,29,SFO,QB,6,6,3-3-0,94,140,67.1,1096,7,5.0,5,3.6,55,49.0,76,7.8,7.22,11.7,182.7,92.4,54.0,11,77,7.28,6.75,6.19,0,0,3,,Jimmy Garoppolo,GaroJi00
2021,30,SFO,QB,15,15,9-6-0,301,441,68.3,3810,20,4.5,12,2.7,202,50.4,83,8.6,8.32,12.7,254.0,98.7,59.2,29,201,6.17,7.68,7.38,3,3,12,,Jimmy Garoppolo,GaroJi00
2022,31,SFO,QB,11,10,7-3-0,207,308,67.2,2437,16,5.2,4,1.3,114,53.1,57,7.9,8.37,11.8,221.5,103.0,56.3,18,100,5.52,7.17,7.60,1,1,10,,Jimmy Garoppolo,GaroJi00
2023,32,LVR,QB,7,6,3-3-0,110,169,65.1,1205,7,4.1,9,5.3,60,47.5,32,7.1,5.56,11.0,172.1,77.7,34.7,14,101,7.65,6.03,4.58,2,2,2,,Jimmy Garoppolo,GaroJi00
2024,33,LAR,QB,1,1,0-1-0,27,41,65.9,334,2,4.9,1,2.4,16,50.0,50,8.1,8.02,12.4,334.0,97.0,44.9,3,15,6.82,7.25,7.14,0,0,1,,Jimmy Garoppolo,GaroJi00
2025,34,LAR,QB,3,0,,0,0,,0,0,,0,,0,,,,,,0.0,,0.8,0,0,,,,0,0,0,,Jimmy Garoppolo,GaroJi00
